seed	cohort	lineage_id	scenario_id	passage_id	passage_recorded	reseed_mode	available_cells	required_cells	supply_ratio	boundary_scale	cell_number_before	cell_number_after	n_state_components	max_abs_state_difference	insufficient_state_identical	proportional_downsample_exact	boundary_scale_at_most_one
340	4N	C	4N-C	SUM-159_NLS_4N_C_A1_seed	TRUE	downsample_to_observed_inoculum	8377759.94548055	575654	14.5534643127305	0.0687121621705741	8377759.94548055	575654	133	0	NA	TRUE	TRUE
340	4N	C	4N-C	SUM-159_NLS_4N_C_A2_seed	TRUE	downsample_to_observed_inoculum	2393872.2287067	427709	5.59696482586689	0.178668265946287	2393872.2287067	427709	133	0	NA	TRUE	TRUE
340	4N	C	4N-C	SUM-159_NLS_4N_C_A3_seed	TRUE	downsample_to_observed_inoculum	872208.405922864	448744	1.94366588951131	0.514491716604352	872208.405922864	448744	133	0	NA	TRUE	TRUE
340	4N	C	4N-C	SUM-159_NLS_4N_C_A4_seed	TRUE	downsample_to_observed_inoculum	3805589.31235971	884866	4.30075210524499	0.232517470323493	3805589.31235971	884866	133	0	NA	TRUE	TRUE
340	4N	C	4N-C	SUM-159_NLS_4N_C_A5_seed	TRUE	downsample_to_observed_inoculum	3679879.00276496	411582	8.94081617457752	0.111846612263813	3679879.00276496	411582	133	0	NA	TRUE	TRUE
340	4N	C	4N-C	SUM-159_NLS_4N_C_A6_seed	TRUE	downsample_to_observed_inoculum	3490619.73935793	621931	5.61255145564046	0.178172085887075	3490619.73935793	621931	133	0	NA	TRUE	TRUE
340	4N	C	4N-C	SUM-159_NLS_4N_C_A7_seed	TRUE	downsample_to_observed_inoculum	2586511.12739	1532740	1.68750807533567	0.592589756822992	2586511.12739	1532740	133	0	NA	TRUE	TRUE
340	4N	C	4N-C	SUM-159_NLS_4N_C_A8_seed	TRUE	downsample_to_observed_inoculum	12999763.6193669	955684	13.6025753485115	0.0735154905875545	12999763.6193669	955684	133	0	NA	TRUE	TRUE
340	4N	C	4N-C	SUM-159_NLS_4N_C_A9_seed	TRUE	downsample_to_observed_inoculum	3974683.91606644	728507	5.45593098771383	0.183286775850335	3974683.91606644	728507	133	0	NA	TRUE	TRUE
340	4N	C	4N-C	SUM-159_NLS_4N_C_A10_seed	TRUE	downsample_to_observed_inoculum	6179147.40929221	512549	12.0557203492587	0.0829481748937124	6179147.40929221	512549	133	0	NA	TRUE	TRUE
