context	cohort	stream	entity_id	time_start_day	time_end_day	measurement_level	used_in_objective	source_file	n_observations	display_label
in_vivo	4N	oxygen_latent	SUM159-4N-60-0_harvest	0	77	latent	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	0	O2 latent / unmeasured
in_vivo	4N	oxygen_latent	SUM159-4N-60-R_harvest	0	91	latent	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	0	O2 latent / unmeasured
in_vivo	4N	oxygen_latent	SUM159-4N-60-L_harvest	0	102	latent	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	0	O2 latent / unmeasured
in_vivo	4N	oxygen_latent	SUM159-4N-60-RL_harvest	0	91	latent	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	0	O2 latent / unmeasured
in_vivo	4N	oxygen_latent	SUM159-4N-60-RR_harvest	0	77	latent	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	0	O2 latent / unmeasured
in_vivo	4N	oxygen_latent	SUM159-4N-120-0_harvest	0	91	latent	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	0	O2 latent / unmeasured
in_vivo	4N	oxygen_latent	SUM159-4N-120-R_harvest	0	123	latent	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	0	O2 latent / unmeasured
in_vivo	4N	oxygen_latent	SUM159-4N-120-L_harvest	0	123	latent	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	0	O2 latent / unmeasured
in_vivo	4N	oxygen_latent	SUM159-4N-120-RL_harvest	0	84	latent	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	0	O2 latent / unmeasured
in_vivo	4N	oxygen_latent	SUM159-4N-120-RR_harvest	0	84	latent	FALSE	/Users/4470246/Downloads/miningcloneid/data/InVivoData_Gemcitabine/dt_Gem_VT_20260209_v5.xlsx	0	O2 latent / unmeasured
