cohort	segment_id	parent_segment_id	depth	oxygen_pct	data_ids	n_data_ids	duration_days	duration_source	initial_cells	final_cells
4N	20.5_20.5_20.5_20.5	20.5_20.5_20.5	3	20.5	SUM-159_NLS_4N_A4M_seed;SUM-159_NLS_4N_C_A2_seed	2	2	observed_median	575654	4791040
4N	20.5_20.5_2_1	20.5_20.5_2	3	1	SUM-159_NLS_4N_O1_A2_seed;SUM-159_NLS_4N_O2_A2_seed	2	5	observed_median	465571.5	3472154
4N	20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5	4	20.5	SUM-159_NLS_4N_A5M_K_seed;SUM-159_NLS_4N_C_A3_seed	2	1	observed_median	427709	2982042
4N	20.5_20.5_2_1_0.5	20.5_20.5_2_1	4	0.5	SUM-159_NLS_4N_O1_A3_seed;SUM-159_NLS_4N_O2_A3_seed	2	5	observed_median	984782	5643302
4N	20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5	5	20.5	SUM-159_NLS_4N_C_A4_seed	1	3	observed_median	448744	6498369
4N	20.5_20.5_2_1_0.5_0.3	20.5_20.5_2_1_0.5	5	0.3	SUM-159_NLS_4N_O1_A4_seed;SUM-159_NLS_4N_O2_A4_seed	2	5	observed_median	524819.5	5469764.5
4N	20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5	6	20.5	SUM-159_NLS_4N_C_A5_seed	1	2	observed_median	884866	9118611
4N	20.5_20.5_2_1_0.5_0.3_0.2	20.5_20.5_2_1_0.5_0.3	6	0.2	SUM-159_NLS_4N_O1_A5_seed;SUM-159_NLS_4N_O2_A5_seed	2	5	observed_median	535688	6669452.5
4N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5	7	20.5	SUM-159_NLS_4N_C_A6_seed	1	3	observed_median	411582	7374120
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1	20.5_20.5_2_1_0.5_0.3_0.2	7	0.1	SUM-159_NLS_4N_O1_A6_seed;SUM-159_NLS_4N_O2_A6_seed	2	5	observed_median	588976	5734453
4N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	8	20.5	SUM-159_NLS_4N_C_A7_seed	1	2	observed_median	621931	6654027
