cohort	segment_id	passage_id	sample_name	oxygen_pct	cumulative_end_day	grid_index	ploidy	density	log_density
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	49	2.42964824120603	0.00377297422865537	-5.57989166848834
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	50	2.46984924623116	0.00199672256470324	-6.21624816023701
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	51	2.51005025125628	0.00143611662239506	-6.5458125982867
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	52	2.55025125628141	0.00116582610781043	-6.75432533784425
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	53	2.59045226130653	0.00104653103124804	-6.86227436410691
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	54	2.63065326633166	0.000753876208974402	-7.19028238251422
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	55	2.67085427135678	0.000293150049550858	-8.13482596552504
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	56	2.71105527638191	0.000533329203847561	-7.53637168122031
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	57	2.75125628140704	0.000327336756525353	-8.02452108051584
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	58	2.79145728643216	0.000307065613688753	-8.08844910784256
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	59	2.83165829145729	0.000107752293135228	-9.1356755472094
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	60	2.87185929648241	5.24542108395442e-05	-9.85556994341703
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	61	2.91206030150754	5.63103639324948e-05	-9.7846319557015
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	62	2.95226130653266	0.000109568853580277	-9.11895740649961
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	63	2.99246231155779	4.49843079181341e-05	-10.0091968419388
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	64	3.03266331658291	0.000251479633586944	-8.2881485514771
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	65	3.07286432160804	0.000161832319640072	-8.72894982273068
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	66	3.11306532663317	0.000466483291011003	-7.67028835608683
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	67	3.15326633165829	0.000401471044247378	-7.8203751461137
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	68	3.19346733668342	0.000887782278635166	-7.02678402675121
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	69	3.23366834170854	0.0010285121682525	-6.87964201787416
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	70	3.27386934673367	0.00175936536247478	-6.34280212446307
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	71	3.31407035175879	0.00254884247146864	-5.97211595562786
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	72	3.35427135678392	0.00366762465632624	-5.60821105906976
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	73	3.39447236180905	0.00453629466040476	-5.39564475425983
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	74	3.43467336683417	0.00486089727890199	-5.32653223282241
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	75	3.4748743718593	0.00716349618749639	-4.9387571228434
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	76	3.51507537688442	0.00776961978102318	-4.85753405003115
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	77	3.55527638190955	0.00730070914893835	-4.91978379185575
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	78	3.59547738693467	0.0083294956067211	-4.78795237605073
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	79	3.6356783919598	0.00940365158907995	-4.66665719821652
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	80	3.67587939698492	0.00813026590936117	-4.81216164877879
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	81	3.71608040201005	0.0078081498262558	-4.85258724124195
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	82	3.75628140703518	0.00690397874275032	-4.97565740418166
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	83	3.7964824120603	0.00595419751486134	-5.12365884346526
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	84	3.83668341708543	0.00525782474072851	-5.24803788515684
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	85	3.87688442211055	0.0043583527845176	-5.43566109472239
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	86	3.91708542713568	0.00293854703024116	-5.82984002719324
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	87	3.9572864321608	0.00249644116679209	-5.99288909457725
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	88	3.99748743718593	0.00207200606886307	-6.17923802560122
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	89	4.03768844221106	0.00107519191183425	-6.83525611069927
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	90	4.07788944723618	0.000738005738031606	-7.21155895828345
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	91	4.11809045226131	0.000699037352324905	-7.26580638035572
2N	20.5_20.5_20.5	SUM-159_NLS_2N_C_A1_seed	SUM-159_NLS_2N_C_A1_	20.5	31	92	4.15829145728643	0.000574237259774337	-7.46246790249344
