cohort	segment_id	parent_segment_id	passage_id	oxygen_pct	cumulative_start_day	cumulative_end_day	passage_duration	observed_growth	initial_cells	final_cells	n_kary	n_flow	flow_sample_name
4N	20.5_20.5_20.5_20.5	20.5_20.5_20.5	SUM-159_NLS_4N_C_A2_seed	20.5	31	33	2	1.05949800003685	575654	4791040	0	0	NA
4N	20.5_20.5_2_1	20.5_20.5_2	SUM-159_NLS_4N_O1_A2_seed	1	31	36	5	0.399917181450665	469077	3281438	0	0	NA
4N	20.5_20.5_2_1	20.5_20.5_2	SUM-159_NLS_4N_O2_A2_seed	1	31	36	5	0.423293978638455	462066	3662870	0	0	NA
4N	20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5	SUM-159_NLS_4N_A5M_K_seed	20.5	33	34	NA	NA	NA	NA	0	0	NA
4N	20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5	SUM-159_NLS_4N_C_A3_seed	20.5	33	34	1	1.94192052193407	427709	2982042	0	0	NA
4N	20.5_20.5_2_1_0.5	20.5_20.5_2_1	SUM-159_NLS_4N_O1_A3_seed	0.5	36	41	5	0.344146831898379	979523	5965486	0	0	NA
4N	20.5_20.5_2_1_0.5	20.5_20.5_2_1	SUM-159_NLS_4N_O2_A3_seed	0.5	36	41	5	0.317783675910682	990041	5321118	0	0	NA
4N	20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5	SUM-159_NLS_4N_C_A4_seed	20.5	34	37	3	0.890951310693594	448744	6498369	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3	20.5_20.5_2_1_0.5	SUM-159_NLS_4N_O1_A4_seed	0.3	41	46	5	0.462592398960382	477491	5131103	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3	20.5_20.5_2_1_0.5	SUM-159_NLS_4N_O2_A4_seed	0.3	41	46	5	0.456626491222531	572148	5808426	0	0	NA
4N	20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5	SUM-159_NLS_4N_C_A5_seed	20.5	37	39	2	1.16631827386152	884866	9118611	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2	20.5_20.5_2_1_0.5_0.3	SUM-159_NLS_4N_O1_A5_seed	0.2	46	51	5	0.493160438290141	487308	6266284	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2	20.5_20.5_2_1_0.5_0.3	SUM-159_NLS_4N_O2_A5_seed	0.2	46	51	5	0.479793771189265	584068	7072621	0	0	NA
4N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5	SUM-159_NLS_4N_C_A6_seed	20.5	39	42	3	0.961907860276492	411582	7374120	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1	20.5_20.5_2_1_0.5_0.3_0.2	SUM-159_NLS_4N_O1_A6_seed	0.1	51	56	5	0.40078440531454	647172	5181587	0	200	SUM-159_NLS_4N_O1_A6
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1	20.5_20.5_2_1_0.5_0.3_0.2	SUM-159_NLS_4N_O2_A6_seed	0.1	51	56	5	0.484268660954678	530780	6287319	0	200	SUM-159_NLS_4N_O2_A6
4N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	SUM-159_NLS_4N_C_A7_seed	20.5	42	44	2	1.185074180085	621931	6654027	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1	SUM-159_NLS_4N_O1_A7_seed	0	56	61	5	0.571921242468194	267844	5124092	12	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1	SUM-159_NLS_4N_O2_A7_seed	0	56	61	5	0.486227151372419	423502	5273439	18	0	NA
4N	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	SUM-159_NLS_4N_C_A8_seed	20.5	44	47	3	0.610237787650816	1532740	9561746	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O1_A7K_seed	1	61	75	NA	NA	NA	NA	0	0	NA
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	SUM-159_NLS_4N_O2_A7K_seed	1	61	75	NA	NA	NA	NA	0	0	NA
