harvest	treatment_day	ploidy	label	cell_count	cell_count_int
SUM159-4N-0-R_harvest	46	6.13636363636364	O2_dead	608.974498079642	609
SUM159-4N-0-R_harvest	46	6.18181818181818	O2_dead	552.992207379243	553
SUM159-4N-0-R_harvest	46	6.22727272727273	O2_dead	514.002219323044	514
SUM159-4N-0-R_harvest	46	6.27272727272727	O2_dead	490.155766644395	490
SUM159-4N-0-R_harvest	46	6.31818181818182	O2_dead	477.744748736671	478
SUM159-4N-0-R_harvest	46	6.36363636363636	O2_dead	474.792832252151	475
SUM159-4N-0-R_harvest	46	6.40909090909091	O2_dead	477.681693348424	478
SUM159-4N-0-R_harvest	46	6.45454545454545	O2_dead	484.929858729544	485
SUM159-4N-0-R_harvest	46	6.5	O2_dead	493.403248031351	493
SUM159-4N-0-R_harvest	46	6.54545454545455	O2_dead	502.354952929923	502
SUM159-4N-0-R_harvest	46	6.59090909090909	O2_dead	509.255777539694	509
SUM159-4N-0-R_harvest	46	6.63636363636364	O2_dead	514.106986179234	514
SUM159-4N-0-R_harvest	46	6.68181818181818	O2_dead	514.978711147539	515
SUM159-4N-0-R_harvest	46	6.72727272727273	O2_dead	512.521323155602	513
SUM159-4N-0-R_harvest	46	6.77272727272727	O2_dead	505.350705910898	505
SUM159-4N-0-R_harvest	46	6.81818181818182	O2_dead	494.612688842694	495
SUM159-4N-0-R_harvest	46	6.86363636363636	O2_dead	479.38828395201	479
SUM159-4N-0-R_harvest	46	6.90909090909091	O2_dead	461.139259332543	461
SUM159-4N-0-R_harvest	46	6.95454545454545	O2_dead	439.305640273062	439
SUM159-4N-0-R_harvest	46	7	O2_dead	415.482614069183	415
SUM159-4N-0-R_harvest	46	1	MS_dead	3.15539350627308e-06	0
SUM159-4N-0-R_harvest	46	1.04545454545455	MS_dead	0.000139246553916433	0
SUM159-4N-0-R_harvest	46	1.09090909090909	MS_dead	0.00256462345099573	0
SUM159-4N-0-R_harvest	46	1.13636363636364	MS_dead	0.0281902673024424	0
SUM159-4N-0-R_harvest	46	1.18181818181818	MS_dead	0.214459507396431	0
SUM159-4N-0-R_harvest	46	1.22727272727273	MS_dead	1.22648561276232	1
SUM159-4N-0-R_harvest	46	1.27272727272727	MS_dead	5.56156347211613	6
SUM159-4N-0-R_harvest	46	1.31818181818182	MS_dead	20.7591607376076	21
SUM159-4N-0-R_harvest	46	1.36363636363636	MS_dead	65.582122028284	66
SUM159-4N-0-R_harvest	46	1.40909090909091	MS_dead	179.165818335272	179
SUM159-4N-0-R_harvest	46	1.45454545454545	MS_dead	430.543007574938	431
SUM159-4N-0-R_harvest	46	1.5	MS_dead	922.647878859698	923
SUM159-4N-0-R_harvest	46	1.54545454545455	MS_dead	1783.08099054274	1783
SUM159-4N-0-R_harvest	46	1.59090909090909	MS_dead	3136.05096917721	3136
SUM159-4N-0-R_harvest	46	1.63636363636364	MS_dead	5056.6685804284	5057
SUM159-4N-0-R_harvest	46	1.68181818181818	MS_dead	7517.37204843117	7517
SUM159-4N-0-R_harvest	46	1.72727272727273	MS_dead	10342.3789281103	10342
SUM159-4N-0-R_harvest	46	1.77272727272727	MS_dead	13190.8287855275	13191
SUM159-4N-0-R_harvest	46	1.81818181818182	MS_dead	15596.2666786746	15596
SUM159-4N-0-R_harvest	46	1.86363636363636	MS_dead	17075.4537602916	17075
SUM159-4N-0-R_harvest	46	1.90909090909091	MS_dead	17244.3295826919	17244
SUM159-4N-0-R_harvest	46	1.95454545454545	MS_dead	15818.203815202	15818
SUM159-4N-0-R_harvest	46	2	MS_dead	12490.3845090159	12490
SUM159-4N-0-R_harvest	46	2.04545454545455	MS_dead	14272.2587097788	14272
SUM159-4N-0-R_harvest	46	2.09090909090909	MS_dead	16040.6778880124	16041
SUM159-4N-0-R_harvest	46	2.13636363636364	MS_dead	17759.7654170878	17760
SUM159-4N-0-R_harvest	46	2.18181818181818	MS_dead	19393.7403193198	19394
SUM159-4N-0-R_harvest	46	2.22727272727273	MS_dead	20908.2554757792	20908
SUM159-4N-0-R_harvest	46	2.27272727272727	MS_dead	22271.4147485002	22271
SUM159-4N-0-R_harvest	46	2.31818181818182	MS_dead	23452.7411205526	23453
SUM159-4N-0-R_harvest	46	2.36363636363636	MS_dead	24420.5859842043	24421
SUM159-4N-0-R_harvest	46	2.40909090909091	MS_dead	25141.275402409	25141
SUM159-4N-0-R_harvest	46	2.45454545454545	MS_dead	25583.5382162532	25584
SUM159-4N-0-R_harvest	46	2.5	MS_dead	25727.9843650121	25728
SUM159-4N-0-R_harvest	46	2.54545454545455	MS_dead	25575.5740192068	25576
SUM159-4N-0-R_harvest	46	2.59090909090909	MS_dead	25146.8477103824	25147
SUM159-4N-0-R_harvest	46	2.63636363636364	MS_dead	24468.3128151724	24468
SUM159-4N-0-R_harvest	46	2.68181818181818	MS_dead	23552.2132126548	23552
SUM159-4N-0-R_harvest	46	2.72727272727273	MS_dead	22383.3392194119	22383
SUM159-4N-0-R_harvest	46	2.77272727272727	MS_dead	20924.9602802121	20925
SUM159-4N-0-R_harvest	46	2.81818181818182	MS_dead	19144.2568990088	19144
SUM159-4N-0-R_harvest	46	2.86363636363636	MS_dead	17043.3899206978	17043
SUM159-4N-0-R_harvest	46	2.90909090909091	MS_dead	14675.7708430095	14676
SUM159-4N-0-R_harvest	46	2.95454545454545	MS_dead	12133.6629272652	12134
SUM159-4N-0-R_harvest	46	3	MS_dead	9509.38703182566	9509
SUM159-4N-0-R_harvest	46	3.04545454545455	MS_dead	9432.56869015098	9433
SUM159-4N-0-R_harvest	46	3.09090909090909	MS_dead	9448.20197829645	9448
SUM159-4N-0-R_harvest	46	3.13636363636364	MS_dead	9571.37602844139	9571
SUM159-4N-0-R_harvest	46	3.18181818181818	MS_dead	9767.89792310665	9768
SUM159-4N-0-R_harvest	46	3.22727272727273	MS_dead	9955.72385787611	9956
SUM159-4N-0-R_harvest	46	3.27272727272727	MS_dead	10025.0182210464	10025
SUM159-4N-0-R_harvest	46	3.31818181818182	MS_dead	9873.10875318702	9873
SUM159-4N-0-R_harvest	46	3.36363636363636	MS_dead	9443.2441780767	9443
SUM159-4N-0-R_harvest	46	3.40909090909091	MS_dead	8750.4107657112	8750
SUM159-4N-0-R_harvest	46	3.45454545454545	MS_dead	7880.57080881795	7881
SUM159-4N-0-R_harvest	46	3.5	MS_dead	6960.36394828043	6960
SUM159-4N-0-R_harvest	46	3.54545454545455	MS_dead	6113.54621821699	6114
SUM159-4N-0-R_harvest	46	3.59090909090909	MS_dead	5407.46271045074	5407
SUM159-4N-0-R_harvest	46	3.63636363636364	MS_dead	4855.72090702269	4856
SUM159-4N-0-R_harvest	46	3.68181818181818	MS_dead	4417.29184964837	4417
SUM159-4N-0-R_harvest	46	3.72727272727273	MS_dead	4029.96952057032	4030
SUM159-4N-0-R_harvest	46	3.77272727272727	MS_dead	3639.92406498049	3640
SUM159-4N-0-R_harvest	46	3.81818181818182	MS_dead	3218.80005359566	3219
SUM159-4N-0-R_harvest	46	3.86363636363636	MS_dead	2765.02123309956	2765
SUM159-4N-0-R_harvest	46	3.90909090909091	MS_dead	2295.58328582629	2296
SUM159-4N-0-R_harvest	46	3.95454545454545	MS_dead	1834.56700689112	1835
SUM159-4N-0-R_harvest	46	4	MS_dead	19564.6389962517	19565
SUM159-4N-0-R_harvest	46	4.04545454545455	MS_dead	1255.8191816035	1256
SUM159-4N-0-R_harvest	46	4.09090909090909	MS_dead	1119.3993090738	1119
SUM159-4N-0-R_harvest	46	4.13636363636364	MS_dead	999.989803851488	1000
SUM159-4N-0-R_harvest	46	4.18181818181818	MS_dead	900.486582602241	900
SUM159-4N-0-R_harvest	46	4.22727272727273	MS_dead	823.31604871802	823
SUM159-4N-0-R_harvest	46	4.27272727272727	MS_dead	772.9084196517	773
SUM159-4N-0-R_harvest	46	4.31818181818182	MS_dead	756.42245114699	756
SUM159-4N-0-R_harvest	46	4.36363636363636	MS_dead	781.860345042417	782
SUM159-4N-0-R_harvest	46	4.40909090909091	MS_dead	852.426149782584	852
SUM159-4N-0-R_harvest	46	4.45454545454545	MS_dead	960.380796867833	960
SUM159-4N-0-R_harvest	46	4.5	MS_dead	1083.71274884961	1084
SUM159-4N-0-R_harvest	46	4.54545454545455	MS_dead	1189.90902231842	1190
SUM159-4N-0-R_harvest	46	4.59090909090909	MS_dead	1245.606552636	1246
SUM159-4N-0-R_harvest	46	4.63636363636364	MS_dead	1228.62505515209	1229
SUM159-4N-0-R_harvest	46	4.68181818181818	MS_dead	1135.57066734774	1136
SUM159-4N-0-R_harvest	46	4.72727272727273	MS_dead	982.195479902059	982
SUM159-4N-0-R_harvest	46	4.77272727272727	MS_dead	796.246700375209	796
SUM159-4N-0-R_harvest	46	4.81818181818182	MS_dead	607.613596458303	608
