id,cellLine,passaged_from_id1,passage_id,passage,adjPass,date,num_date,correctedCount,label_value,sublabel_value,oxygen_pct,g,intercept
SUM-159_NLS_2N_O1_A14_seedT2,SUM-159,SUM-159_NLS_2N_O1_A14_seed,SUM-159_NLS_2N_O1_A14_seed,22,14,2025-06-30,5,2447396,2N,"starvation
line 1",0,0.359204449551509,432597.637303359
SUM-159_NLS_2N_O1_A14_seedT3,SUM-159,SUM-159_NLS_2N_O1_A14_seed,SUM-159_NLS_2N_O1_A14_seed,22,14,2025-07-02,7,5816047,2N,"starvation
line 1",0,0.359204449551509,432597.637303359
SUM-159_NLS_2N_O1_A15_seed,SUM-159,SUM-159_NLS_2N_O1_A14_seedT3,SUM-159_NLS_2N_O1_A15_seed,23,15,2025-07-05,0,722968,2N,"starvation
line 1",0,0.47893581972953,752205.147027661
SUM-159_NLS_2N_O1_A15_seedT1,SUM-159,SUM-159_NLS_2N_O1_A15_seed,SUM-159_NLS_2N_O1_A15_seed,23,15,2025-07-07,2,2122116,2N,"starvation
line 1",0,0.47893581972953,752205.147027661
SUM-159_NLS_2N_O1_A15_seedT2,SUM-159,SUM-159_NLS_2N_O1_A15_seed,SUM-159_NLS_2N_O1_A15_seed,23,15,2025-07-09,4,4910388,2N,"starvation
line 1",0,0.47893581972953,752205.147027661
SUM-159_NLS_2N_O1_A16_seed,SUM-159,SUM-159_NLS_2N_O1_A15_seedT2,SUM-159_NLS_2N_O1_A16_seed,24,16,2025-07-26,0,451159,2N,"starvation
line 1",0,0.313471183522771,660991.773183453
SUM-159_NLS_2N_O1_A16_seedT1,SUM-159,SUM-159_NLS_2N_O1_A16_seed,SUM-159_NLS_2N_O1_A16_seed,24,16,2025-07-28,2,1763418,2N,"starvation
line 1",0,0.313471183522771,660991.773183453
SUM-159_NLS_2N_O1_A16_seedT2,SUM-159,SUM-159_NLS_2N_O1_A16_seed,SUM-159_NLS_2N_O1_A16_seed,24,16,2025-07-30,4,2259135,2N,"starvation
line 1",0,0.313471183522771,660991.773183453
SUM-159_NLS_2N_O1_A16_seedT3,SUM-159,SUM-159_NLS_2N_O1_A16_seed,SUM-159_NLS_2N_O1_A16_seed,24,16,2025-08-01,6,6217077,2N,"starvation
line 1",0,0.313471183522771,660991.773183453
SUM-159_NLS_2N_O1_A16_seedT4,SUM-159,SUM-159_NLS_2N_O1_A16_seed,SUM-159_NLS_2N_O1_A16_seed,24,16,2025-08-04,9,8159844,2N,"starvation
line 1",0,0.313471183522771,660991.773183453
SUM-159_NLS_2N_O1_A17_seed,SUM-159,SUM-159_NLS_2N_O1_A16_seedT4,SUM-159_NLS_2N_O1_A17_seed,25,17,2025-08-06,0,394346,2N,"starvation
line 1",0,0.437413363577022,380297.082486914
SUM-159_NLS_2N_O1_A17_seedT1,SUM-159,SUM-159_NLS_2N_O1_A17_seed,SUM-159_NLS_2N_O1_A17_seed,25,17,2025-08-08,2,831023,2N,"starvation
line 1",0,0.437413363577022,380297.082486914
SUM-159_NLS_2N_O1_A17_seedT2,SUM-159,SUM-159_NLS_2N_O1_A17_seed,SUM-159_NLS_2N_O1_A17_seed,25,17,2025-08-11,5,3766339,2N,"starvation
line 1",0,0.437413363577022,380297.082486914
SUM-159_NLS_2N_O1_A17_seedT3,SUM-159,SUM-159_NLS_2N_O1_A17_seed,SUM-159_NLS_2N_O1_A17_seed,25,17,2025-08-13,7,7737649,2N,"starvation
line 1",0,0.437413363577022,380297.082486914
SUM-159_NLS_2N_O1_A18_seed,SUM-159,SUM-159_NLS_2N_O1_A17_seedT3,SUM-159_NLS_2N_O1_A18_seed,26,18,2025-08-15,0,578151,2N,"starvation
line 1",0,0.571675739310715,571291.706775282
SUM-159_NLS_2N_O1_A18_seedT1,SUM-159,SUM-159_NLS_2N_O1_A18_seed,SUM-159_NLS_2N_O1_A18_seed,26,18,2025-08-18,3,3081246,2N,"starvation
line 1",0,0.571675739310715,571291.706775282
SUM-159_NLS_2N_O1_A18_seedT2,SUM-159,SUM-159_NLS_2N_O1_A18_seed,SUM-159_NLS_2N_O1_A18_seed,26,18,2025-08-20,5,10139372,2N,"starvation
line 1",0,0.571675739310715,571291.706775282
SUM-159_NLS_2N_O1_A19_seed,SUM-159,SUM-159_NLS_2N_O1_A18_seedT2,SUM-159_NLS_2N_O1_A19_seed,27,19,2025-08-22,0,1129568,2N,"starvation
line 1",0,0.514139394650451,1265443.84185626
SUM-159_NLS_2N_O1_A19_seedT1,SUM-159,SUM-159_NLS_2N_O1_A19_seed,SUM-159_NLS_2N_O1_A19_seed,27,19,2025-08-25,3,7860186,2N,"starvation
line 1",0,0.514139394650451,1265443.84185626
SUM-159_NLS_2N_O1_A19_seedT2,SUM-159,SUM-159_NLS_2N_O1_A19_seed,SUM-159_NLS_2N_O1_A19_seed,27,19,2025-08-27,5,13953612,2N,"starvation
line 1",0,0.514139394650451,1265443.84185626
SUM-159_NLS_2N_O1_A2_seedT1,SUM-159,SUM-159_NLS_2N_O1_A2_seed,SUM-159_NLS_2N_O1_A2_seed,10, 2,2024-11-22,2,832980,2N,"starvation
line 1",1,0.559363522840898,348668.444240021
SUM-159_NLS_2N_O1_A2_seed,SUM-159,SUM-159_NLS_2N_O1_A1_seedT1,SUM-159_NLS_2N_O1_A2_seed,10, 2,2024-11-20,0,404570,2N,"starvation
line 1",1,0.559363522840898,348668.444240021
SUM-159_NLS_2N_O1_A2_seedT2,SUM-159,SUM-159_NLS_2N_O1_A2_seed,SUM-159_NLS_2N_O1_A2_seed,10, 2,2024-11-25,5,6311159,2N,"starvation
line 1",1,0.559363522840898,348668.444240021
SUM-159_NLS_2N_O1_A20_seed,SUM-159,SUM-159_NLS_2N_O1_A19_seedT2,SUM-159_NLS_2N_O1_A20_seed,28,20,2025-08-29,0,588177,2N,"starvation
line 1",0,0.426979996229704,502819.188598892
SUM-159_NLS_2N_O1_A20_seedT1,SUM-159,SUM-159_NLS_2N_O1_A20_seed,SUM-159_NLS_2N_O1_A20_seed,28,20,2025-09-01,3,1223141,2N,"starvation
line 1",0,0.426979996229704,502819.188598892
SUM-159_NLS_2N_O1_A20_seedT2,SUM-159,SUM-159_NLS_2N_O1_A20_seed,SUM-159_NLS_2N_O1_A20_seed,28,20,2025-09-03,5,5379370,2N,"starvation
line 1",0,0.426979996229704,502819.188598892
SUM-159_NLS_2N_O1_A21_seed,SUM-159,SUM-159_NLS_2N_O1_A20_seedT2,SUM-159_NLS_2N_O1_A21_seed,29,21,2025-09-05,0,585949,2N,"starvation
line 1",0,0.474305889804198,534578.258329951
SUM-159_NLS_2N_O1_A21_seedT1,SUM-159,SUM-159_NLS_2N_O1_A21_seed,SUM-159_NLS_2N_O1_A21_seed,29,21,2025-09-08,3,1763418,2N,"starvation
line 1",0,0.474305889804198,534578.258329951
SUM-159_NLS_2N_O1_A21_seedT2,SUM-159,SUM-159_NLS_2N_O1_A21_seed,SUM-159_NLS_2N_O1_A21_seed,29,21,2025-09-10,5,6572434,2N,"starvation
line 1",0,0.474305889804198,534578.258329951
SUM-159_NLS_2N_O1_A22_seed,SUM-159,SUM-159_NLS_2N_O1_A21_seedT2,SUM-159_NLS_2N_O1_A22_seed,30,22,2025-09-19,0,502401,2N,"starvation
line 1",0,0.706725131849525,502401
SUM-159_NLS_2N_O1_A22_seedT1,SUM-159,SUM-159_NLS_2N_O1_A22_seed,SUM-159_NLS_2N_O1_A22_seed,30,22,2025-09-22,3,4186306,2N,"starvation
line 1",0,0.706725131849525,502401
SUM-159_NLS_2N_O1_A3_seedT2,SUM-159,SUM-159_NLS_2N_O1_A3_seed,SUM-159_NLS_2N_O1_A3_seed,11, 3,2024-12-02,5,7094357,2N,"starvation
line 1",0.5,0.564954728131391,474956.280252528
SUM-159_NLS_2N_O1_A3_seedT1,SUM-159,SUM-159_NLS_2N_O1_A3_seed,SUM-159_NLS_2N_O1_A3_seed,11, 3,2024-11-29,2,1989196,2N,"starvation
line 1",0.5,0.564954728131391,474956.280252528
