solution	context	cohort	N_ref	n_oxygen_grid	max_misseg_nonviable_rate	max_boundary_dropped_rate	max_boundary_share_of_cin_loss	median_boundary_share_of_cin_loss
tsne_vi_seed25_C02Sc01_vt_seed10	invitro	5N	110	866	0.195308115699326	0.000370015329779188	0.00189093859305183	0.00180232429726197
tsne_vi_seed290_C01Sc02_vt_seed10	invitro	5N	110	866	0.195359147961001	0.000206007758659872	0.00105339705277141	0.0010039985477199
tsne_vi_seed311_C03Sc02_vt_seed10	invitro	5N	110	866	0.19540029680967	0.000384055867584597	0.00196162697545959	0.00187035858821502
tsne_vi_seed322_C02Sc02_vt_seed10	invitro	5N	110	866	0.195279699669561	0.0005325034307248	0.00271945988193635	0.00259211975977985
tsne_vi_seed366_C01Sc01_vt_seed10	invitro	5N	110	866	0.195458290271694	0.000269657283859532	0.00137771476800979	0.00131316557504725
tsne_vi_seed138_C03Sc01_vt_seed10	invivo	5N	110	896	0.201133298121794	0.0112054973901933	0.0581091578712234	0.0104571275237105
tsne_vi_seed25_C02Sc01_vt_seed10	invivo	5N	110	907	0.270952474937143	2.72957404754858e-06	1.15919601032875e-05	7.98608777776117e-06
tsne_vi_seed290_C01Sc02_vt_seed10	invivo	5N	110	916	0.223090456458196	0.0118215168625123	0.0511492365527428	0.0395506372195155
tsne_vi_seed311_C03Sc02_vt_seed10	invivo	5N	110	885	0.458291764110724	0.000114085419672881	0.000473196117265162	0.000254524265516302
tsne_vi_seed322_C02Sc02_vt_seed10	invivo	5N	110	875	0.293606813146163	9.6925152161723e-05	0.000573562642887307	0.000273692376637293
tsne_vi_seed366_C01Sc01_vt_seed10	invivo	5N	110	902	0.218604190381367	5.60524607015081e-05	0.000335695580618507	0.000195672905522564
