solution	objective	context	oxygen_pct	cohort	N_ref	current_N_min	current_N_max	expanded_N_min	expanded_N_max	current_misseg_nonviable_rate	expanded_misseg_nonviable_rate	current_boundary_dropped_rate	expanded_boundary_dropped_rate	upper_truncation_rate_removed	current_boundary_share	expanded_boundary_share	upper_truncation_share_of_current_cin_loss
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.68	5N	110	22	154	22	308	0.159376602463596	0.159376602463596	4.04838228083783e-05	0	4.04838228083783e-05	0.000253949082569771	0	0.000253949082569771
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.6931401920287	5N	110	22	154	22	308	0.158536067891669	0.158536067891669	4.04868413685764e-05	0	4.04868413685764e-05	0.000255314169466828	0	0.000255314169466828
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.6940639269406	5N	110	22	154	22	308	0.158476887424522	0.158476887424522	4.04871281072672e-05	0	4.04871281072672e-05	0.000255411296216145	0	0.000255411296216145
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.7	5N	110	22	154	22	308	0.158096305181359	0.158096305181359	4.04891738695572e-05	0	4.04891738695572e-05	0.000256038918928664	0	0.000256038918928664
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.7008904901364	5N	110	22	154	22	308	0.158039171737264	0.158039171737264	4.04895094814234e-05	0	4.04895094814234e-05	0.00025613357950093	0	0.00025613357950093
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.7168949771689	5N	110	22	154	22	308	0.157010582998238	0.157010582998238	4.04964756170089e-05	0	4.04964756170089e-05	0.000257855442653932	0	0.000257855442653932
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.72	5N	110	22	154	22	308	0.15681065789738	0.15681065789738	4.0498074231276e-05	0	4.0498074231276e-05	0.000258194298795004	0	0.000258194298795004
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.7236539506301	5N	110	22	154	22	308	0.156575241944608	0.156575241944608	4.05000267205003e-05	0	4.05000267205003e-05	0.000258594865437693	0	0.000258594865437693
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.7397260273973	5N	110	22	154	22	308	0.155537958715738	0.155537958715738	4.05093835974035e-05	0	4.05093835974035e-05	0.000260379113461502	0	0.000260379113461502
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.74	5N	110	22	154	22	308	0.155520252401235	0.155520252401235	4.05095523355642e-05	0	4.05095523355642e-05	0.00026040983488918	0	0.00026040983488918
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	2.7464174111238	5N	110	22	154	22	308	0.155105286699913	0.155105286699913	4.05135777013925e-05	0	4.05135777013925e-05	0.000261132287363876	0	0.000261132287363876
