solution	objective	oxygen_pct	current_N_min	current_N_max	expanded_N_min	expanded_N_max	current_status	expanded_status	current_dominant_mean_ploidy	expanded_dominant_mean_ploidy	expanded_minus_current_ploidy	current_dominant_growth_rate	expanded_dominant_growth_rate	current_spectral_gap	expanded_spectral_gap
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	2	22	154	22	308	ok	ok	1.02695979429205	1.0269629287639	3.13447184296933e-06	0.0309541712021757	0.0309541712021757	0.00357905855954806	0.00357905846508603
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	5	22	154	22	308	ok	ok	2.41312219408495	2.4131381451997	1.5951114750834e-05	0.19110407229012	0.19110407229015	0.0122693751805152	0.0122693751795848
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	0	22	154	22	308	ok	ok	6.90040602620213	13.9858461895523	7.08544016335013	-0.00247967004581095	-0.000531807102590778	3.58041676047798e-05	3.87691574932141e-06
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	0.1	22	154	22	308	ok	ok	6.90009069175009	13.9858379599861	7.08574726823604	-0.00255178053577249	-0.000547508686351171	3.68248373737367e-05	3.99090776746986e-06
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	0.5	22	154	22	308	ok	ok	6.8224047442786	13.9842947928284	7.16189004854979	-0.0145634546896655	-0.00336686858914052	0.000190660182355015	2.40187790715046e-05
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	1	22	154	22	308	ok	ok	1.29489196870778	1.29512235624358	0.000230387535798293	0.0564959665857405	0.0564959708969029	0.0710246300631582	0.0710236057327691
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	2	22	154	22	308	ok	ok	1.19358055691919	1.19358106436274	5.07443550512576e-07	0.124672383956427	0.124672383957315	0.00884418926869741	0.00884418925130964
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	5	22	154	22	308	ok	ok	1.20586086620311	1.20586113483799	2.68634882782948e-07	0.133224965694798	0.133224965694798	0.000422416780542362	0.000422416780532758
tsne_vi_seed311_C03Sc02_vt_seed10	19.4144872936097	0	22	154	22	308	ok	ok	6.84798811978826	13.9914272673176	7.14343914752933	-0.00754967061247453	-0.00201953059156074	9.30420179169984e-05	1.26292374699462e-05
tsne_vi_seed311_C03Sc02_vt_seed10	19.4144872936097	0.1	22	154	22	308	ok	ok	6.84798548193122	13.9914272355848	7.14344175365357	-0.00755202351226878	-0.00202017191265891	9.30702570795475e-05	1.26332206435232e-05
tsne_vi_seed311_C03Sc02_vt_seed10	19.4144872936097	0.5	22	154	22	308	ok	ok	6.8409547591238	13.9913438257315	7.15038906660772	-0.0136027308002566	-0.00369481768481936	0.000164129038301632	2.29750181694969e-05
tsne_vi_seed311_C03Sc02_vt_seed10	19.4144872936097	1	22	154	22	308	ok	ok	5.9897777881175	13.9888800673362	7.9991022792187	-0.120203720645284	-0.0448562900620817	0.000913265975140451	0.00023996954156906
tsne_vi_seed311_C03Sc02_vt_seed10	19.4144872936097	2	22	154	22	308	ok	ok	2.40311130076525	2.40318701222011	7.5711454858407e-05	0.0602500404264928	0.0602500405502698	0.0519952431143475	0.0519952397630911
tsne_vi_seed311_C03Sc02_vt_seed10	19.4144872936097	5	22	154	22	308	ok	ok	2.68534613460226	2.68570926488677	0.000363130284516622	0.133132726198093	0.133132726499691	0.0285297393634184	0.028529725542836
