harvest	cohort	dose	day	obs_burden	pred_min	pred_q025	pred_q25	pred_median	pred_q75	pred_q975	pred_max	observed_in_minmax_envelope	observed_in_q025_q975_envelope	median_log_residual
SUM159-2N-0-RL_harvest	2N	0	49	1441.3725	1355.28195437815	1355.28195437815	1378.44048197055	1507.25971805883	1630.79650441102	1677.48553223657	1677.48553223657	TRUE	TRUE	-0.0446974612566642
SUM159-2N-0-RL_harvest	2N	0	53	1902.7625	1658.21981379324	1658.21981379324	1662.55428941909	1808.30194416305	1982.96085718464	1990.93762267255	1990.93762267255	TRUE	TRUE	0.050918525041511
SUM159-2N-0-RL_harvest	2N	0	56	2622.36	1880.70090377329	1880.70090377329	1902.28250887365	2040.65375470378	2226.68530150613	2227.02518889993	2227.02518889993	FALSE	FALSE	0.250804451178651
SUM159-2N-0-RR_harvest	2N	0	25	161.504	171.23349917076	171.23349917076	182.320784419354	212.43433530857	230.685484521396	235.743962619373	235.743962619373	FALSE	FALSE	-0.274103020140486
SUM159-2N-0-RR_harvest	2N	0	28	352.336	248.446421945764	248.446421945764	263.005439270116	279.486274645258	303.043472132668	306.602359041239	306.602359041239	FALSE	FALSE	0.231632081189281
SUM159-2N-0-RR_harvest	2N	0	32	456.896	386.902873844098	386.902873844098	405.51976809689	418.966925624134	428.599400121447	432.33708142711	432.33708142711	FALSE	FALSE	0.0866638135314179
SUM159-2N-0-RR_harvest	2N	0	35	622.08	515.434626713592	515.434626713592	524.742299005962	544.206056108495	587.240603867656	611.033534843861	611.033534843861	FALSE	FALSE	0.133740747083761
SUM159-2N-0-RR_harvest	2N	0	39	749.7	722.635432453396	722.635432453396	731.338699446323	746.059575551633	878.133542256637	900.577414540682	900.577414540682	TRUE	TRUE	0.00486766950511086
SUM159-2N-0-RR_harvest	2N	0	42	1379.742	897.429446871386	897.429446871386	905.088222605394	949.975396312677	1101.17399548409	1131.24898318181	1131.24898318181	FALSE	FALSE	0.373215718509986
SUM159-2N-0-RR_harvest	2N	0	46	1335.1	1147.34956195584	1147.34956195584	1172.69127008968	1264.15306893397	1396.97050521411	1442.88010075592	1442.88010075592	TRUE	TRUE	0.0546038081809526
SUM159-2N-0-RR_harvest	2N	0	49	1811.25	1355.28195437815	1355.28195437815	1378.44048197055	1507.25971805883	1630.79650441102	1677.48553223657	1677.48553223657	FALSE	FALSE	0.183723968743399
SUM159-2N-0-RR_harvest	2N	0	53	2314.704	1658.21981379324	1658.21981379324	1662.55428941909	1808.30194416305	1982.96085718464	1990.93762267255	1990.93762267255	FALSE	FALSE	0.246893565050882
SUM159-2N-0-RR_harvest	2N	0	56	3375.352	1880.70090377329	1880.70090377329	1902.28250887365	2040.65375470378	2226.68530150613	2227.02518889993	2227.02518889993	FALSE	FALSE	0.503229390673036
SUM159-4N-0-0_harvest	4N	0	56	95.506	358.165263304962	358.165263304962	361.949131047161	368.525026497383	386.5936130131	394.299423186943	394.299423186943	FALSE	FALSE	-1.35031955109625
SUM159-4N-0-0_harvest	4N	0	60	214.2425	496.081644604376	496.081644604376	497.446820437352	517.403158341384	527.127960462157	527.307472672733	527.307472672733	FALSE	FALSE	-0.881713822957137
SUM159-4N-0-0_harvest	4N	0	63	349.272	621.629447314409	621.629447314409	626.988292464272	650.57720487661	663.831319142403	665.139300362869	665.139300362869	FALSE	FALSE	-0.622008988067622
SUM159-4N-0-0_harvest	4N	0	67	668.367	819.591427713064	819.591427713064	821.926841871315	844.570131535944	883.137456882683	899.386544695686	899.386544695686	FALSE	FALSE	-0.23399035397074
SUM159-4N-0-0_harvest	4N	0	70	893.83	959.246673177593	959.246673177593	984.455190028165	1020.6921778107	1063.771544906	1091.19150749786	1091.19150749786	FALSE	FALSE	-0.132720681334447
SUM159-4N-0-0_harvest	4N	0	74	1056.296	1154.77323849298	1154.77323849298	1183.15460376781	1299.90691360259	1333.2770649976	1372.6959502264	1372.6959502264	FALSE	FALSE	-0.207524207945833
SUM159-4N-0-0_harvest	4N	0	77	1205.604	1307.58771807046	1307.58771807046	1336.07736362454	1529.78006946617	1565.48882700955	1609.2992138557	1609.2992138557	FALSE	FALSE	-0.238143293450352
SUM159-4N-0-0_harvest	4N	0	81	1463.414	1518.88686486446	1518.88686486446	1544.60997438491	1860.83396385252	1937.00769589933	1968.26496257209	1968.26496257209	FALSE	FALSE	-0.240252692716648
SUM159-4N-0-0_harvest	4N	0	84	2058.75	1682.72029705827	1682.72029705827	1704.20550171265	2120.12470752439	2278.94729389708	2297.1918347459	2297.1918347459	TRUE	TRUE	-0.0293759087480838
SUM159-4N-0-0_harvest	4N	0	88	3239.532	1908.00531187613	1908.00531187613	1920.94781593138	2489.43377591717	2791.63442339825	2889.21824797314	2889.21824797314	FALSE	FALSE	0.26337358953925
SUM159-4N-0-0_harvest	4N	0	91	3914.144	2081.95877507155	2081.95877507155	2086.30230550879	2779.73846126233	3281.04528085205	3434.86700256863	3434.86700256863	FALSE	FALSE	0.342239814709501
SUM159-4N-0-L_harvest	4N	0	32	50.8475	67.9727140386864	67.9727140386864	69.5664904219688	71.9307931474021	75.2885967098306	75.9504555460466	75.9504555460466	FALSE	FALSE	-0.346873493397459
SUM159-4N-0-L_harvest	4N	0	35	113.715	79.1882099419802	79.1882099419802	81.9414272220353	85.6652258570236	88.4981538626881	90.5295884007111	90.5295884007111	FALSE	FALSE	0.283248340880312
SUM159-4N-0-L_harvest	4N	0	39	207.1035	99.2938622182099	99.2938622182099	103.675662072439	108.707508478766	112.469960470367	116.997516057766	116.997516057766	FALSE	FALSE	0.644557801323808
SUM159-4N-0-L_harvest	4N	0	42	340.9175	119.922103002988	119.922103002988	125.582417596803	131.017285012697	137.545368732798	142.953563174865	142.953563174865	FALSE	FALSE	0.956311251369773
SUM159-4N-0-L_harvest	4N	0	46	471.3705	158.406706791752	158.406706791752	165.879373572213	171.514573121335	181.976671621802	188.791843995525	188.791843995525	FALSE	FALSE	1.01097617152928
SUM159-4N-0-L_harvest	4N	0	49	848.718	199.019104625373	199.019104625373	207.985940487106	212.857670489578	226.446833948953	234.374111375592	234.374111375592	FALSE	FALSE	1.38310324696725
SUM159-4N-0-L_harvest	4N	0	53	1079.09	276.178454629092	276.178454629092	286.522953876167	288.473200705643	306.329882691906	315.141524534464	315.141524534464	FALSE	FALSE	1.31927118254643
SUM159-4N-0-L_harvest	4N	0	56	1385.208	358.165263304962	358.165263304962	361.949131047161	368.525026497383	386.5936130131	394.299423186943	394.299423186943	FALSE	FALSE	1.32409696401637
SUM159-4N-0-L_harvest	4N	0	60	1734.104	496.081644604376	496.081644604376	497.446820437352	517.403158341384	527.127960462157	527.307472672733	527.307472672733	FALSE	FALSE	1.20942375848589
SUM159-4N-0-L_harvest	4N	0	63	1898.6355	621.629447314409	621.629447314409	626.988292464272	650.57720487661	663.831319142403	665.139300362869	665.139300362869	FALSE	FALSE	1.07103077291413
SUM159-4N-0-L_harvest	4N	0	67	2810.712	819.591427713064	819.591427713064	821.926841871315	844.570131535944	883.137456882683	899.386544695686	899.386544695686	FALSE	FALSE	1.20236533317581
SUM159-4N-0-L_harvest	4N	0	70	3139.0625	959.246673177593	959.246673177593	984.455190028165	1020.6921778107	1063.771544906	1091.19150749786	1091.19150749786	FALSE	FALSE	1.123443185617
SUM159-4N-0-L_harvest	4N	0	74	4139.96	1154.77323849298	1154.77323849298	1183.15460376781	1299.90691360259	1333.2770649976	1372.6959502264	1372.6959502264	FALSE	FALSE	1.15839346897215
SUM159-4N-0-L_harvest	4N	0	77	5899.278	1307.58771807046	1307.58771807046	1336.07736362454	1529.78006946617	1565.48882700955	1609.2992138557	1609.2992138557	FALSE	FALSE	1.34970599091712
SUM159-4N-0-R_harvest	4N	0	35	73.2305	79.1882099419802	79.1882099419802	81.9414272220353	85.6652258570236	88.4981538626881	90.5295884007111	90.5295884007111	FALSE	FALSE	-0.156834976443583
SUM159-4N-0-R_harvest	4N	0	39	117.6	99.2938622182099	99.2938622182099	103.675662072439	108.707508478766	112.469960470367	116.997516057766	116.997516057766	FALSE	FALSE	0.0786281684813144
SUM159-4N-0-R_harvest	4N	0	42	109.8	119.922103002988	119.922103002988	125.582417596803	131.017285012697	137.545368732798	142.953563174865	142.953563174865	FALSE	FALSE	-0.176668732083332
SUM159-4N-0-R_harvest	4N	0	46	261.612	158.406706791752	158.406706791752	165.879373572213	171.514573121335	181.976671621802	188.791843995525	188.791843995525	FALSE	FALSE	0.422194252626314
SUM159-4N-0-R_harvest	4N	0	49	295.245	199.019104625373	199.019104625373	207.985940487106	212.857670489578	226.446833948953	234.374111375592	234.374111375592	FALSE	FALSE	0.327181791441843
SUM159-4N-0-R_harvest	4N	0	53	352.352	276.178454629092	276.178454629092	286.522953876167	288.473200705643	306.329882691906	315.141524534464	315.141524534464	FALSE	FALSE	0.200028486132601
SUM159-4N-0-R_harvest	4N	0	56	424.128	358.165263304962	358.165263304962	361.949131047161	368.525026497383	386.5936130131	394.299423186943	394.299423186943	FALSE	FALSE	0.140526672631242
SUM159-4N-0-R_harvest	4N	0	60	601.859	496.081644604376	496.081644604376	497.446820437352	517.403158341384	527.127960462157	527.307472672733	527.307472672733	FALSE	FALSE	0.151200824618099
SUM159-4N-0-R_harvest	4N	0	63	730.6815	621.629447314409	621.629447314409	626.988292464272	650.57720487661	663.831319142403	665.139300362869	665.139300362869	FALSE	FALSE	0.116117683941866
SUM159-4N-0-R_harvest	4N	0	67	1048.576	819.591427713064	819.591427713064	821.926841871315	844.570131535944	883.137456882683	899.386544695686	899.386544695686	FALSE	FALSE	0.216360554377362
SUM159-4N-0-R_harvest	4N	0	70	1140.625	959.246673177593	959.246673177593	984.455190028165	1020.6921778107	1063.771544906	1091.19150749786	1091.19150749786	FALSE	FALSE	0.111095354944506
SUM159-4N-0-R_harvest	4N	0	74	1741.368	1154.77323849298	1154.77323849298	1183.15460376781	1299.90691360259	1333.2770649976	1372.6959502264	1372.6959502264	FALSE	FALSE	0.292378354241591
SUM159-4N-0-R_harvest	4N	0	77	2096.976	1307.58771807046	1307.58771807046	1336.07736362454	1529.78006946617	1565.48882700955	1609.2992138557	1609.2992138557	FALSE	FALSE	0.315372327307943
SUM159-4N-0-RR_harvest	4N	0	46	13.95	158.406706791752	158.406706791752	165.879373572213	171.514573121335	181.976671621802	188.791843995525	188.791843995525	FALSE	FALSE	-2.50918872919692
SUM159-4N-0-RR_harvest	4N	0	49	50.625	199.019104625373	199.019104625373	207.985940487106	212.857670489578	226.446833948953	234.374111375592	234.374111375592	FALSE	FALSE	-1.43617820326451
SUM159-4N-0-RR_harvest	4N	0	53	126.15	276.178454629092	276.178454629092	286.522953876167	288.473200705643	306.329882691906	315.141524534464	315.141524534464	FALSE	FALSE	-0.827130514711512
SUM159-4N-0-RR_harvest	4N	0	56	209.484	358.165263304962	358.165263304962	361.949131047161	368.525026497383	386.5936130131	394.299423186943	394.299423186943	FALSE	FALSE	-0.564861259703877
SUM159-4N-0-RR_harvest	4N	0	60	217.728	496.081644604376	496.081644604376	497.446820437352	517.403158341384	527.127960462157	527.307472672733	527.307472672733	FALSE	FALSE	-0.86557579665466
SUM159-4N-0-RR_harvest	4N	0	63	312.05	621.629447314409	621.629447314409	626.988292464272	650.57720487661	663.831319142403	665.139300362869	665.139300362869	FALSE	FALSE	-0.734696544966705
SUM159-4N-0-RR_harvest	4N	0	67	452.824	819.591427713064	819.591427713064	821.926841871315	844.570131535944	883.137456882683	899.386544695686	899.386544695686	FALSE	FALSE	-0.623324248821503
SUM159-4N-0-RR_harvest	4N	0	70	458.397	959.246673177593	959.246673177593	984.455190028165	1020.6921778107	1063.771544906	1091.19150749786	1091.19150749786	FALSE	FALSE	-0.800500660949854
SUM159-4N-0-RR_harvest	4N	0	74	779.76	1154.77323849298	1154.77323849298	1183.15460376781	1299.90691360259	1333.2770649976	1372.6959502264	1372.6959502264	FALSE	FALSE	-0.511061755935834
SUM159-4N-0-RR_harvest	4N	0	77	856.3095	1307.58771807046	1307.58771807046	1336.07736362454	1529.78006946617	1565.48882700955	1609.2992138557	1609.2992138557	FALSE	FALSE	-0.580247382393889
SUM159-4N-0-RR_harvest	4N	0	81	919.1375	1518.88686486446	1518.88686486446	1544.60997438491	1860.83396385252	1937.00769589933	1968.26496257209	1968.26496257209	FALSE	FALSE	-0.70534430356804
SUM159-4N-0-RR_harvest	4N	0	84	1802.112	1682.72029705827	1682.72029705827	1704.20550171265	2120.12470752439	2278.94729389708	2297.1918347459	2297.1918347459	TRUE	TRUE	-0.162515600839926
SUM159-4N-0-RR_harvest	4N	0	88	2044.224	1908.00531187613	1908.00531187613	1920.94781593138	2489.43377591717	2791.63442339825	2889.21824797314	2889.21824797314	TRUE	TRUE	-0.197037030009327
SUM159-4N-0-RR_harvest	4N	0	91	2423.025	2081.95877507155	2081.95877507155	2086.30230550879	2779.73846126233	3281.04528085205	3434.86700256863	3434.86700256863	TRUE	TRUE	-0.137340085025227
