solution	objective	objective_delta	harvest	cohort	dose	n_observed_cells	observed_mean_N	predicted_mean_N	mean_N_residual_obs_minus_pred	total_variation_distance	wasserstein1_chromosomes	jensen_shannon_distance
tsne_vi_seed311_C03Sc02_vt_seed10	19.4144872936097	0.5622013802389	SUM159-2N-0-RL_harvest	2N	0	547	47.7349177330896	49.708974624341	-1.97405689125144	0.787583599369831	5.9171992435937	0.671133250178839
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	0.0377736253945997	SUM159-2N-0-RL_harvest	2N	0	547	47.7349177330896	46.0435825682332	1.69133516485634	0.770849793990378	4.8366322656805	0.661489197817573
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0	SUM159-2N-0-RL_harvest	2N	0	547	47.7349177330896	46.09952350436	1.63539422872956	0.768946573456833	4.72697073699031	0.6598292955625
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	1.1259498752024	SUM159-2N-0-RR_harvest	2N	0	2274	40.476253298153	41.9065400234625	-1.43028672530945	0.614498638570439	2.40511743675293	0.5353132171017
tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628	SUM159-2N-0-RR_harvest	2N	0	2274	40.476253298153	46.1135018020786	-5.63724850392558	0.76855283207405	5.84694149974497	0.645920087846227
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502	SUM159-2N-0-RR_harvest	2N	0	2274	40.476253298153	41.9580161445943	-1.48176284644128	0.614074897622661	2.40503495157079	0.534954297243721
tsne_vi_seed311_C03Sc02_vt_seed10	19.4144872936097	0.5622013802389	SUM159-2N-0-RR_harvest	2N	0	2274	40.476253298153	49.708974624341	-9.23272132618799	0.85980884261866	9.55326082942519	0.709782792417793
tsne_vi_seed322_C02Sc02_vt_seed10	18.8900595387654	0.0377736253945997	SUM159-2N-0-RR_harvest	2N	0	2274	40.476253298153	46.0435825682332	-5.56732927008021	0.777671828247522	6.01283343554768	0.647353646826137
tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0	SUM159-2N-0-RR_harvest	2N	0	2274	40.476253298153	46.09952350436	-5.62327020620699	0.77291352518194	5.97638021947635	0.645270471826398
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	1.1259498752024	SUM159-4N-0-0_harvest	4N	0	1097	53.661804922516	47.0806704738028	6.58113444871312	0.806060174408449	7.20811884509281	0.65778473553314
