r_package	consumer_path	dependency	resolved_path	status	rpm_owner
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libm.so.6	/lib64/libm.so.6	resolved	glibc-2.28-251.el8_10.25.x86_64
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libreadline.so.8	/app/eb/software/libreadline/8.2-GCCcore-13.3.0/lib/libreadline.so.8	resolved	file /app/eb/software/libreadline/8.2-GCCcore-13.3.0/lib/libreadline.so.8 is not owned by any package
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libpcre2-8.so.0	/app/eb/software/PCRE2/10.43-GCCcore-13.3.0/lib/libpcre2-8.so.0	resolved	file /app/eb/software/PCRE2/10.43-GCCcore-13.3.0/lib/libpcre2-8.so.0 is not owned by any package
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libdeflate.so.0	/app/eb/software/libdeflate/1.20-GCCcore-13.3.0/lib/libdeflate.so.0	resolved	file /app/eb/software/libdeflate/1.20-GCCcore-13.3.0/lib/libdeflate.so.0 is not owned by any package
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	liblzma.so.5	/app/eb/software/XZ/5.4.5-GCCcore-13.3.0/lib/liblzma.so.5	resolved	file /app/eb/software/XZ/5.4.5-GCCcore-13.3.0/lib/liblzma.so.5 is not owned by any package
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libbz2.so.1.0	/app/eb/software/bzip2/1.0.8-GCCcore-13.3.0/lib/libbz2.so.1.0	resolved	file /app/eb/software/bzip2/1.0.8-GCCcore-13.3.0/lib/libbz2.so.1.0 is not owned by any package
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libz.so.1	/app/eb/software/zlib/1.3.1-GCCcore-13.3.0/lib/libz.so.1	resolved	file /app/eb/software/zlib/1.3.1-GCCcore-13.3.0/lib/libz.so.1 is not owned by any package
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	librt.so.1	/lib64/librt.so.1	resolved	glibc-2.28-251.el8_10.25.x86_64
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libdl.so.2	/lib64/libdl.so.2	resolved	glibc-2.28-251.el8_10.25.x86_64
cli	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/cli/libs/cli.so	libiconv.so.2	/app/eb/software/libiconv/1.17-GCCcore-13.3.0/lib/libiconv.so.2	resolved	file /app/eb/software/libiconv/1.17-GCCcore-13.3.0/lib/libiconv.so.2 is not owned by any package
