kind	path	ldd_output
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/spam64/libs/spam64.so	 libstdc++.so.6 => /app/eb/software/GCCcore/13.3.0/lib64/libstdc++.so.6 (0x00001555510a0000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 linux-vdso.so.1 (0x0000155555551000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libR.so => /app/eb/software/R/4.4.2-gfbf-2024a/lib/R/lib/libR.so (0x0000155554ea1000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libstdc++.so.6 => /app/eb/software/GCCcore/13.3.0/lib64/libstdc++.so.6 (0x0000155554c3d000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libm.so.6 => /lib64/libm.so.6 (0x00001555548bb000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libgcc_s.so.1 => /app/eb/software/GCCcore/13.3.0/lib64/libgcc_s.so.1 (0x000015555548e000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libc.so.6 => /lib64/libc.so.6 (0x00001555544e4000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libflexiblas.so.3 => /app/eb/software/FlexiBLAS/3.4.4-GCC-13.3.0/lib/libflexiblas.so.3 (0x00001555540a2000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libgfortran.so.5 => /app/eb/software/GCCcore/13.3.0/lib64/libgfortran.so.5 (0x0000155553dcb000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libreadline.so.8 => /app/eb/software/libreadline/8.2-GCCcore-13.3.0/lib/libreadline.so.8 (0x0000155555433000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libpcre2-8.so.0 => /app/eb/software/PCRE2/10.43-GCCcore-13.3.0/lib/libpcre2-8.so.0 (0x0000155555392000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libdeflate.so.0 => /app/eb/software/libdeflate/1.20-GCCcore-13.3.0/lib/libdeflate.so.0 (0x000015555537c000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 liblzma.so.5 => /app/eb/software/XZ/5.4.5-GCCcore-13.3.0/lib/liblzma.so.5 (0x0000155553d9c000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libbz2.so.1.0 => /app/eb/software/bzip2/1.0.8-GCCcore-13.3.0/lib/libbz2.so.1.0 (0x0000155555364000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libz.so.1 => /app/eb/software/zlib/1.3.1-GCCcore-13.3.0/lib/libz.so.1 (0x0000155553d81000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 librt.so.1 => /lib64/librt.so.1 (0x0000155553b79000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libdl.so.2 => /lib64/libdl.so.2 (0x0000155553975000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libpthread.so.0 => /lib64/libpthread.so.0 (0x0000155553755000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libiconv.so.2 => /app/eb/software/libiconv/1.17-GCCcore-13.3.0/lib/libiconv.so.2 (0x000015555366f000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libicuuc.so.75 => /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicuuc.so.75 (0x0000155553452000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libicui18n.so.75 => /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicui18n.so.75 (0x00001555530be000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libgomp.so.1 => /app/eb/software/GCCcore/13.3.0/lib64/libgomp.so.1 (0x000015555306b000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 /lib64/ld-linux-x86-64.so.2 (0x0000155555324000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libquadmath.so.0 => /app/eb/software/GCCcore/13.3.0/lib64/libquadmath.so.0 (0x0000155553024000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libncurses.so.6 => /app/eb/software/ncurses/6.5-GCCcore-13.3.0/lib/libncurses.so.6 (0x0000155552fbc000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/ggforce/libs/ggforce.so	 libicudata.so.75 => /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicudata.so.75 (0x000015555126b000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 linux-vdso.so.1 (0x0000155555551000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libR.so => /app/eb/software/R/4.4.2-gfbf-2024a/lib/R/lib/libR.so (0x0000155554ea1000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libstdc++.so.6 => /app/eb/software/GCCcore/13.3.0/lib64/libstdc++.so.6 (0x0000155554c3d000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libm.so.6 => /lib64/libm.so.6 (0x00001555548bb000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libgcc_s.so.1 => /app/eb/software/GCCcore/13.3.0/lib64/libgcc_s.so.1 (0x000015555544e000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libc.so.6 => /lib64/libc.so.6 (0x00001555544e4000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 /lib64/ld-linux-x86-64.so.2 (0x0000155555324000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libflexiblas.so.3 => /app/eb/software/FlexiBLAS/3.4.4-GCC-13.3.0/lib/libflexiblas.so.3 (0x00001555540a2000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libgfortran.so.5 => /app/eb/software/GCCcore/13.3.0/lib64/libgfortran.so.5 (0x0000155553dcb000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libreadline.so.8 => /app/eb/software/libreadline/8.2-GCCcore-13.3.0/lib/libreadline.so.8 (0x00001555553f3000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libpcre2-8.so.0 => /app/eb/software/PCRE2/10.43-GCCcore-13.3.0/lib/libpcre2-8.so.0 (0x0000155553d2a000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libdeflate.so.0 => /app/eb/software/libdeflate/1.20-GCCcore-13.3.0/lib/libdeflate.so.0 (0x00001555553dd000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 liblzma.so.5 => /app/eb/software/XZ/5.4.5-GCCcore-13.3.0/lib/liblzma.so.5 (0x00001555553ac000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libbz2.so.1.0 => /app/eb/software/bzip2/1.0.8-GCCcore-13.3.0/lib/libbz2.so.1.0 (0x0000155555396000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libz.so.1 => /app/eb/software/zlib/1.3.1-GCCcore-13.3.0/lib/libz.so.1 (0x000015555537b000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 librt.so.1 => /lib64/librt.so.1 (0x0000155553b22000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libdl.so.2 => /lib64/libdl.so.2 (0x000015555391e000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libpthread.so.0 => /lib64/libpthread.so.0 (0x00001555536fe000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libiconv.so.2 => /app/eb/software/libiconv/1.17-GCCcore-13.3.0/lib/libiconv.so.2 (0x0000155553618000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libicuuc.so.75 => /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicuuc.so.75 (0x00001555533fb000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libicui18n.so.75 => /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicui18n.so.75 (0x0000155553067000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libgomp.so.1 => /app/eb/software/GCCcore/13.3.0/lib64/libgomp.so.1 (0x0000155553014000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libquadmath.so.0 => /app/eb/software/GCCcore/13.3.0/lib64/libquadmath.so.0 (0x0000155552fcd000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libncurses.so.6 => /app/eb/software/ncurses/6.5-GCCcore-13.3.0/lib/libncurses.so.6 (0x0000155552f65000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/httpgd/libs/httpgd.so	 libicudata.so.75 => /app/eb/software/ICU/75.1-GCCcore-13.3.0/lib/libicudata.so.75 (0x0000155551214000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 linux-vdso.so.1 (0x0000155555551000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 libR.so => /app/eb/software/R/4.4.2-gfbf-2024a/lib/R/lib/libR.so (0x0000155554ea1000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 libc.so.6 => /lib64/libc.so.6 (0x0000155554aca000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 libflexiblas.so.3 => /app/eb/software/FlexiBLAS/3.4.4-GCC-13.3.0/lib/libflexiblas.so.3 (0x0000155554688000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 libgfortran.so.5 => /app/eb/software/GCCcore/13.3.0/lib64/libgfortran.so.5 (0x00001555543b1000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 libm.so.6 => /lib64/libm.so.6 (0x000015555402f000)
R_package	/home/4482173/R/x86_64-pc-linux-gnu-library/4.4/pak/library/lpSolve/libs/lpSolve.so	 libreadline.so.8 => /app/eb/software/libreadline/8.2-GCCcore-13.3.0/lib/libreadline.so.8 (0x000015555541b000)
