db_source_id	source_id	context_key	ploidy	condition_replicate	event	biological_passage	ltee_comment_membership	classification_status	n_bundles_success	n_bundles_failed	n_bundles_unavailable	failure_reasons	cell_state	count	eligible_denominator	frequency	feature_modes	prediction_shard
SUM-159_NLS_2N_O2_A12_seedT2	SUM-159_NLS_2N_O2_A12_seedT2	SUM-159-NLS-2N	2N	O2	harvest	17	TRUE	classified_full_promoted	4	0	0		dead_cell	950	4419	0.214980765	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A12_seedT2.tsv.gz
SUM-159_NLS_2N_O2_A12_seedT3	SUM-159_NLS_2N_O2_A12_seedT3	SUM-159-NLS-2N	2N	O2	harvest	17	TRUE	classified_full_promoted	4	0	0		dead_cell	518	6980	0.074212034	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A12_seedT3.tsv.gz
SUM-159_NLS_2N_O2_A13_seedT1	SUM-159_NLS_2N_O2_A13_seedT1	SUM-159-NLS-2N	2N	O2	harvest	18	TRUE	classified_full_promoted	4	0	0		dead_cell	163	1459	0.111720356	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A13_seedT1.tsv.gz
SUM-159_NLS_2N_O2_A13_seedT3	SUM-159_NLS_2N_O2_A13_seedT3	SUM-159-NLS-2N	2N	O2	harvest	18	TRUE	classified_full_promoted	4	0	0		dead_cell	810	10179	0.079575597	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A13_seedT3.tsv.gz
SUM-159_NLS_2N_O2_A14_seedT1	SUM-159_NLS_2N_O2_A14_seedT1	SUM-159-NLS-2N	2N	O2	harvest	19	TRUE	classified_full_promoted	4	0	0		dead_cell	133	901	0.147613762	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A14_seedT1.tsv.gz
SUM-159_NLS_2N_O2_A14_seedT2	SUM-159_NLS_2N_O2_A14_seedT2	SUM-159-NLS-2N	2N	O2	harvest	19	TRUE	classified_full_promoted	4	0	0		dead_cell	432	4598	0.093953893	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A14_seedT2.tsv.gz
SUM-159_NLS_2N_O2_A14_seedT3	SUM-159_NLS_2N_O2_A14_seedT3	SUM-159-NLS-2N	2N	O2	harvest	19	TRUE	classified_full_promoted	4	0	0		dead_cell	822	8489	0.096831193	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A14_seedT3.tsv.gz
SUM-159_NLS_2N_O2_A15_seedT1	SUM-159_NLS_2N_O2_A15_seedT1	SUM-159-NLS-2N	2N	O2	harvest	20	TRUE	classified_full_promoted	4	0	0		dead_cell	554	3361	0.164831895	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A15_seedT1.tsv.gz
SUM-159_NLS_2N_O2_A15_seedT2	SUM-159_NLS_2N_O2_A15_seedT2	SUM-159-NLS-2N	2N	O2	harvest	20	TRUE	classified_full_promoted	4	0	0		dead_cell	767	8038	0.095421747	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A15_seedT2.tsv.gz
SUM-159_NLS_2N_O2_A16_seedT2	SUM-159_NLS_2N_O2_A16_seedT2	SUM-159-NLS-2N	2N	O2	harvest	21	TRUE	classified_full_promoted	4	0	0		dead_cell	531	2807	0.189169932	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A16_seedT2.tsv.gz
SUM-159_NLS_2N_O2_A16_seedT3	SUM-159_NLS_2N_O2_A16_seedT3	SUM-159-NLS-2N	2N	O2	harvest	21	TRUE	classified_full_promoted	4	0	0		dead_cell	822	6650	0.123609023	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A16_seedT3.tsv.gz
SUM-159_NLS_2N_O2_A16_seedT4	SUM-159_NLS_2N_O2_A16_seedT4	SUM-159-NLS-2N	2N	O2	harvest	21	TRUE	classified_full_promoted	4	0	0		dead_cell	167	4971	0.03359485	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A16_seedT4.tsv.gz
SUM-159_NLS_2N_O2_A17_seedT1	SUM-159_NLS_2N_O2_A17_seedT1	SUM-159-NLS-2N	2N	O2	harvest	22	TRUE	classified_full_promoted	4	0	0		dead_cell	204	1071	0.19047619	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A17_seedT1.tsv.gz
SUM-159_NLS_2N_O2_A17_seedT2	SUM-159_NLS_2N_O2_A17_seedT2	SUM-159-NLS-2N	2N	O2	harvest	22	TRUE	classified_full_promoted	4	0	0		dead_cell	481	5405	0.088991674	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A17_seedT2.tsv.gz
SUM-159_NLS_2N_O2_A17_seedT3	SUM-159_NLS_2N_O2_A17_seedT3	SUM-159-NLS-2N	2N	O2	harvest	22	TRUE	classified_full_promoted	4	0	0		dead_cell	422	6375	0.066196078	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A17_seedT3.tsv.gz
SUM-159_NLS_2N_O2_A18_seedT1	SUM-159_NLS_2N_O2_A18_seedT1	SUM-159-NLS-2N	2N	O2	harvest	23	TRUE	classified_full_promoted	4	0	0		dead_cell	812	4205	0.193103448	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A18_seedT1.tsv.gz
SUM-159_NLS_2N_O2_A18_seedT2	SUM-159_NLS_2N_O2_A18_seedT2	SUM-159-NLS-2N	2N	O2	harvest	23	TRUE	classified_full_promoted	4	0	0		dead_cell	878	10333	0.084970483	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A18_seedT2.tsv.gz
SUM-159_NLS_2N_O2_A19_seedT1	SUM-159_NLS_2N_O2_A19_seedT1	SUM-159-NLS-2N	2N	O2	harvest	24	TRUE	classified_full_promoted	4	0	0		dead_cell	1030	9158	0.112469972	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A19_seedT1.tsv.gz
SUM-159_NLS_2N_O2_A19_seedT2	SUM-159_NLS_2N_O2_A19_seedT2	SUM-159-NLS-2N	2N	O2	harvest	24	TRUE	classified_full_promoted	4	0	0		dead_cell	1058	9704	0.109027205	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A19_seedT2.tsv.gz
SUM-159_NLS_2N_O2_A2_seedT1	SUM-159_NLS_2N_O2_A2_seedT1	SUM-159-NLS-2N	2N	O2	harvest	7	TRUE	classified_full_promoted	4	0	0		dead_cell	45	893	0.050391937	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A2_seedT1.tsv.gz
SUM-159_NLS_2N_O2_A2_seedT2	SUM-159_NLS_2N_O2_A2_seedT2	SUM-159-NLS-2N	2N	O2	harvest	7	TRUE	classified_full_promoted	4	0	0		dead_cell	249	8665	0.028736295	fixed_mask_promoted_full	/home/4470246/Repositories/Reversing-in-vitro-adaptations/code/output/metrics/morphology/sum159_all_db_cloneid_cell_state/predictions_by_cloneid/SUM-159_NLS_2N_O2_A2_seedT2.tsv.gz
