parameter,center_name,delta_name,invitro_name,transform,projection_applied,projection_action,feasible_before_projection,feasible_after_projection,center_raw_transformed,delta_raw_transformed,vivo_raw_transformed,vitro_raw_transformed,center_transformed,delta_transformed,vivo_transformed,vitro_transformed,center_raw_natural,vivo_raw_natural,vitro_raw_natural,center_projected_natural,vivo_projected_natural,vitro_projected_natural,joint_union_lower_transformed,joint_union_upper_transformed,joint_union_lower_bound,joint_union_upper_bound,delta_dynamic_lower_transformed,delta_dynamic_upper_transformed,pair,seed,objective,rank,ratio_vivo_to_vitro
n_O,n_O,delta__n_O,n_O,identity,False,none,True,True,2.55517829746501,1.37320692760003,3.24178176126502,1.86857483366499,2.55517829746501,1.37320692760003,3.24178176126502,1.86857483366499,2.55517829746501,3.24178176126502,1.86857483366499,2.55517829746501,3.24178176126502,1.86857483366499,0.0001,5.0,0.0001,5.0,-4.88964340506999,4.88964340506999,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,20.0088357367508,2,1.73489533459393
alpha_o2,log10_alpha_o2,delta__log10_alpha_o2,log10_alpha_o2,log10,False,none,True,True,0.101371914305943,0.804803819939848,0.503773824275867,-0.301029995663981,0.101371914305943,0.804803819939848,0.503773824275867,-0.301029995663981,1.26290858150935,3.18987617049993,0.5,1.26290858150935,3.18987617049993,0.5,-0.301029995663981,0.602059991327962,0.5,4.0,-0.804803819939848,0.804803819939848,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,20.0088357367508,2,6.37975234099986
gamma_growth,gamma_growth,delta__gamma_growth,gamma_growth,identity,False,none,True,True,1.87124074243996,0.74248148487991,2.24248148487991,1.5,1.87124074243996,0.74248148487991,2.24248148487991,1.5,1.87124074243996,2.24248148487991,1.5,1.87124074243996,2.24248148487991,1.5,1.5,4.5,1.5,4.5,-0.74248148487991,0.74248148487991,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,20.0088357367508,2,1.4949876565866067
lam_max,log10_lam_max,delta__log10_lam_max,log10_lam_max,log10,False,none,True,True,-0.37154577691773,-1.0028032418014,-0.872947397818432,0.129855843982972,-0.37154577691773,-1.0028032418014,-0.872947397818432,0.129855843982972,0.425063900477244,0.133983896023196,1.3485151936293,0.425063900477244,0.133983896023196,1.3485151936293,-2.30102999566398,0.176091259055681,0.005,1.5,-1.09527407194682,1.09527407194682,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,20.0088357367508,2,0.09935660840616935
p_mis_base,log10_p_mis_base,delta__log10_p_mis_base,log10_p_mis_base,log10,False,none,True,True,-4.64212308426928,0.656091832957177,-4.31407716779069,-4.97016900074787,-4.64212308426928,0.656091832957177,-4.31407716779069,-4.97016900074787,2.27969588725742e-05,4.85202279139004e-05,1.0711024168313e-05,2.27969588725742e-05,4.85202279139004e-05,1.0711024168313e-05,-6.0,-1.0,1e-06,0.1,-2.71575383146144,2.71575383146144,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,20.0088357367508,2,4.529933566711613
p_wgd,log10_p_wgd,delta__log10_p_wgd,log10_p_wgd,log10,False,none,True,True,-3.30859788526459,0.125387530216877,-3.24590412015615,-3.37129165037303,-3.30859788526459,0.125387530216877,-3.24590412015615,-3.37129165037303,0.0004913626199138,0.000567669916914,0.0004253126985504,0.0004913626199138,0.000567669916914,0.0004253126985504,-5.0,-3.0,1e-05,0.001,-0.617195770529179,0.617195770529179,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,20.0088357367508,2,1.3347118927998116
gamma_mu,gamma_mu,delta__gamma_mu,gamma_mu,identity,False,none,True,True,2.04358587597669,1.31652771655383,2.70184973425361,1.38532201769978,2.04358587597669,1.31652771655383,2.70184973425361,1.38532201769978,2.04358587597669,2.70184973425361,1.38532201769978,2.04358587597669,2.70184973425361,1.38532201769978,1.2,3.5,1.2,3.5,-1.68717175195339,1.68717175195339,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed86,20.0088357367508,2,1.9503405704471675
O2_crit,log10_O2_crit,delta__log10_O2_crit,log10_O2_crit,log10_nonnegative,False,none,True,True,-0.165391812931085,-0.707839637125871,-0.519311631494021,0.18852800563185,-0.165391812931085,-0.707839637125871,-0.519311631494021,0.18852800563185,0.683294912329102,0.302474222113353,1.54357595815179,0.683294912329102,0.302474222113353,1.54357595815179,-4.0,0.397940008672038,0.0001,2.5,-1.12666364320625,1.12666364320625,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,20.0092830999986,3,0.19595681088187092
mu_hp,log10_mu_hp,delta__log10_mu_hp,log10_mu_hp,log10,False,none,True,True,-1.54656298245412,1.50893402641973,-0.79209596924425,-2.30102999566398,-1.54656298245412,1.50893402641973,-0.79209596924425,-2.30102999566398,0.0284077617875923,0.161400185956118,0.005,0.0284077617875923,0.161400185956118,0.005,-2.30102999566398,-0.522878745280338,0.005,0.3,-1.50893402641973,1.50893402641973,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,20.0092830999986,3,32.2800371912236
p_misseg,log10_p_misseg,delta__log10_p_misseg,log10_p_misseg,log10,False,none,True,True,-1.13881643036999,1.67557286941202,-0.301029995663981,-1.976602865076,-1.13881643036999,1.67557286941202,-0.301029995663981,-1.976602865076,0.072641293618232,0.5,0.0105535150770604,0.072641293618232,0.5,0.0105535150770604,-2.30102999566398,-0.301029995663981,0.005,0.5,-1.67557286941202,1.67557286941202,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,20.0092830999986,3,47.37757954094582
k_o_mis,log10_k_o_mis,delta__log10_k_o_mis,log10_k_o_mis,log10,False,none,True,True,-3.28161315880086,1.33139593453867,-2.61591519153153,-3.9473111260702,-3.28161315880086,1.33139593453867,-2.61591519153153,-3.9473111260702,0.0005228617127511,0.0024215018683425,0.0001128986825222,0.0005228617127511,0.0024215018683425,0.0001128986825222,-5.0,-1.69897000433602,1e-05,0.02,-3.16528630892969,3.16528630892969,fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,seed180,20.0092830999986,3,21.448451073521998
