parameter,value,seed
eta_o2,1.2,seed294
rho_2N,56000.0,seed294
beta_size,0.35,seed294
alpha_o2,0.5,seed294
gamma_growth,1.5,seed294
mu_hp,0.005,seed294
gamma_mu,1.2,seed294
O2_crit,1.86817701641695,seed294
n_O,2.06151631462213,seed294
k_clear,0.0001,seed294
sigma_burden,0.2,seed294
sigma_growth,0.203291055730731,seed294
sigma_kary,0.0153464274204814,seed294
init_mean_2N,46.1750510402883,seed294
init_sd_2N,2.40181846999612,seed294
init_mean_4N,84.2569959199147,seed294
init_sd_4N,2.78132345487571,seed294
tau_O2,0.1,seed294
alpha,0.0001,seed294
gamma,1.0,seed294
p_mis_base,0.0003659752452727,seed294
o2_S0_upper_bound,21.0,seed294
o2_min,0.0,seed294
o2_Nref,1000000.0,seed294
lam_max,1.36786873297711,seed337
p_misseg,0.0108213401614938,seed337
k_o_mis,0.0002828962537545,seed337
buffer_smax,1.0,seed337
buffer_beta,1.5405698825955,seed337
buffer_n_exp,3.16899109408029,seed337
p_wgd,0.0002424492726155,seed337
o2_S0,3.5,seed337
kappa_O,0.5,seed337
eta_o2,1.2,seed337
rho_2N,56000.0,seed337
beta_size,0.35,seed337
alpha_o2,0.5,seed337
gamma_growth,1.5,seed337
mu_hp,0.005,seed337
gamma_mu,1.2,seed337
O2_crit,1.50328093674709,seed337
n_O,1.42521351130516,seed337
k_clear,0.0001,seed337
sigma_burden,0.2,seed337
sigma_growth,0.198784124951881,seed337
sigma_kary,0.130862971697503,seed337
init_mean_2N,46.1262126681352,seed337
init_sd_2N,2.27882829087576,seed337
init_mean_4N,84.172309268294,seed337
init_sd_4N,3.13820304608687,seed337
tau_O2,0.1,seed337
alpha,0.0001,seed337
gamma,1.0,seed337
p_mis_base,0.0002441359630135,seed337
o2_S0_upper_bound,21.0,seed337
o2_min,0.0,seed337
o2_Nref,1000000.0,seed337
lam_max,1.30770441418702,seed106
p_misseg,0.0104333846130357,seed106
k_o_mis,0.0001786659200317,seed106
buffer_smax,1.0,seed106
buffer_beta,1.55448538339887,seed106
buffer_n_exp,3.17005292851898,seed106
p_wgd,0.0002833330382244,seed106
o2_S0,3.5,seed106
kappa_O,0.5,seed106
eta_o2,1.2,seed106
rho_2N,56000.0,seed106
beta_size,0.35,seed106
alpha_o2,0.5,seed106
gamma_growth,1.5,seed106
mu_hp,0.005,seed106
gamma_mu,1.2,seed106
O2_crit,0.891215845742154,seed106
n_O,1.46478976880333,seed106
k_clear,0.0001,seed106
sigma_burden,0.2,seed106
sigma_growth,0.205887698297092,seed106
sigma_kary,0.0283381846825376,seed106
init_mean_2N,46.1241699239393,seed106
init_sd_2N,2.44727501835091,seed106
init_mean_4N,83.9459142009152,seed106
init_sd_4N,4.14151578077246,seed106
tau_O2,0.1,seed106
alpha,0.0001,seed106
gamma,1.0,seed106
p_mis_base,0.0002220180212945,seed106
o2_S0_upper_bound,21.0,seed106
o2_min,0.0,seed106
o2_Nref,1000000.0,seed106
lam_max,1.33725064864821,seed317
p_misseg,0.0105527539224966,seed317
k_o_mis,7.94843877495384e-05,seed317
buffer_smax,1.0,seed317
buffer_beta,1.52500554946671,seed317
buffer_n_exp,3.12387129821509,seed317
p_wgd,0.0005984790262842,seed317
o2_S0,3.5,seed317
kappa_O,0.5,seed317
eta_o2,1.2,seed317
rho_2N,56000.0,seed317
beta_size,0.35,seed317
alpha_o2,0.5,seed317
gamma_growth,1.5,seed317
mu_hp,0.005,seed317
gamma_mu,1.2,seed317
O2_crit,2.48345884613439,seed317
n_O,2.48372840205588,seed317
k_clear,0.0001,seed317
sigma_burden,0.2,seed317
sigma_growth,0.205192610906005,seed317
sigma_kary,0.265506381741414,seed317
init_mean_2N,46.067782261779,seed317
init_sd_2N,2.45948288444098,seed317
init_mean_4N,83.7838054589518,seed317
init_sd_4N,3.75382870681839,seed317
tau_O2,0.1,seed317
alpha,0.0001,seed317
gamma,1.0,seed317
p_mis_base,1.94691830401947e-05,seed317
o2_S0_upper_bound,21.0,seed317
o2_min,0.0,seed317
o2_Nref,1000000.0,seed317
lam_max,1.35704041675989,seed140
p_misseg,0.0107390796621212,seed140
k_o_mis,4.85599067217471e-05,seed140
buffer_smax,1.0,seed140
buffer_beta,1.51117214693821,seed140
buffer_n_exp,3.09517254591549,seed140
p_wgd,0.0002468741231347,seed140
o2_S0,3.5,seed140
kappa_O,0.5,seed140
eta_o2,1.2,seed140
rho_2N,56000.0,seed140
beta_size,0.35,seed140
alpha_o2,0.5,seed140
gamma_growth,1.5,seed140
mu_hp,0.005,seed140
gamma_mu,1.2,seed140
O2_crit,1.52701586634168,seed140
n_O,2.15574272929139,seed140
k_clear,0.0001,seed140
sigma_burden,0.2,seed140
sigma_growth,0.206827481580485,seed140
sigma_kary,0.0387302521948603,seed140
init_mean_2N,45.7743513096645,seed140
init_sd_2N,2.41061492494261,seed140
init_mean_4N,83.6680121870655,seed140
init_sd_4N,3.4597148140174,seed140
tau_O2,0.1,seed140
alpha,0.0001,seed140
gamma,1.0,seed140
p_mis_base,4.44814876171997e-05,seed140
o2_S0_upper_bound,21.0,seed140
o2_min,0.0,seed140
o2_Nref,1000000.0,seed140
lam_max,1.32664976137662,seed285
p_misseg,0.0105992842876777,seed285
k_o_mis,6.7473550837925e-05,seed285
buffer_smax,1.0,seed285
buffer_beta,1.51971408863466,seed285
buffer_n_exp,3.14138266152067,seed285
p_wgd,0.000431087067535,seed285
o2_S0,3.5,seed285
kappa_O,0.5,seed285
eta_o2,1.2,seed285
rho_2N,56000.0,seed285
beta_size,0.35,seed285
alpha_o2,0.5,seed285
gamma_growth,1.5,seed285
mu_hp,0.005,seed285
gamma_mu,1.2,seed285
O2_crit,2.17462948119596,seed285
n_O,2.44039845999629,seed285
k_clear,0.0001,seed285
sigma_burden,0.2,seed285
sigma_growth,0.212580111096068,seed285
sigma_kary,0.3289151321627,seed285
init_mean_2N,45.8901921793176,seed285
init_sd_2N,2.46606600127052,seed285
init_mean_4N,83.767805807105,seed285
init_sd_4N,3.72898034669232,seed285
tau_O2,0.1,seed285
alpha,0.0001,seed285
gamma,1.0,seed285
p_mis_base,1.93103657847506e-05,seed285
o2_S0_upper_bound,21.0,seed285
o2_min,0.0,seed285
o2_Nref,1000000.0,seed285
lam_max,1.35098742775355,seed464
p_misseg,0.010914704522285,seed464
k_o_mis,0.0002317272696732,seed464
buffer_smax,1.0,seed464
buffer_beta,1.53085562110005,seed464
buffer_n_exp,3.12486216994734,seed464
p_wgd,0.0003103664159483,seed464
o2_S0,3.5,seed464
kappa_O,0.5,seed464
eta_o2,1.2,seed464
rho_2N,56000.0,seed464
beta_size,0.35,seed464
alpha_o2,0.5,seed464
gamma_growth,1.5,seed464
mu_hp,0.005,seed464
gamma_mu,1.2,seed464
O2_crit,1.02401604035258,seed464
n_O,1.30673169536098,seed464
k_clear,0.0001,seed464
sigma_burden,0.2,seed464
sigma_growth,0.200452615063796,seed464
sigma_kary,0.0145028417446106,seed464
init_mean_2N,46.0827775171452,seed464
init_sd_2N,2.31285115411939,seed464
init_mean_4N,84.277120323693,seed464
init_sd_4N,2.78216856393094,seed464
tau_O2,0.1,seed464
alpha,0.0001,seed464
gamma,1.0,seed464
p_mis_base,1.59452592474152e-06,seed464
o2_S0_upper_bound,21.0,seed464
o2_min,0.0,seed464
o2_Nref,1000000.0,seed464
