component,value,pair,seed,objective
objective_invivo_prior,0.554606152061433,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
objective_invivo_burden,7.89842928591168,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
objective_invivo_ploidy,4.76212707405214,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
objective_invivo_necrosis,0.900443581422866,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
objective_invivo_necrosis_raw,0.900443581422866,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
objective_invitro,3.85253526260594,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invitro_growth_loglik,0.170596025411363,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invitro_ploidy_loglik,-3.09622174155515,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invitro_flow_loglik,-0.926909546462154,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_restriction,FALSE,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_constraint_penalty,1e+09,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_require_invivo_pred1000_ploidy_gt2,FALSE,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_require_invitro_growth_nonnegative,FALSE,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
joint_require_invitro_ploidy_phenotype,FALSE,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invitro_growth_nonnegative_pass,TRUE,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invitro_n_growth_negative_pred,0,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invivo_pred1000_ploidy_pass,,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invivo_pred1000_min_ploidy_fold,,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invivo_pred1000_threshold_ploidy_fold,2,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invivo_pred1000_n_rows,,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invivo_pred1000_status,disabled,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invitro_ploidy_phenotype_pass,,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
invitro_2N_deprived_wgd_pass,,fit_joint_tsne_vi_seed25_C02Sc01_vt_seed10,seed497,18.9704641759336
