lineage	N	empirical_fraction	fitted_fraction	empirical_cdf	fitted_cdf
O2	40	0	0.0288001356037954	0	0.153282512767275
O2	41	0	0.0287692210532703	0	0.182051733820546
O2	42	0	0.028144470800267	0	0.210196204620813
O2	43	0	0.0271468286374147	0	0.237343033258227
O2	44	0	0.0259347847822879	0	0.263277818040515
O2	45	0	0.0246121174065467	0	0.287889935447062
O2	46	0	0.0232416330532492	0	0.311131568500311
O2	47	0	0.021858439628904	0	0.332990008129215
O2	48	0	0.0204805131539279	0	0.353470521283143
O2	49	0.1	0.0191162943765161	0.1	0.372586815659659
O2	50	0	0.0177697936386217	0.1	0.390356609298281
O2	51	0	0.0164437971556839	0.1	0.406800406453965
O2	52	0	0.0151417556895477	0.1	0.421942162143513
O2	53	0	0.0138687251741981	0.1	0.435810887317711
O2	54	0	0.01263177533769	0.1	0.448442662655401
O2	55	0	0.0114399354668804	0.1	0.459882598122281
O2	56	0	0.0103041015875594	0.1	0.470186699709841
O2	57	0	0.00923658204373881	0.1	0.479423281753579
O2	58	0.05	0.00825104141777191	0.15	0.487674323171351
O2	59	0	0.00736171560860208	0.15	0.495036038779953
O2	60	0	0.00658379187960566	0.15	0.501619830659559
O2	61	0	0.0059317568490694	0.15	0.507551587508628
O2	62	0	0.00542098981357863	0.15	0.512972577322207
O2	63	0	0.00506368996907763	0.15	0.518036267291285
O2	64	0	0.00487384464706052	0.15	0.522910111938345
O2	65	0	0.00485729591863351	0.15	0.527767407856979
O2	66	0	0.00502498087500474	0.15	0.532792388731984
O2	67	0	0.00537088359595043	0.15	0.538163272327934
O2	68	0	0.00590178893948401	0.15	0.544065061267418
O2	69	0	0.00659434516157276	0.15	0.550659406428991
O2	70	0	0.00745128879044192	0.15	0.558110695219433
O2	71	0	0.0084288362122267	0.15	0.566539531431659
O2	72	0	0.00952726545219829	0.15	0.576066796883858
O2	73	0	0.0106835036453717	0.15	0.586750300529229
O2	74	0	0.0118983441230941	0.15	0.598648644652323
O2	75	0	0.0130949582079577	0.15	0.611743602860281
O2	76	0.05	0.0142785922553086	0.2	0.62602219511559
O2	77	0	0.0153669870633595	0.2	0.641389182178949
O2	78	0	0.0163739597146802	0.2	0.657763141893629
O2	79	0	0.0172204956595566	0.2	0.674983637553186
O2	80	0	0.0179322264242197	0.2	0.692915863977406
O2	81	0	0.0184401959333709	0.2	0.711356059910777
O2	82	0	0.0187832600057662	0.2	0.730139319916543
O2	83	0	0.0189061853422989	0.2	0.749045505258842
O2	84	0	0.0188601716447004	0.2	0.767905676903542
O2	85	0	0.0186040399095668	0.2	0.786509716813109
O2	86	0	0.018198385120087	0.2	0.804708101933196
O2	87	0	0.0176137851475574	0.2	0.822321887080753
O2	88	0	0.0169159810469423	0.2	0.839237868127696
O2	89	0	0.0160835493954717	0.2	0.855321417523168
O2	90	0	0.0151828200217959	0.2	0.870504237544964
O2	91	0	0.0141963460661454	0.2	0.884700583611109
O2	92	0	0.0131870676611131	0.2	0.897887651272222
O2	93	0.1	0.0121381406182704	0.3	0.910025791890492
O2	94	0.1	0.0111062822105641	0.4	0.921132074101057
O2	95	0.25	0.0100730151975052	0.65	0.931205089298562
O2	96	0.1	0.00908733302226836	0.75	0.94029242232083
O2	97	0.15	0.00812811548390088	0.9	0.948420537804731
O2	98	0.05	0.00723633483464525	0.95	0.955656872639376
O2	99	0.05	0.00638824494381562	1	0.962045117583192
O2	100	0	0.00561738624036567	1	0.967662503823558
O2	101	0	0.00489809081758989	1	0.972560594641148
O2	102	0	0.00425756905161617	1	0.976818163692764
O2	103	0	0.00366926690366497	1	0.980487430596429
O2	104	0	0.00315534487949348	1	0.983642775475922
O2	105	0	0.00268943903567035	1	0.986332214511592
O2	106	0	0.00228987696695777	1	0.98862209147855
O2	107	0	0.00193140942005445	1	0.990553500898605
O2	108	0	0.00162954702009523	1	0.9921830479187
O2	109	0	0.00136083310260763	1	0.993543881021308
O2	110	0	0.00113872715806151	1	0.994682608179369
O2	111	0	0.00094197699141919	1	0.995624585170788
O2	112	0	0.000782519166878035	1	0.996407104337666
O2	113	0	0.000641480235047783	1	0.997048584572714
O2	114	0	0.000529610635810771	1	0.997578195208525
O2	115	0	0.000430403506442458	1	0.998008598714967
O2	116	0	0.000353626184052394	1	0.99836222489902
O2	117	0	0.000284994698078728	1	0.998647219597098
O2	118	0	0.00023341711874955	1	0.998880636715848
O2	119	0	0.000186605775008712	1	0.999067242490857
O2	120	0	0.000152697865030185	1	0.999219940355887
O2	121	0	0.000121129163831178	1	0.999341069519718
O2	122	0	9.93501608703555e-05	1	0.999440419680588
O2	123	0	7.82266953099016e-05	1	0.999518646375898
O2	124	0	6.46212109532739e-05	1	0.999583267586852
O2	125	0	5.0530146706028e-05	1	0.999633797733558
O2	126	0	4.23510256733017e-05	1	0.999676148759231
O2	127	0	3.29151403132669e-05	1	0.999709063899544
O2	128	0	2.830420434889e-05	1	0.999737368103893
O2	129	0	2.18939437396746e-05	1	0.999759262047633
O2	130	0	1.9624584156993e-05	1	0.99977888663179
