seed	cohort	lineage_id	scenario_id	passage_id	chromosome_number	endpoint_state	reseeded_state	reseed_mode	boundary_scale
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	103	178.334632323202	4.92351518330532	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	104	171.979167270693	4.74805162765516	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	105	80.4974110693921	2.22239629203732	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	106	70.3023306410535	1.94092750142702	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	107	32.0510201552011	0.884874027656978	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	108	25.4275786241917	0.702012098267073	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	109	11.3326572875687	0.312875348414762	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	110	8.20416136169881	0.22650290919043	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	111	3.58522971611656	0.098982080558229	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	112	2.38243355048344	0.0657749288862897	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	113	1.02322330418323	0.0282494510933116	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	114	0.628548630978297	0.017353156185944	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	115	0.265764483334911	0.00733730432410513	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	116	0.152104693792534	0.00419935129583977	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	117	0.0633912483664988	0.00175012430146205	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	118	0.0340820848806255	0.000940948262277763	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	119	0.0140121510409954	0.00038685160309231	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	120	0.00713502910800203	0.000196985990264119	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	121	0.00289564899097657	7.99439322966605e-05	downsample_to_observed_inoculum	0.0276082952546327
10	2N	C	2N-C	SUM-159_NLS_2N_C_A1_seed	122	0.00140727907683057	3.88525762588053e-05	downsample_to_observed_inoculum	0.0276082952546327
