cm-python3	0	9.2	100088_cm9.2_64399c3e7b	x86_64
cm-python39	0	3.9.23	100140_cm9.2_12610e6261	x86_64
cm-slave	0	9.2	46_cm9.2	noarch
cm-uge-client	0	9.2	100045_cm9.2_3b233f6948	noarch
cmake-filesystem	0	3.26.5	2.el8	x86_64
cmburn-slave	0	9.2	63_cm9.2	noarch
cmdaemon	0	9.2	153061_cm9.2_bb9562aeb2	x86_64
cmdaemon-cmjob	0	9.2	153061_cm9.2_bb9562aeb2	noarch
cmdaemon-pythoncm	0	9.2	153061_cm9.2_bb9562aeb2	noarch
cmdaemon-remotecm	0	9.2	153061_cm9.2_bb9562aeb2	x86_64
colord-libs	0	1.4.2	1.el8	x86_64
confuse	0	3.3	91_cm9.2	x86_64
conmon	3	2.1.10	1.module+el8.10.0+23320+f7205097	x86_64
container-selinux	2	2.229.0	2.module+el8.10.0+23320+f7205097	noarch
containernetworking-plugins	1	1.4.0	6.module+el8.10.0+23320+f7205097	x86_64
containers-common	2	1	82.module+el8.10.0+23320+f7205097	x86_64
copy-jdk-configs	0	4.0	2.el8	noarch
coreutils	0	8.30	15.el8	x86_64
coreutils-common	0	8.30	15.el8	x86_64
cpio	0	2.12	11.el8	x86_64
cpp	0	8.5.0	26.el8_10	x86_64
cracklib	0	2.9.6	15.el8	i686
cracklib	0	2.9.6	15.el8	x86_64
cracklib-dicts	0	2.9.6	15.el8	x86_64
criu	0	3.18	5.module+el8.10.0+23320+f7205097	x86_64
cronie	0	1.5.2	10.el8	x86_64
cronie-anacron	0	1.5.2	10.el8	x86_64
crontabs	0	1.11	17.20190603git.el8	noarch
crypto-policies	0	20230731	1.git3177e06.el8	noarch
crypto-policies-scripts	0	20230731	1.git3177e06.el8	noarch
cryptsetup-libs	0	2.3.7	7.el8	x86_64
ctags	0	5.8	23.el8	x86_64
cuda-dcgm-libs	1	3.1.8.1	100100_cm9.2_5eefb6c8c4	x86_64
cuda-driver	0	580.105.08	100245_cm9.2_867facfab4	x86_64
cups	1	2.2.6	62.el8_10	x86_64
cups-client	1	2.2.6	62.el8_10	x86_64
cups-filesystem	1	2.2.6	62.el8_10	noarch
cups-filters	0	1.20.0	36.el8_10	x86_64
cups-filters-libs	0	1.20.0	36.el8_10	x86_64
cups-ipptool	1	2.2.6	62.el8_10	x86_64
cups-libs	1	2.2.6	62.el8_10	x86_64
curl	0	7.61.1	34.el8_10.3	x86_64
cyrus-sasl-gssapi	0	2.1.27	6.el8_5	x86_64
cyrus-sasl-lib	0	2.1.27	6.el8_5	x86_64
dbus	1	1.12.8	26.el8	x86_64
dbus-common	1	1.12.8	26.el8	noarch
dbus-daemon	1	1.12.8	26.el8	x86_64
dbus-glib	0	0.110	2.el8	x86_64
dbus-libs	1	1.12.8	26.el8	x86_64
dbus-tools	1	1.12.8	26.el8	x86_64
dcism	0	4.1.0.0	2410.el8	x86_64
dcism-osc	0	6.1.0.0	100	x86_64
dconf	0	0.28.0	4.el8	x86_64
dejavu-fonts-common	0	2.35	7.el8	noarch
dejavu-sans-fonts	0	2.35	7.el8	noarch
dejavu-sans-mono-fonts	0	2.35	7.el8	noarch
device-mapper	8	1.02.181	15.el8_10.2	x86_64
device-mapper-event	8	1.02.181	15.el8_10.2	x86_64
device-mapper-event-libs	8	1.02.181	15.el8_10.2	x86_64
device-mapper-libs	8	1.02.181	15.el8_10.2	x86_64
device-mapper-persistent-data	0	0.9.0	7.el8	x86_64
dhcp-client	12	4.3.6	50.el8_10	x86_64
dhcp-common	12	4.3.6	50.el8_10	noarch
dhcp-libs	12	4.3.6	50.el8_10	x86_64
dialog	0	1.3	13.20171209.el8	x86_64
diffstat	0	1.61	7.el8	x86_64
diffutils	0	3.6	6.el8	x86_64
dmidecode	1	3.5	1.el8	x86_64
dnf	0	4.7.0	21.el8_10	noarch
dnf-data	0	4.7.0	21.el8_10	noarch
dnf-plugin-subscription-manager	0	1.28.44	1.el8_10	x86_64
dnf-plugins-core	0	4.0.21	25.el8	noarch
dnsmasq	0	2.79	33.el8_10	x86_64
docbook-dtds	0	1.0	69.el8	noarch
docbook-style-xsl	0	1.79.2	9.el8	noarch
dosfstools	0	4.1	6.el8	x86_64
dracut	0	049	237.git20250603.el8_10	x86_64
dracut-config-rescue	0	049	237.git20250603.el8_10	x86_64
dracut-network	0	049	237.git20250603.el8_10	x86_64
dracut-squash	0	049	237.git20250603.el8_10	x86_64
dwz	0	0.12	10.el8	x86_64
dyninst	0	12.1.0	1.el8	x86_64
e2fsprogs	0	1.45.6	6.el8_10	x86_64
e2fsprogs-libs	0	1.45.6	6.el8_10	x86_64
ed	0	1.14.2	4.el8	x86_64
efi-filesystem	0	3	3.el8	noarch
efi-srpm-macros	0	3	3.el8	noarch
efibootmgr	0	16	1.el8	x86_64
efivar	0	37	4.el8	x86_64
efivar-libs	0	37	4.el8	x86_64
elfutils	0	0.190	2.el8	x86_64
elfutils-debuginfod-client	0	0.190	2.el8	x86_64
elfutils-debuginfod-client-devel	0	0.190	2.el8	x86_64
elfutils-default-yama-scope	0	0.190	2.el8	noarch
elfutils-devel	0	0.190	2.el8	x86_64
elfutils-libelf	0	0.190	2.el8	i686
elfutils-libelf	0	0.190	2.el8	x86_64
elfutils-libelf-devel	0	0.190	2.el8	x86_64
elfutils-libs	0	0.190	2.el8	x86_64
emacs-common	1	26.1	15.el8_10	x86_64
emacs-filesystem	1	26.1	15.el8_10	noarch
emacs-nox	1	26.1	15.el8_10	x86_64
env-modules	0	4.5.3	164_cm9.2	x86_64
epel-release	0	8	22.el8	noarch
ethtool	2	5.13	2.el8	x86_64
expat	0	2.2.5	17.el8_10	i686
expat	0	2.2.5	17.el8_10	x86_64
expect	0	5.45.4	5.el8	x86_64
fakeroot	0	1.33	1.el8	x86_64
fakeroot-libs	0	1.33	1.el8	x86_64
falcon-sensor	0	7.24.0	17706.el8	x86_64
file	0	5.33	26.el8	x86_64
file-libs	0	5.33	26.el8	x86_64
filesystem	0	3.8	6.el8	x86_64
findutils	1	4.6.0	23.el8_10	x86_64
firewalld	0	0.9.11	10.el8_10	noarch
firewalld-filesystem	0	0.9.11	10.el8_10	noarch
flac-libs	0	1.3.2	9.el8_8.1	x86_64
flex	0	2.6.1	9.el8	x86_64
fluxbox	0	1.3.7	11.el8	x86_64
fontconfig	0	2.13.1	4.el8	x86_64
fontpackages-filesystem	0	1.44	22.el8	noarch
freeglut	0	3.0.0	9.el8	x86_64
freeglut-devel	0	3.0.0	9.el8	x86_64
freetype	0	2.9.1	10.el8_10	x86_64
fribidi	0	1.0.4	9.el8	x86_64
fstrm	0	0.6.1	3.el8	x86_64
fuse	0	2.9.7	19.el8	x86_64
fuse-common	0	3.3.0	19.el8	x86_64
fuse-libs	0	2.9.7	19.el8	x86_64
fuse-overlayfs	0	1.13	1.module+el8.10.0+23320+f7205097	x86_64
fuse3	0	3.3.0	19.el8	x86_64
fuse3-libs	0	3.3.0	19.el8	x86_64
fwupd	0	1.7.8	2.el8	x86_64
ganglia	0	3.7.2	58.el8	x86_64
ganglia-gmond	0	3.7.2	58.el8	x86_64
gawk	0	4.2.1	4.el8	x86_64
gc	0	7.6.4	3.el8	x86_64
gcc	0	8.5.0	26.el8_10	x86_64
gcc-c++	0	8.5.0	26.el8_10	x86_64
gcc-gdb-plugin	0	8.5.0	26.el8_10	x86_64
gcc-gfortran	0	8.5.0	26.el8_10	x86_64
gcc-plugin-annobin	0	8.5.0	26.el8_10	x86_64
gcc-recent	0	11.2.0	100123_cm9.2_aa3da67bb6	x86_64
gd	0	2.2.5	7.el8	x86_64
gdb	0	8.2	20.el8	x86_64
gdb-headless	0	8.2	20.el8	x86_64
gdbm	1	1.18	2.el8	i686
gdbm	1	1.18	2.el8	x86_64
gdbm-devel	1	1.18	2.el8	x86_64
gdbm-libs	1	1.18	2.el8	i686
gdbm-libs	1	1.18	2.el8	x86_64
gdisk	0	1.0.3	11.el8	x86_64
gdk-pixbuf2	0	2.36.12	7.el8_10	x86_64
gdk-pixbuf2-modules	0	2.36.12	7.el8_10	x86_64
geolite2-city	0	20180605	1.el8	noarch
geolite2-country	0	20180605	1.el8	noarch
gettext	0	0.19.8.1	17.el8	x86_64
gettext-common-devel	0	0.19.8.1	17.el8	noarch
gettext-devel	0	0.19.8.1	17.el8	x86_64
gettext-libs	0	0.19.8.1	17.el8	x86_64
ghc-srpm-macros	0	1.4.2	7.el8	noarch
ghostscript	0	9.27	17.el8_10	x86_64
ghostscript-tools-fonts	0	9.27	17.el8_10	x86_64
ghostscript-tools-printing	0	9.27	17.el8_10	x86_64
giflib	0	5.1.4	3.el8	x86_64
git	0	2.43.7	1.el8_10	x86_64
git-core	0	2.43.7	1.el8_10	x86_64
git-core-doc	0	2.43.7	1.el8_10	noarch
gl-manpages	0	1.1	15.20161227.el8	noarch
glib-networking	0	2.56.1	1.1.el8	x86_64
glib2	0	2.56.4	166.el8_10	x86_64
