N	output	parameter	O2_pct	replicates	S1_mean	S1_range	ST_mean	ST_range	S1_delta_vs_max_N	ST_delta_vs_max_N
129	dominant_growth_rate	O2_crit	2.225	2	0.2577828198	0.0047047595	0.8098268515	0.0998285386	0.1877158388	0.6050480751
129	dominant_growth_rate	O2_crit	2.250	2	0.2560532534	0.0044488268	0.8056743522	0.0969444691	0.1866146278	0.6019627986
129	dominant_growth_rate	O2_crit	2.275	2	0.2544045231	0.004459545	0.8016917875	0.0936307898	0.1855917767	0.5990497933
129	dominant_growth_rate	O2_crit	2.300	2	0.2527229513	0.0045038138	0.7976861775	0.0902964494	0.1845327553	0.5961227909
129	dominant_growth_rate	O2_crit	2.325	2	0.2510064028	0.0045702936	0.7936833826	0.0869203009	0.1834400743	0.5932199726
129	dominant_growth_rate	O2_crit	2.350	2	0.2492449272	0.0046318015	0.7894586667	0.0839729622	0.1823055321	0.590117178
129	dominant_growth_rate	O2_crit	2.375	2	0.2476263926	0.0050563678	0.7849307919	0.0816364684	0.1813134071	0.5867152468
129	dominant_growth_rate	O2_crit	2.400	2	0.245984464	0.0055032851	0.7803605766	0.0794082642	0.1802962212	0.5832713765
129	dominant_growth_rate	O2_crit	2.425	2	0.2443130612	0.0059522598	0.7757763098	0.0772489834	0.1792482123	0.5798101193
129	dominant_growth_rate	O2_crit	2.450	2	0.2426084628	0.0063877441	0.7711462015	0.0752376914	0.1781652582	0.5763068402
129	dominant_growth_rate	O2_crit	2.475	2	0.2408772357	0.0068148768	0.7665130018	0.0733031623	0.1770560831	0.5728080211
129	dominant_growth_rate	O2_crit	2.500	2	0.2391121322	0.0072113447	0.7618130292	0.0715861367	0.1759105235	0.5692403688
129	dominant_growth_rate	O2_crit	2.525	2	0.2373212457	0.0075857507	0.7570964269	0.0699990119	0.1747363315	0.5656529243
129	dominant_growth_rate	O2_crit	2.550	2	0.2355038241	0.0079292887	0.7523511279	0.0685779947	0.1735318011	0.5620336208
129	dominant_growth_rate	O2_crit	2.575	2	0.2336649349	0.008245113	0.7476033394	0.0672821266	0.1723023266	0.5584024881
129	dominant_growth_rate	O2_crit	2.600	2	0.2318051398	0.0085277202	0.742848149	0.0661320181	0.1710409503	0.5547487021
129	dominant_growth_rate	O2_crit	2.625	2	0.2299267406	0.0087754646	0.7380920798	0.0651246656	0.1697438612	0.5510597511
129	dominant_growth_rate	O2_crit	2.650	2	0.2280337565	0.0089905287	0.7333527797	0.0642340091	0.1684272465	0.5473811442
129	dominant_growth_rate	O2_crit	2.675	2	0.2261246253	0.009164336	0.7286113728	0.063506173	0.1670912001	0.5436977798
129	dominant_growth_rate	O2_crit	2.700	2	0.2242038225	0.0093115525	0.7238937807	0.0628517478	0.1657395009	0.5400369604
129	dominant_growth_rate	O2_crit	2.725	2	0.2222714856	0.0094164517	0.7191862813	0.0623508141	0.164370986	0.5363793231
129	dominant_growth_rate	O2_crit	2.750	2	0.2203334168	0.0094861698	0.7145161999	0.0619553419	0.1629937837	0.5327580979
129	dominant_growth_rate	O2_crit	2.775	2	0.2183911105	0.0095198845	0.7098849383	0.0616670883	0.1616069593	0.5291698447
129	dominant_growth_rate	O2_crit	2.800	2	0.2164443065	0.0095136393	0.7052824868	0.0615096896	0.1602109252	0.5256037924
129	dominant_growth_rate	O2_crit	2.825	2	0.2144991326	0.0094766171	0.7007380035	0.061427514	0.1588186227	0.5221729101
129	dominant_growth_rate	O2_crit	2.850	2	0.2125531804	0.0094012747	0.6962302132	0.0614648734	0.1574202782	0.5187729083
129	dominant_growth_rate	O2_crit	2.875	2	0.2106110599	0.0092944397	0.6917778211	0.0615852089	0.1560208206	0.5154193819
129	dominant_growth_rate	O2_crit	2.900	2	0.2086750356	0.0091585696	0.6873873598	0.0617754082	0.1546221554	0.5121230411
129	dominant_growth_rate	O2_crit	2.925	2	0.2067126839	0.0089270505	0.6829817599	0.0621886727	0.1531917535	0.508802942
129	dominant_growth_rate	O2_crit	2.950	2	0.2047290572	0.0086085141	0.678592408	0.0627604093	0.1517343814	0.5054885612
129	dominant_growth_rate	O2_crit	2.975	2	0.2027521587	0.0082577755	0.6742716586	0.06338321	0.1502779309	0.5022370673
129	dominant_growth_rate	O2_crit	3.000	2	0.2007837799	0.0078774959	0.6700197565	0.0640530122	0.1488248896	0.499043307
