segment_id	parent_segment_id	cohort	passage_index	oxygen_pct	duration_days	initial_cells	final_cells	selected_day	target_live_cells	passage_id	predicted_live_cells	predicted_growth_rate	predicted_mean_kary_N	observed_growth	observed_mean_kary_N	observed_n_kary	observed_n_flow	lineage_terminal_key	lineage_label	lineage_passage_index
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1	2N	16	0	5	393001	7057195.5	1	7057195.5	SUM-159_NLS_2N_O1_A7_seed	302899.765183809	-0.260410213589171	48.4974647175566	0.563777709266853	48.4210526315789	19	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	9
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1	2N	16	0	5	393001	7057195.5	1	7057195.5	SUM-159_NLS_2N_O1_A7_seed	302899.765183809	-0.260410213589171	48.4974647175566	0.563777709266853	48.4210526315789	19	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	9
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1	2N	16	0	5	393001	7057195.5	1	7057195.5	SUM-159_NLS_2N_O2_A7_seed	302899.765183809	-0.260410213589171	48.4974647175566	0.547099402696607	48.4666666666667	15	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	9
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1	2N	16	0	5	393001	7057195.5	1	7057195.5	SUM-159_NLS_2N_O2_A7_seed	302899.765183809	-0.260410213589171	48.4974647175566	0.547099402696607	48.4666666666667	15	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	9
20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	2N	17	20.5	3	1127468	10859596	3	10859596	SUM-159_NLS_2N_C_A8_seed	5090963.65287308	0.502497574930257	46.4165954476879	0.755024900819988	NA	0	0	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	10
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	2N	18	1	14	NA	NA	6	282568	SUM-159_NLS_2N_O1_A7K_seed	262785.442695678	-0.222736231166161	53.0611026130213	NA	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	10
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	2N	18	1	14	NA	NA	6	282568	SUM-159_NLS_2N_O2_A7K_seed	262785.442695678	-0.222736231166161	53.0611026130213	NA	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	10
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	2N	19	0	4	282568	5842225.5	1	5842225.5	SUM-159_NLS_2N_O1_A8_seed	218333.541279537	-0.257895330193533	49.0030151464244	0.664335909437413	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	10
20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0	2N	19	0	4	282568	5842225.5	1	5842225.5	SUM-159_NLS_2N_O2_A8_seed	218333.541279537	-0.257895330193533	49.0030151464244	0.792805650404954	NA	0	0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	10
20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	2N	20	20.5	2	839992	7082437	2	7082437	SUM-159_NLS_2N_C_A9_seed	2294771.3502663	0.502498060017608	46.4568725942168	1.06599048425925	NA	0	0	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	11
