segment_id	cohort	passage_index	oxygen_pct	day	live_cells	selected_day	target_live_cells	lineage_terminal_key	lineage_label	lineage_passage_index
20.5_20.5	2N	2	20.5	12	415543654.401198	1	614919	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	2
20.5_20.5	2N	2	20.5	12	415543654.401198	1	614919	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	2
20.5_20.5	2N	2	20.5	12	415543654.401198	1	614919	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	2
20.5_20.5	2N	2	20.5	13	686648309.488393	1	614919	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	2
20.5_20.5	2N	2	20.5	13	686648309.488393	1	614919	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	2
20.5_20.5	2N	2	20.5	13	686648309.488393	1	614919	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	2
20.5_20.5	2N	2	20.5	14	1134428436.49607	1	614919	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	2
20.5_20.5	2N	2	20.5	14	1134428436.49607	1	614919	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	2
20.5_20.5	2N	2	20.5	14	1134428436.49607	1	614919	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	2
20.5_20.5_20.5	2N	3	20.5	0	614919	3	7782898	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	3
20.5_20.5_20.5	2N	3	20.5	1	1016366.87979429	3	7782898	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	3
20.5_20.5_20.5	2N	3	20.5	2	1679898.21621777	3	7782898	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	3
20.5_20.5_20.5	2N	3	20.5	3	2776612.23916277	3	7782898	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	3
20.5_20.5_2	2N	4	2	0	672180.5	3	6532726	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	3
20.5_20.5_2	2N	4	2	0	672180.5	3	6532726	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	3
20.5_20.5_2	2N	4	2	1	886887.814523954	3	6532726	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	3
20.5_20.5_2	2N	4	2	1	886887.814523954	3	6532726	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	3
20.5_20.5_2	2N	4	2	2	1171861.2066553	3	6532726	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	3
20.5_20.5_2	2N	4	2	2	1171861.2066553	3	6532726	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	3
20.5_20.5_2	2N	4	2	3	1550662.03584069	3	6532726	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	3
20.5_20.5_2	2N	4	2	3	1550662.03584069	3	6532726	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	3
20.5_20.5_20.5_20.5	2N	5	20.5	0	401065	2	4009244	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	4
20.5_20.5_20.5_20.5	2N	5	20.5	1	662899.002738809	2	4009244	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	4
20.5_20.5_20.5_20.5	2N	5	20.5	2	1095670.27280875	2	4009244	20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5_20.5	control	4
20.5_20.5_2_1	2N	6	1	0	385639	1	6292227.5	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	4
20.5_20.5_2_1	2N	6	1	0	385639	1	6292227.5	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	4
20.5_20.5_2_1	2N	6	1	1	296592.137164665	1	6292227.5	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	4
20.5_20.5_2_1	2N	6	1	1	296592.137164665	1	6292227.5	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	4
20.5_20.5_2_1	2N	6	1	2	229419.445546067	1	6292227.5	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	4
20.5_20.5_2_1	2N	6	1	2	229419.445546067	1	6292227.5	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	4
20.5_20.5_2_1	2N	6	1	3	178569.741595514	1	6292227.5	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	4
20.5_20.5_2_1	2N	6	1	3	178569.741595514	1	6292227.5	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	4
20.5_20.5_2_1	2N	6	1	4	139932.093464268	1	6292227.5	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	4
