seed,rank,cohort,day,n_tumors,observed_burden_min,observed_burden_max,observed_burden_cv,n_unique_predicted_burdens,predicted_burden_min,predicted_burden_max
seed292,3,4N,53,3,126.15,1079.09,0.9589750011682227,1,298.15835336361,298.15835336361
seed292,3,4N,56,4,95.506,1385.208,1.1107289031818546,1,383.348897281901,383.348897281901
seed292,3,4N,60,4,214.2425,1734.104,1.037838780607292,1,522.849897811475,522.849897811475
seed292,3,4N,63,4,312.05,1898.6355,0.9017640864164814,1,643.30213041632,643.30213041632
seed292,3,4N,67,4,452.824,2810.712,0.8612775705369408,1,827.350424429989,827.350424429989
seed292,3,4N,70,4,458.397,3139.0625,0.8437778961194023,1,990.224408282686,990.224408282686
seed292,3,4N,74,4,779.76,4139.96,0.7920665313577271,1,1254.53104251703,1254.53104251703
seed292,3,4N,77,4,856.3095,5899.278,0.9211079136735385,1,1500.17861201724,1500.17861201724
seed292,3,4N,81,2,919.1375,1463.414,0.32306676601994117,1,1913.87920004899,1913.87920004899
seed292,3,4N,84,2,1802.112,2058.75,0.09400515745455452,1,2309.29422256458,2309.29422256458
seed292,3,4N,88,2,2044.224,3239.532,0.31992786661856826,1,2989.84773264706,2989.84773264706
seed292,3,4N,91,2,2423.025,3914.144,0.3327606874476926,1,3651.24881842043,3651.24881842043
seed392,4,2N,25,4,40.0,647.149,1.110882140241626,1,246.680065371336,246.680065371336
seed392,4,2N,28,4,125.44,379.906,0.3933106954199328,1,307.565533974826,307.565533974826
seed392,4,2N,32,4,274.4435,459.472,0.21806776180638365,1,409.441826438441,409.441826438441
seed392,4,2N,35,4,448.0,689.7,0.17582474317563862,1,505.270609005239,505.270609005239
seed392,4,2N,39,4,499.23,958.8125,0.2532672653679139,1,666.221643511625,666.221643511625
seed392,4,2N,42,4,741.576,1379.742,0.2610114229161311,1,818.140036055801,818.140036055801
seed392,4,2N,46,4,724.271,1335.1,0.3116863536745891,1,1074.13578392264,1074.13578392264
seed392,4,2N,49,4,1108.809,1916.6,0.23484389948234596,1,1316.49889155729,1316.49889155729
seed392,4,2N,53,4,1594.6875,2314.704,0.16195142501975296,1,1726.10156872812,1726.10156872812
seed392,4,2N,56,4,1683.136,3375.352,0.3431351669384108,1,2114.95566742249,2114.95566742249
seed392,4,4N,35,2,73.2305,113.715,0.30625893089640327,1,104.673978884453,104.673978884453
seed392,4,4N,39,2,117.6,207.1035,0.389823526940302,1,127.033148498351,127.033148498351
seed392,4,4N,42,2,109.8,340.9175,0.7251759760864928,1,148.571611985739,148.571611985739
seed392,4,4N,46,3,13.95,471.3705,0.9196487047263852,1,185.782580678047,185.782580678047
seed392,4,4N,49,3,50.625,848.718,1.0268446308237722,1,221.946518469211,221.946518469211
seed392,4,4N,53,3,126.15,1079.09,0.9589750011682227,1,284.771329765501,284.771329765501
seed392,4,4N,56,4,95.506,1385.208,1.1107289031818546,1,346.032846974228,346.032846974228
seed392,4,4N,60,4,214.2425,1734.104,1.037838780607292,1,452.661621257519,452.661621257519
seed392,4,4N,63,4,312.05,1898.6355,0.9017640864164814,1,556.739055851134,556.739055851134
seed392,4,4N,67,4,452.824,2810.712,0.8612775705369408,1,737.952273651201,737.952273651201
seed392,4,4N,70,4,458.397,3139.0625,0.8437778961194023,1,914.817589827512,914.817589827512
seed392,4,4N,74,4,779.76,4139.96,0.7920665313577271,1,1222.65043980747,1222.65043980747
seed392,4,4N,77,4,856.3095,5899.278,0.9211079136735385,1,1522.93499177241,1522.93499177241
seed392,4,4N,81,2,919.1375,1463.414,0.32306676601994117,1,2045.21864193084,2045.21864193084
seed392,4,4N,84,2,1802.112,2058.75,0.09400515745455452,1,2554.31487855498,2554.31487855498
seed392,4,4N,88,2,2044.224,3239.532,0.31992786661856826,1,3439.05911901118,3439.05911901118
seed392,4,4N,91,2,2423.025,3914.144,0.3327606874476926,1,4300.75394320255,4300.75394320255
seed90,5,2N,25,4,40.0,647.149,1.110882140241626,1,248.596930544419,248.596930544419
seed90,5,2N,28,4,125.44,379.906,0.3933106954199328,1,309.457136211645,309.457136211645
seed90,5,2N,32,4,274.4435,459.472,0.21806776180638365,1,411.039155101341,411.039155101341
seed90,5,2N,35,4,448.0,689.7,0.17582474317563862,1,506.360309650541,506.360309650541
seed90,5,2N,39,4,499.23,958.8125,0.2532672653679139,1,666.068376885417,666.068376885417
seed90,5,2N,42,4,741.576,1379.742,0.2610114229161311,1,816.460972614713,816.460972614713
seed90,5,2N,46,4,724.271,1335.1,0.3116863536745891,1,1069.29871589953,1069.29871589953
seed90,5,2N,49,4,1108.809,1916.6,0.23484389948234596,1,1308.15020220487,1308.15020220487
seed90,5,2N,53,4,1594.6875,2314.704,0.16195142501975296,1,1710.96532928192,1710.96532928192
seed90,5,2N,56,4,1683.136,3375.352,0.3431351669384108,1,2092.63150927093,2092.63150927093
seed90,5,4N,35,2,73.2305,113.715,0.30625893089640327,1,104.970281429796,104.970281429796
seed90,5,4N,39,2,117.6,207.1035,0.389823526940302,1,126.629434984696,126.629434984696
seed90,5,4N,42,2,109.8,340.9175,0.7251759760864928,1,147.582356936247,147.582356936247
seed90,5,4N,46,3,13.95,471.3705,0.9196487047263852,1,183.939161861633,183.939161861633
seed90,5,4N,49,3,50.625,848.718,1.0268446308237722,1,219.424017436972,219.424017436972
seed90,5,4N,53,3,126.15,1079.09,0.9589750011682227,1,281.343888928809,281.343888928809
seed90,5,4N,56,4,95.506,1385.208,1.1107289031818546,1,341.990519608259,341.990519608259
seed90,5,4N,60,4,214.2425,1734.104,1.037838780607292,1,448.039815883369,448.039815883369
seed90,5,4N,63,4,312.05,1898.6355,0.9017640864164814,1,552.030352770017,552.030352770017
seed90,5,4N,67,4,452.824,2810.712,0.8612775705369408,1,733.969072019764,733.969072019764
seed90,5,4N,70,4,458.397,3139.0625,0.8437778961194023,1,912.394939236123,912.394939236123
seed90,5,4N,74,4,779.76,4139.96,0.7920665313577271,1,1224.49813065065,1224.49813065065
seed90,5,4N,77,4,856.3095,5899.278,0.9211079136735385,1,1530.45273296186,1530.45273296186
