O2_pct,feature,auc,auc_separation,direction
5.0,mu_N44,0.47591793896259366,0.5240820610374064,lower=>high-ploidy
5.0,h_N44,0.47663949884386425,0.5233605011561357,lower=>high-ploidy
5.0,h_N88,0.47663949884386425,0.5233605011561357,lower=>high-ploidy
5.0,eta_o2,0.4822643861001327,0.5177356138998672,lower=>high-ploidy
5.0,gamma_growth,0.4832647304809853,0.5167352695190147,lower=>high-ploidy
5.0,mu_hp,0.48392069400941307,0.5160793059905869,lower=>high-ploidy
5.0,k_o_mis,0.4847078502435265,0.5152921497564735,lower=>high-ploidy
5.0,p_wgd,0.5148657734629956,0.5148657734629956,higher=>high-ploidy
5.0,alpha_o2,0.5042227652142541,0.5042227652142541,higher=>high-ploidy
5.0,buffer_smax,0.49966381869168075,0.5003361813083192,lower=>high-ploidy
