seed,rank,harvest,day,observed_fraction,exported_predicted_fraction,reconstructed_predicted_fraction,residual_logit,objective_term
seed90,5,SUM159-2N-0-RL_harvest,56,0.798242457142,,0.7516275028149217,-0.2680344535404997,0.12771994361734096
seed90,5,SUM159-4N-0-0_harvest,91,0.63374217917,,0.7183384378402848,0.3879299035079341,0.2675370845078668
seed90,5,SUM159-4N-0-R_harvest,77,0.569258571022,,0.7225520712461612,0.6783294326535092,0.818010345251612
seed90,5,SUM159-4N-0-L_harvest,77,0.731419132618,,0.7225520712461612,-0.044678396742842574,0.0035487273520192816
seed391,6,SUM159-2N-0-O_harvest,56,0.933345255452,,0.758995126708164,-1.4920707487180553,3.957822434097882
seed391,6,SUM159-2N-0-R_harvest,56,0.829490845049,,0.758995126708164,-0.43484488056369264,0.3361601247154704
seed391,6,SUM159-2N-0-RL_harvest,56,0.798242457142,,0.758995126708164,-0.22816748641743545,0.09255182552542326
seed391,6,SUM159-4N-0-0_harvest,91,0.63374217917,,0.7293846781019194,0.4431982355455183,0.3491994239833968
seed391,6,SUM159-4N-0-R_harvest,77,0.569258571022,,0.7334457737097277,0.7333491838261805,0.9560907118551558
seed391,6,SUM159-4N-0-L_harvest,77,0.731419132618,,0.7334457737097277,0.010341354429828753,0.00019012197589926894
seed264,7,SUM159-2N-0-O_harvest,56,0.933345255452,,0.7699953948297629,-1.4309637481173192,3.6402795527572738
seed264,7,SUM159-2N-0-R_harvest,56,0.829490845049,,0.7699953948297629,-0.3737378799629565,0.24832000518969827
seed264,7,SUM159-2N-0-RL_harvest,56,0.798242457142,,0.7699953948297629,-0.1670604858166993,0.049616366082331706
seed264,7,SUM159-4N-0-0_harvest,91,0.63374217917,,0.6952647613727336,0.2765446947309763,0.13595905454906465
seed264,7,SUM159-4N-0-R_harvest,77,0.569258571022,,0.6985939713954646,0.5617846305698656,0.5610701709235917
seed264,7,SUM159-4N-0-L_harvest,77,0.731419132618,,0.6985939713954646,-0.16122319882648617,0.046209635270835006
seed109,8,SUM159-2N-0-O_harvest,56,0.933345255452,,0.7659613117459814,-1.4536037255088672,3.756380072556903
seed109,8,SUM159-2N-0-R_harvest,56,0.829490845049,,0.7659613117459814,-0.3963778573545045,0.27931627697946293
seed109,8,SUM159-2N-0-RL_harvest,56,0.798242457142,,0.7659613117459814,-0.1897004632082473,0.0639755835403086
seed109,8,SUM159-4N-0-0_harvest,91,0.63374217917,,0.8191513792172508,0.9623038685546017,1.6462733074402707
seed109,8,SUM159-4N-0-R_harvest,77,0.569258571022,,0.7336752500901005,0.7345232794683301,0.9591545743660631
seed109,8,SUM159-4N-0-L_harvest,77,0.731419132618,,0.7336752500901005,0.011515450071978295,0.00023574327175151095
seed322,9,SUM159-2N-0-O_harvest,56,0.933345255452,,0.7847729536166352,-1.345548006729758,3.218665668292311
seed322,9,SUM159-2N-0-R_harvest,56,0.829490845049,,0.7847729536166352,-0.28832213857539535,0.1477860543870035
seed322,9,SUM159-2N-0-RL_harvest,56,0.798242457142,,0.7847729536166352,-0.08164474442913816,0.011850425409598731
seed322,9,SUM159-4N-0-0_harvest,91,0.63374217917,,0.733300860763847,0.4631301648357822,0.3813147548103445
seed322,9,SUM159-4N-0-R_harvest,77,0.569258571022,,0.7300715876828457,0.7161590261605241,0.9117933346687825
seed322,9,SUM159-4N-0-L_harvest,77,0.731419132618,,0.7300715876828457,-0.006848803235827705,8.338863246770498e-05
seed26,10,SUM159-2N-0-O_harvest,56,0.933345255452,,0.7490064379293794,-1.5459286618397554,4.248702982218057
seed26,10,SUM159-2N-0-R_harvest,56,0.829490845049,,0.7490064379293794,-0.4887027936853927,0.4245874143216134
seed26,10,SUM159-2N-0-RL_harvest,56,0.798242457142,,0.7490064379293794,-0.2820253995391355,0.14140146841814938
seed26,10,SUM159-4N-0-0_harvest,91,0.63374217917,,0.720689639221887,0.39958031768948543,0.28384787606192025
seed26,10,SUM159-4N-0-R_harvest,77,0.569258571022,,0.7242666066346565,0.6868983487897621,0.8388077183468473
seed26,10,SUM159-4N-0-L_harvest,77,0.731419132618,,0.7242666066346565,-0.036109480606589694,0.002318034826093649
