result_group,pair,rank,seed,objective,source_path,exists,archive_relative_dir
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,4,seed176,19.7960448842897,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed176,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed176
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,5,seed307,19.7980259039285,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed307,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed307
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,6,seed241,19.7999952901528,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed241,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed241
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,7,seed303,19.8003359414134,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed303,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed303
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,8,seed130,19.8025203483391,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed130,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed130
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,9,seed405,19.8026222250612,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed405,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed405
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,10,seed357,19.8055233823592,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed357,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10/seed357
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,1,seed18,19.4144872936097,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10/seed18,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10/seed18
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,2,seed402,19.4244061752049,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10/seed402,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10/seed402
fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540,fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,3,seed255,19.4244829936728,/Users/4482173/Documents/GitHub/soft_coupling/oxygen/results/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10/seed255,True,top10/fit_joint_multi_warmup_tsne_sigmaN0p1216_objmin_500seed_20260714_021540/fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10/seed255
