parameter	split_enabled	center_name	delta_name	center_transformed	delta_transformed	vivo_transformed	vitro_transformed	center_natural	vivo_natural	vitro_natural	delta_interpretable	natural_difference_vivo_to_vitro	transformed_difference_vivo_to_vitro	log10_ratio_vivo_to_vitro	fold_change_vivo_to_vitro	ratio_vivo_to_vitro	logit_vivo	logit_vitro	logit_difference_vivo_to_vitro	odds_ratio_vivo_to_vitro	regularization_sigma	penalty_type	welsch_c	welsch_transition_delta	abs_delta_over_sigma	welsch_saturation_fraction	penalty_region	penalty_paid	joint_union_lower_transformed	joint_union_upper_transformed	joint_union_lower_bound	joint_union_upper_bound	feasible_at_solution	feasible_before_projection	projection_applied	projection_action	center_raw_transformed	delta_raw_transformed	vivo_raw_transformed	vitro_raw_transformed	center_raw_natural	vivo_raw_natural	vitro_raw_natural	delta_dynamic_lower_transformed	delta_dynamic_upper_transformed	solution	objective	objective_delta
lam_max	TRUE	log10_lam_max	delta__log10_lam_max	-0.245948704866245	-0.751609097698433	-0.621753253715461	0.129855843982972	0.567611642861182	0.238916831366556	1.3485151936293	-0.751609097698433	-1.10959836226274	-0.751609097698433	-0.751609097698433	0.177170292552323	0.177170292552323	NA	NA	NA	NA	0.65	welsch	0.4	0.26	1.15632168876682	0.999765193561565	saturating	0.0799812154849252	-2.30102999566398	0.176091259055681	0.005	1.5	TRUE	TRUE	FALSE	none	-0.245948704866245	-0.751609097698433	-0.621753253715461	0.129855843982972	0.567611642861182	0.238916831366556	1.3485151936293	-0.844079927843852	0.844079927843852	tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0
p_mis_base	TRUE	log10_p_mis_base	delta__log10_p_mis_base	-4.80150687200655	0.0137210223448498	-4.79464636083412	-4.80836738317897	1.5794036160375e-05	1.60455141986261e-05	1.55464994856065e-05	0.0137210223448498	4.99014713019648e-07	0.0137210223448498	0.0137210223448498	1.0320982040672	1.0320982040672	-11.0400651909919	-11.0716595115264	0.0315943205344862	1.03209871910766	0.65	welsch	0.4	0.26	0.0211092651459228	0.00278113218524556	near_quadratic	0.000222490574819645	-6	-1	1e-06	0.1	TRUE	TRUE	FALSE	none	-4.80150687200655	0.0137210223448498	-4.79464636083412	-4.80836738317897	1.5794036160375e-05	1.60455141986261e-05	1.55464994856065e-05	-2.3969862559869	2.3969862559869	tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0
p_wgd	TRUE	log10_p_wgd	delta__log10_p_wgd	-3.60991329211464	0.0147937412699808	-3.60251642147965	-3.61731016274963	0.000245519905285415	0.000249737395702876	0.000241373638584254	0.0147937412699806	8.36375711862154e-06	0.0147937412699806	0.0147937412699806	1.03465066511686	1.03465066511686	-8.29485084078002	-8.32892305470928	0.0340722139292584	1.03465932084539	0.65	welsch	0.4	0.26	0.0227596019538167	0.00323226171522639	near_quadratic	0.000258580937218111	-5	-3	1e-05	0.001	TRUE	TRUE	FALSE	none	-3.60991329211464	0.0147937412699808	-3.60251642147965	-3.61731016274963	0.000245519905285415	0.000249737395702876	0.000241373638584254	-1.21982658422928	1.21982658422928	tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0
gamma_mu	TRUE	gamma_mu	delta__gamma_mu	1.91875260625021	1.43750521250042	2.63750521250042	1.2	1.91875260625021	2.63750521250042	1.2	1.43750521250042	1.43750521250042	1.43750521250042	NA	2.19792101041702	2.19792101041702	NA	NA	NA	NA	0.65	welsch	0.4	0.26	2.21154648076988	0.999999999999947	saturating	0.0799999999999958	1.2	3.5	1.2	3.5	TRUE	TRUE	FALSE	none	1.91875260625021	1.43750521250042	2.63750521250042	1.2	1.91875260625021	2.63750521250042	1.2	-1.43750521250042	1.43750521250042	tsne_vi_seed366_C01Sc01_vt_seed10	18.8522859133708	0
O2_crit	TRUE	log10_O2_crit	delta__log10_O2_crit	-0.389652262485913	-1.18002413188275	-0.979664328427288	0.200359803455462	0.407706595866951	0.104793819950214	1.58620678578554	-1.18002413188275	-1.48141296583533	-1.18002413188275	-1.18002413188275	0.0660656737124705	0.0660656737124705	NA	NA	NA	NA	0.65	welsch	0.4	0.26	1.81542174135808	0.999999998867089	saturating	0.0799999999093672	-4	0.397940008672038	1e-04	2.5	TRUE	TRUE	FALSE	none	-0.389652262485913	-1.18002413188275	-0.979664328427288	0.200359803455462	0.407706595866951	0.104793819950214	1.58620678578554	-1.5751845423159	1.5751845423159	tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502
mu_hp	TRUE	log10_mu_hp	delta__log10_mu_hp	-1.56401958461052	1.47402082210692	-0.827009173557064	-2.30102999566398	0.027288547216959	0.14893296184244	0.005	1.47402082210692	0.14393296184244	1.47402082210692	1.47402082210692	29.786592368488	29.786592368488	NA	NA	NA	NA	0.65	welsch	0.4	0.26	2.26772434170295	0.999999999999989	saturating	0.0799999999999991	-2.30102999566398	-0.522878745280338	0.005	0.3	TRUE	TRUE	FALSE	none	-1.56401958461052	1.47402082210692	-0.827009173557064	-2.30102999566398	0.027288547216959	0.14893296184244	0.005	-1.47402082210692	1.47402082210692	tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502
p_misseg	TRUE	log10_p_misseg	delta__log10_p_misseg	-1.13881643036999	1.67557286941202	-0.301029995663981	-1.976602865076	0.072641293618232	0.5	0.0105535150770604	1.67557286941202	0.48944648492294	1.67557286941202	1.67557286941202	47.3775795409458	47.3775795409458	-1.11022302462516e-16	-4.54068669354326	4.54068669354326	93.7551590818917	0.65	welsch	0.4	0.26	2.57780441448003	1	saturating	0.08	-2.30102999566398	-0.301029995663981	0.005	0.5	TRUE	TRUE	FALSE	none	-1.13881643036999	1.67557286941202	-0.301029995663981	-1.976602865076	0.072641293618232	0.5	0.0105535150770604	-1.67557286941202	1.67557286941202	tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502
k_o_mis	TRUE	log10_k_o_mis	delta__log10_k_o_mis	-3.4736555630351	0.9473111260702	-3	-3.9473111260702	0.000336003991824877	0.001	0.000112898682522252	0.947311126070201	0.000887101317477748	0.947311126070201	0.947311126070201	8.85749928749526	8.85749928749526	NA	NA	NA	NA	0.65	welsch	0.4	0.26	1.45740173241569	0.999998283329348	saturating	0.0799998626663478	-5	-1.69897000433602	1e-05	0.02	TRUE	TRUE	FALSE	none	-3.4736555630351	0.9473111260702	-3	-3.9473111260702	0.000336003991824877	0.001	0.000112898682522252	-3.0526888739298	3.0526888739298	tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502
buffer_smax	TRUE	buffer_smax	delta__buffer_smax	0.982467344739596	-0.035065310520809	0.964934689479191	1	0.982467344739596	0.964934689479191	1	-0.035065310520809	-0.035065310520809	-0.035065310520809	NA	0.964934689479191	0.964934689479191	NA	NA	NA	NA	0.65	welsch	0.4	0.26	0.0539466315704753	0.0180245727534289	near_quadratic	0.00144196582027432	0	1	0	1	TRUE	TRUE	FALSE	none	0.982467344739596	-0.035065310520809	0.964934689479191	1	0.982467344739596	0.964934689479191	1	-0.035065310520809	0.035065310520809	tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502
buffer_beta	TRUE	log10_buffer_beta	delta__log10_buffer_beta	-0.780576580511503	-1.96456463880062	-1.76285889991181	0.201705738888809	0.165738505916188	0.017263986991193	1.59113027351929	-1.96456463880062	-1.5738662865281	-1.96456463880062	-1.96456463880062	0.0108501404809602	0.0108501404809602	NA	NA	NA	NA	0.65	welsch	0.4	0.26	3.02240713661634	1	saturating	0.08	-2	1	0.01	10	TRUE	TRUE	FALSE	none	-0.780576580511503	-1.96456463880062	-1.76285889991181	0.201705738888809	0.165738505916188	0.017263986991193	1.59113027351929	-2.43884683897699	2.43884683897699	tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502
buffer_n_exp	TRUE	log10_buffer_n_exp	delta__log10_buffer_n_exp	0.225700115486808	-0.547304674363397	-0.0479522216948905	0.499352452668507	1.68151255952145	0.895463273281003	3.15756611375965	-0.547304674363397	-2.26210284047865	-0.547304674363397	-0.547304674363397	0.283592881675181	0.283592881675181	NA	NA	NA	NA	0.65	welsch	0.4	0.26	0.842007191328303	0.98809861726092	saturating	0.0790478893808736	-1	1	0.1	10	TRUE	TRUE	FALSE	none	0.225700115486808	-0.547304674363397	-0.0479522216948905	0.499352452668507	1.68151255952145	0.895463273281003	3.15756611375965	-1.54859976902638	1.54859976902638	tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502
n_O	TRUE	n_O	delta__n_O	2.22769205751855	0.71823444770712	2.58680928137211	1.86857483366499	2.22769205751855	2.58680928137211	1.86857483366499	0.71823444770712	0.71823444770712	0.71823444770712	NA	1.38437553303572	1.38437553303572	NA	NA	NA	NA	0.65	welsch	0.4	0.26	1.10497607339557	0.999514861318835	saturating	0.0799611889055069	1e-04	5	1e-04	5	TRUE	TRUE	FALSE	none	2.22769205751855	0.71823444770712	2.58680928137211	1.86857483366499	2.22769205751855	2.58680928137211	1.86857483366499	-4.4551841150371	4.4551841150371	tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502
alpha_o2	TRUE	log10_alpha_o2	delta__log10_alpha_o2	-0.0955632661636102	0.410933459000742	0.109903463336761	-0.301029995663981	0.802484649823942	1.28796322640611	0.5	0.410933459000742	0.78796322640611	0.410933459000742	0.410933459000742	2.57592645281222	2.57592645281222	NA	NA	NA	NA	0.65	welsch	0.4	0.26	0.632205321539603	0.917752501538713	saturating	0.0734202001230971	-0.301029995663981	0.602059991327962	0.5	4	TRUE	TRUE	FALSE	none	-0.0955632661636102	0.410933459000742	0.109903463336761	-0.301029995663981	0.802484649823942	1.28796322640611	0.5	-0.410933459000742	0.410933459000742	tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502
gamma_growth	TRUE	gamma_growth	delta__gamma_growth	2.03115739958699	1.06231479917397	2.56231479917397	1.5	2.03115739958699	2.56231479917397	1.5	1.06231479917397	1.06231479917397	1.06231479917397	NA	1.70820986611598	1.70820986611598	NA	NA	NA	NA	0.65	welsch	0.4	0.26	1.63433046026765	0.999999943778991	saturating	0.0799999955023193	1.5	4.5	1.5	4.5	TRUE	TRUE	FALSE	none	2.03115739958699	1.06231479917397	2.56231479917397	1.5	2.03115739958699	2.56231479917397	1.5	-1.06231479917397	1.06231479917397	tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502
lam_max	TRUE	log10_lam_max	delta__log10_lam_max	-0.371922045046392	-1.00355577805873	-0.873699934075755	0.129855843982972	0.424695789113253	0.133751932601592	1.3485151936293	-1.00355577805873	-1.21476326102771	-1.00355577805873	-1.00355577805873	0.0991845944587553	0.0991845944587553	NA	NA	NA	NA	0.65	welsch	0.4	0.26	1.5439319662442	0.999999661346026	saturating	0.0799999729076821	-2.30102999566398	0.176091259055681	0.005	1.5	TRUE	TRUE	FALSE	none	-0.371922045046392	-1.00355577805873	-0.873699934075755	0.129855843982972	0.424695789113253	0.133751932601592	1.3485151936293	-1.09602660820415	1.09602660820415	tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502
p_mis_base	TRUE	log10_p_mis_base	delta__log10_p_mis_base	-4.87597753672626	0.27251710481582	-4.73971898431834	-5.01223608913417	1.33052323564898e-05	1.82087869985962e-05	9.7221856718864e-06	0.272517104815821	8.48660132670976e-06	0.272517104815821	0.272517104815821	1.87291084670913	1.87291084670913	-10.9135880693195	-11.5410903791742	0.627502309854652	1.87292674164624	0.65	welsch	0.4	0.26	0.419257084332031	0.666663617852094	saturating	0.0533330894281676	-6	-1	1e-06	0.1	TRUE	TRUE	FALSE	none	-4.87597753672626	0.27251710481582	-4.73971898431834	-5.01223608913417	1.33052323564898e-05	1.82087869985962e-05	9.7221856718864e-06	-2.24804492654749	2.24804492654749	tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502
p_wgd	TRUE	log10_p_wgd	delta__log10_p_wgd	-3.73050868137285	0.00746012011402096	-3.72677862131584	-3.73423874142986	0.000185990738404687	0.000187595051751578	0.00018440014514951	0.00746012011402097	3.19490660206822e-06	0.00746012011402097	0.00746012011402097	1.01732594407384	1.01732594407384	-8.58103728568085	-8.5982180425483	0.0171807568674467	1.01732919494506	0.65	welsch	0.4	0.26	0.0114771078677245	0.000822936233388583	near_quadratic	6.58348986710866e-05	-5	-3	1e-05	0.001	TRUE	TRUE	FALSE	none	-3.73050868137285	0.00746012011402096	-3.72677862131584	-3.73423874142986	0.000185990738404687	0.000187595051751578	0.00018440014514951	-1.4610173627457	1.4610173627457	tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502
gamma_mu	TRUE	gamma_mu	delta__gamma_mu	2.0306417855098	1.66128357101961	2.86128357101961	1.2	2.0306417855098	2.86128357101961	1.2	1.66128357101961	1.66128357101961	1.66128357101961	NA	2.38440297584968	2.38440297584968	NA	NA	NA	NA	0.65	welsch	0.4	0.26	2.55582087849171	1	saturating	0.08	1.2	3.5	1.2	3.5	TRUE	TRUE	FALSE	none	2.0306417855098	1.66128357101961	2.86128357101961	1.2	2.0306417855098	2.86128357101961	1.2	-1.66128357101961	1.66128357101961	tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	0.939028169890502
O2_crit	TRUE	log10_O2_crit	delta__log10_O2_crit	-0.286184924288447	-0.973089455487817	-0.772729652032355	0.200359803455462	0.517386479854448	0.168760323014007	1.58620678578554	-0.973089455487817	-1.41744646277153	-0.973089455487817	-0.973089455487817	0.10639238498178	0.10639238498178	NA	NA	NA	NA	0.65	welsch	0.4	0.26	1.49706070075049	0.99999917463666	saturating	0.0799999339709328	-4	0.397940008672038	1e-04	2.5	TRUE	TRUE	FALSE	none	-0.286184924288447	-0.973089455487817	-0.772729652032355	0.200359803455462	0.517386479854448	0.168760323014007	1.58620678578554	-1.36824986592097	1.36824986592097	tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628
mu_hp	TRUE	log10_mu_hp	delta__log10_mu_hp	-1.8015332567769	0.998993477774163	-1.30203651788982	-2.30102999566398	0.0157930766516176	0.0498842540247737	0.005	0.998993477774163	0.0448842540247737	0.998993477774163	0.998993477774163	9.97685080495474	9.97685080495474	NA	NA	NA	NA	0.65	welsch	0.4	0.26	1.53691304272948	0.999999612339403	saturating	0.0799999689871523	-2.30102999566398	-0.522878745280338	0.005	0.3	TRUE	TRUE	FALSE	none	-1.8015332567769	0.998993477774163	-1.30203651788982	-2.30102999566398	0.0157930766516176	0.0498842540247737	0.005	-0.998993477774163	0.998993477774163	tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628
p_misseg	TRUE	log10_p_misseg	delta__log10_p_misseg	-1.35295557556725	1.24729457901751	-0.729308286058489	-1.976602865076	0.0443654023440395	0.186505530221572	0.0105535150770604	1.24729457901751	0.175952015144512	1.24729457901751	1.24729457901751	17.6723611857976	17.6723611857976	-1.47287823726946	-4.54068669354326	3.0678084562738	21.4947443469882	0.65	welsch	0.4	0.26	1.91891473695002	0.999999999898804	saturating	0.0799999999919043	-2.30102999566398	-0.301029995663981	0.005	0.5	TRUE	TRUE	FALSE	none	-1.35295557556725	1.24729457901751	-0.729308286058489	-1.976602865076	0.0443654023440395	0.186505530221572	0.0105535150770604	-1.89614884019347	1.89614884019347	tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628
k_o_mis	TRUE	log10_k_o_mis	delta__log10_k_o_mis	-3.25441704197678	1.38578816818685	-2.56152295788335	-3.9473111260702	0.000556650954403995	0.00274458725395494	0.000112898682522252	1.38578816818685	0.00263168857143269	1.38578816818685	1.38578816818685	24.3101796463744	24.3101796463744	NA	NA	NA	NA	0.65	welsch	0.4	0.26	2.13198179721054	0.99999999999954	saturating	0.0799999999999632	-5	-1.69897000433602	1e-05	0.02	TRUE	TRUE	FALSE	none	-3.25441704197678	1.38578816818685	-2.56152295788335	-3.9473111260702	0.000556650954403995	0.00274458725395494	0.000112898682522252	-3.11089407528151	3.11089407528151	tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628
buffer_smax	TRUE	buffer_smax	delta__buffer_smax	0.956917896997365	-0.08616420600527	0.91383579399473	1	0.956917896997365	0.91383579399473	1	-0.0861642060052699	-0.0861642060052699	-0.0861642060052699	NA	0.91383579399473	0.91383579399473	NA	NA	NA	NA	0.65	welsch	0.4	0.26	0.132560316931185	0.104010410696479	near_quadratic	0.00832083285571834	0	1	0	1	TRUE	TRUE	FALSE	none	0.956917896997365	-0.08616420600527	0.91383579399473	1	0.956917896997365	0.91383579399473	1	-0.0861642060052699	0.0861642060052699	tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628
buffer_beta	TRUE	log10_buffer_beta	delta__log10_buffer_beta	-0.220797648094854	-0.845006773967325	-0.643301035078516	0.201705738888809	0.601453909119356	0.227352097320628	1.59113027351929	-0.845006773967325	-1.36377817619866	-0.845006773967325	-0.845006773967325	0.142887167131681	0.142887167131681	NA	NA	NA	NA	0.65	welsch	0.4	0.26	1.30001042148819	0.999974136280166	saturating	0.0799979309024133	-2	1	0.01	10	TRUE	TRUE	FALSE	none	-0.220797648094854	-0.845006773967325	-0.643301035078516	0.201705738888809	0.601453909119356	0.227352097320628	1.59113027351929	-2.44159529618971	2.44159529618971	tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628
buffer_n_exp	TRUE	log10_buffer_n_exp	delta__log10_buffer_n_exp	0.749676226334253	0.500647547331493	1	0.499352452668507	5.61922246735227	10	3.15756611375965	0.500647547331493	6.84243388624035	0.500647547331493	0.500647547331493	3.1669962368874	3.1669962368874	NA	NA	NA	NA	0.65	welsch	0.4	0.26	0.770226995894605	0.975468816075587	saturating	0.0780375052860469	-1	1	0.1	10	TRUE	TRUE	FALSE	none	0.749676226334253	0.500647547331493	1	0.499352452668507	5.61922246735227	10	3.15756611375965	-0.500647547331493	0.500647547331493	tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628
n_O	TRUE	n_O	delta__n_O	1.7660910707821	-0.20496752576579	1.6636073078992	1.86857483366499	1.7660910707821	1.6636073078992	1.86857483366499	-0.20496752576579	-0.20496752576579	-0.20496752576579	NA	0.890308098946313	0.890308098946313	NA	NA	NA	NA	0.65	welsch	0.4	0.26	0.315334655024293	0.462848259765992	near_quadratic	0.0370278607812793	1e-04	5	1e-04	5	TRUE	TRUE	FALSE	none	1.7660910707821	-0.20496752576579	1.6636073078992	1.86857483366499	1.7660910707821	1.6636073078992	1.86857483366499	-3.53198214156419	3.53198214156419	tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628
alpha_o2	TRUE	log10_alpha_o2	delta__log10_alpha_o2	-0.030193144725519	0.541673701876924	0.240643706212943	-0.301029995663981	0.932839344869547	1.74037848667329	0.5	0.541673701876924	1.24037848667329	0.541673701876924	0.541673701876924	3.48075697334658	3.48075697334658	NA	NA	NA	NA	0.65	welsch	0.4	0.26	0.83334415673373	0.986968561857116	saturating	0.0789574849485693	-0.301029995663981	0.602059991327962	0.5	4	TRUE	TRUE	FALSE	none	-0.030193144725519	0.541673701876924	0.240643706212943	-0.301029995663981	0.932839344869547	1.74037848667329	0.5	-0.541673701876924	0.541673701876924	tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628
gamma_growth	TRUE	gamma_growth	delta__gamma_growth	2.18118606535816	1.36237213071632	2.86237213071632	1.5	2.18118606535816	2.86237213071632	1.5	1.36237213071632	1.36237213071632	1.36237213071632	NA	1.90824808714421	1.90824808714421	NA	NA	NA	NA	0.65	welsch	0.4	0.26	2.09595712417895	0.999999999998809	saturating	0.0799999999999048	1.5	4.5	1.5	4.5	TRUE	TRUE	FALSE	none	2.18118606535816	1.36237213071632	2.86237213071632	1.5	2.18118606535816	2.86237213071632	1.5	-1.36237213071632	1.36237213071632	tsne_vi_seed25_C02Sc01_vt_seed10	18.9704641759336	0.1181782625628
