N_ref	target_oxygen_pct	function_name	n_solutions	median_vivo_value	median_vitro_value	median_vivo_minus_vitro	median_vivo_to_vitro_ratio	dominant_direction	dominant_direction_fraction
44	5	ms_rate	6	0.00910836623429726	0.00869088949003908	0.000413974403030969	1.04773871250605	vivo_gt_vitro	0.5
88	5	ms_rate	6	0.029999015878264	0.00965754919376612	0.0203385545275911	3.10530178296402	vivo_gt_vitro	1
44	20.5	ms_rate	6	0.00910836623429726	0.00869088949003908	0.000413974403030969	1.04773871250605	vivo_gt_vitro	0.5
88	20.5	ms_rate	6	0.029999015878264	0.00965754919376612	0.0203385545275911	3.10530178296402	vivo_gt_vitro	1
44	0	net_growth_rate	6	-0.0166408419402835	0.8940101290862	-0.910650971026484	-0.0186137062644835	vivo_lt_vitro	1
88	0	net_growth_rate	6	-0.397438348655763	0.547086298717466	-0.944491505771006	-0.726517321352936	vivo_lt_vitro	1
44	1	net_growth_rate	6	0.195636394542905	0.994242600465253	-0.798606205922348	0.19676927386873	vivo_lt_vitro	1
88	1	net_growth_rate	6	0.118278088375022	0.668101476810559	-0.549823388435537	0.177036112746926	vivo_lt_vitro	1
44	5	net_growth_rate	6	0.237637720718252	1.28086479365129	-1.04322707293304	0.185529122118214	vivo_lt_vitro	1
88	5	net_growth_rate	6	0.229403469031495	1.17328802839375	-0.943884559362255	0.195521869719878	vivo_lt_vitro	1
44	20.5	net_growth_rate	6	0.237637720718252	1.28086479365129	-1.04322707293304	0.185529122118214	vivo_lt_vitro	1
88	20.5	net_growth_rate	6	0.229403469031495	1.17328802839375	-0.943884559362255	0.195521869719878	vivo_lt_vitro	1
44	0	proliferation_rate	6	0.0660605863118331	0.8990101290862	-0.832949542774367	0.0734814705357997	vivo_lt_vitro	1
88	0	proliferation_rate	6	0.0165129437306668	0.558573282267436	-0.542060338536769	0.0295627167551503	vivo_lt_vitro	1
44	1	proliferation_rate	6	0.208670460204621	0.997758053326133	-0.789087593121512	0.209139339451078	vivo_lt_vitro	1
88	1	proliferation_rate	6	0.125733867135213	0.676177866647284	-0.550443999512071	0.185947918938317	vivo_lt_vitro	1
44	5	proliferation_rate	6	0.23775593365157	1.28138865143727	-1.0436327177857	0.185545527802897	vivo_lt_vitro	1
88	5	proliferation_rate	6	0.2301550192791	1.17449153754776	-0.94433651826866	0.195961411318165	vivo_lt_vitro	1
44	20.5	proliferation_rate	6	0.23775593365157	1.28138865143727	-1.0436327177857	0.185545527802897	vivo_lt_vitro	1
88	20.5	proliferation_rate	6	0.2301550192791	1.17449153754776	-0.94433651826866	0.195961411318165	vivo_lt_vitro	1
