solution	objective	N_ref	target_oxygen_pct	evaluated_oxygen_pct_vivo	evaluated_oxygen_pct_vitro	function_name	vivo_value	vitro_value	vivo_minus_vitro	vivo_to_vitro_ratio
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	1	1	1	proliferation_rate	0.130850972470065	0.676177866647284	-0.545326894177219	0.193515610203079
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	1	1	1	death_rate	0.00315392046252404	0.00807638983672554	-0.0049224693742015	0.390511172229739
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	1	1	1	buffer_death_rate	0.202217242416028	0.188290942105558	0.01392630031047	1.0739616051348
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	1	1	1	misseg_nonviable_rate	0.202192695421076	0.188166254808801	0.014026440612275	1.07454280591665
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	1	1	1	boundary_dropped_rate	2.45469949522662e-05	0.000124687296756645	-0.000100140301804379	0.196868450842872
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	1	1	1	net_growth_rate	0.127697052007541	0.668101476810559	-0.540404424803018	0.191134216043276
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	5	5	5	ms_rate	0.0234662541241946	0.00965813937808647	0.0138081147461081	2.42968683776066
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	5	5	5	proliferation_rate	0.133705688074561	1.17449153754776	-1.0407858494732	0.113841337974837
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	5	5	5	death_rate	4.92035445616569e-05	0.00120350915401258	-0.00115430560945092	0.0408833986826016
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	5	5	5	buffer_death_rate	0.0232478510402551	0.304824258665981	-0.281576407625726	0.0762664072144256
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	5	5	5	misseg_nonviable_rate	0.0232227685147813	0.30460768225598	-0.281384913741199	0.0762382890109312
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	5	5	5	boundary_dropped_rate	2.50825254738276e-05	0.000216576410000678	-0.00019149388452685	0.11581374662988
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	5	5	5	net_growth_rate	0.133656484529999	1.17328802839375	-1.03963154386375	0.113916175138152
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	20.5	5	5	ms_rate	0.0234662541241946	0.00965813937808647	0.0138081147461081	2.42968683776066
tsne_vi_seed290_C01Sc02_vt_seed10	19.7913140832613	88	20.5	5	5	proliferation_rate	0.133705688074561	1.17449153754776	-1.0407858494732	0.113841337974837
