seed	cohort	lineage_id	scenario_id	passage_id	passage_index	passage_duration	endpoint_day	selected_day	closest_day_diagnostic	predicted_initial_cells	predicted_final_cells	observed_initial_cells	observed_final_cells	predicted_growth	observed_growth	passage_recorded	available_cells	required_cells	supply_ratio	reseed_mode	boundary_scale	cell_number_before	cell_number_after	cumulative_time
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A12_seed	12	7	7	7	7	364269	4229959.21030534	364269	7249729	0.35029357476406	0.43743905615452	TRUE	4229959.21030534	563670	7.50431850250206	downsample_to_observed_inoculum	0.133256604136216	4229959.21030534	563670	61
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A13_seed	13	6	6	6	6	563670	4646052.1826448	563670	8451705	0.351550695188266	0.455260826116619	TRUE	4646052.1826448	455615	10.1973205066664	downsample_to_observed_inoculum	0.0980649769070474	4646052.1826448	455615.000000001	67
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A14_seed	14	7	7	7	7	455615.000000001	5391475.78143957	455615	6241585	0.352989467382064	0.398345550086726	TRUE	5391475.78143957	915685	5.88791536548002	downsample_to_observed_inoculum	0.169839397805011	5391475.78143957	915685	74
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A15_seed	15	4	4	4	4	915685	3778465.5365176	915685	6207051	0.354350211101908	0.47844219096022	TRUE	3778465.5365176	467868	8.07592213298966	downsample_to_observed_inoculum	0.123824868978746	3778465.5365176	467868	78
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A16_seed	16	9	9	9	7	467868	11541977.9451272	467868	5397194	0.35617330217568	0.265837402863243	TRUE	11541977.9451272	363155	31.78251144863	downsample_to_observed_inoculum	0.0314638445616955	11541977.9451272	363155	87
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A17_seed	17	7	7	7	7	363155	4472589.50702246	363155	7128306	0.358699012508506	0.438440022649343	TRUE	4472589.50702246	642762	6.95839129728027	downsample_to_observed_inoculum	0.143711377713245	4472589.50702246	642762	94
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A18_seed	18	5	5	5	5	642762	3904490.15727275	642762	9890957	0.360821595296402	0.547427136693007	TRUE	3904490.15727275	1088351	3.58752843271404	downsample_to_observed_inoculum	0.278743435419543	3904490.15727275	1088351	99
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A19_seed	19	5	5	5	5	1088351	6675272.78448649	1088351	10719752	0.362749272668135	0.470226829493655	TRUE	6675272.78448649	568126	11.7496343847782	downsample_to_observed_inoculum	0.085109031247433	6675272.78448649	568126	104
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A20_seed	20	5	5	5	5	568126	3520882.68657083	568126	4805675	0.364824755056087	0.410942181415078	TRUE	3520882.68657083	524681	6.71052065268388	downsample_to_observed_inoculum	0.149019733602943	3520882.68657083	524681	109
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A21_seed	21	5	5	5	5	524681	3288174.50593599	524681	5128727	0.367059473896097	0.445568191284352	TRUE	3288174.50593599	567012	5.7991268367089	downsample_to_observed_inoculum	0.172439753114197	3288174.50593599	567012	114
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A22_seed	22	3	3	3	3	567012	1715231.29242028	567012	3580306	0.368974249122232	0.614274361025784	TRUE	1715231.29242028	571468	3.00144766184682	downsample_to_observed_inoculum	0.33317255959902	1715231.29242028	571468	117
10	2N	O2	2N-O2	SUM-159_NLS_2N_O2_A23_seed	23	5	5	5	5	571468	3653507.29681821	571468	6965666	0.37104687995522	0.480890952237371	TRUE	3653507.29681821	NA	NA	terminal_no_reseed	1	3653507.29681821	3653507.29681821	122
10	4N	C	4N-C	SUM-159_NLS_4N_C_A1_seed	1	3	3	3	2	987937	27723680.4283908	987937	6428954	1.11147442851495	0.624316066168315	TRUE	27723680.4283908	575654	48.1603192688504	downsample_to_observed_inoculum	0.0207639819499035	27723680.4283908	575654	3
10	4N	C	4N-C	SUM-159_NLS_4N_C_A2_seed	2	2	2	2	2	575654	5317615.53015222	575654	4791040	1.11163674373996	1.05949800003685	TRUE	5317615.53015222	427709	12.4327884850499	downsample_to_observed_inoculum	0.0804324791017293	5317615.53015222	427709	5
10	4N	C	4N-C	SUM-159_NLS_4N_C_A3_seed	3	1	1	1	1	427709	1300091.16491512	427709	2982042	1.11174661005017	1.94192052193407	TRUE	1300091.16491512	448744	2.89717782280124	downsample_to_observed_inoculum	0.345163487076922	1300091.16491512	448744	6
10	4N	C	4N-C	SUM-159_NLS_4N_C_A4_seed	4	3	3	3	2	448744	12609098.7742623	448744	6498369	1.1119071293449	0.890951310693594	TRUE	12609098.7742623	884866	14.2497268222108	downsample_to_observed_inoculum	0.0701767839114867	12609098.7742623	884866	9
10	4N	C	4N-C	SUM-159_NLS_4N_C_A5_seed	5	2	2	2	2	884866	8182124.2913006	884866	9118611	1.11213543404041	1.16631827386152	TRUE	8182124.2913006	411582	19.8796941831776	downsample_to_observed_inoculum	0.0503025846768916	8182124.2913006	411582	11
10	4N	C	4N-C	SUM-159_NLS_4N_C_A6_seed	6	3	3	3	2	411582	11581820.9966156	411582	7374120	1.11239457371083	0.961907860276492	TRUE	11581820.9966156	621931	18.6223568154917	downsample_to_observed_inoculum	0.053698895897436	11581820.9966156	621931	14
10	4N	C	4N-C	SUM-159_NLS_4N_C_A7_seed	7	2	2	2	2	621931	5757126.03063804	621931	6654027	1.1126822610237	1.185074180085	TRUE	5757126.03063804	1532740	3.75610085900938	downsample_to_observed_inoculum	0.266233532467958	5757126.03063804	1532740	16
10	4N	C	4N-C	SUM-159_NLS_4N_C_A8_seed	8	3	3	3	2	1532740	43207991.3075288	1532740	9561746	1.11298949289834	0.610237787650816	TRUE	43207991.3075288	955684	45.2115880432536	downsample_to_observed_inoculum	0.0221182232980471	43207991.3075288	955684	19
10	4N	C	4N-C	SUM-159_NLS_4N_C_A9_seed	9	2	2	2	2	955684	8858351.82071939	955684	8405530	1.11334434353411	1.08710889354088	TRUE	8858351.82071939	728507	12.1595973967572	downsample_to_observed_inoculum	0.0822395649601596	8858351.82071939	728507.000000001	21
10	4N	C	4N-C	SUM-159_NLS_4N_C_A10_seed	10	3	3	3	2	728507.000000001	20581619.0965308	728507	9314937	1.11371881507333	0.849459095117841	TRUE	20581619.0965308	512549	40.1554175240432	downsample_to_observed_inoculum	0.0249032400024541	20581619.0965308	512549	24
10	4N	C	4N-C	SUM-159_NLS_4N_C_A11_seed	11	2	2	2	2	512549	4758329.12687074	512549	4394883	1.11412777281861	1.07439993620309	TRUE	4758329.12687074	537090	8.85946326848525	downsample_to_observed_inoculum	0.112873654948961	4758329.12687074	537090	26
10	4N	C	4N-C	SUM-159_NLS_4N_C_A12_seed	12	3	3	3	2	537090	15212165.0174416	537090	8632005	1.11456167953485	0.925688802648849	TRUE	15212165.0174416	NA	NA	terminal_no_reseed	1	15212165.0174416	15212165.0174416	29
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A1_seed	1	3	3	3	2	1496747	9261274.53381633	1496747	5464856	0.607515863783087	0.431681228435326	TRUE	9261274.53381633	469077	19.7436125280419	downsample_to_observed_inoculum	0.0506492921991705	9261274.53381633	469077	3
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A2_seed	2	5	5	5	4	469077	5013563.10533166	469077	3281438	0.473827041178227	0.399917181450665	TRUE	5013563.10533166	979523	5.11837200895912	downsample_to_observed_inoculum	0.195374622682684	5013563.10533166	979523	8
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A3_seed	3	5	5	5	4	979523	7817510.32205621	979523	5965486	0.415411138246464	0.344146831898379	TRUE	7817510.32205621	477491	16.3720579488539	downsample_to_observed_inoculum	0.0610796763072782	7817510.32205621	477491	13
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A4_seed	4	5	5	5	5	477491	3519290.18809538	477491	5131103	0.399493857114588	0.462592398960382	TRUE	3519290.18809538	487308	7.22190111407032	downsample_to_observed_inoculum	0.138467694891545	3519290.18809538	487308	18
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A5_seed	5	5	5	5	5	487308	3492162.79281116	487308	6266284	0.393876033591114	0.493160438290141	TRUE	3492162.79281116	647172	5.39603504603283	downsample_to_observed_inoculum	0.18532125745462	3492162.79281116	647172	23
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A6_seed	6	5	5	5	5	647172	4552914.06489532	647172	5181587	0.390182131848946	0.40078440531454	TRUE	4552914.06489532	267844	16.9983798961161	downsample_to_observed_inoculum	0.0588291358418508	4552914.06489532	267844	28
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A7_seed	7	5	5	5	5	267844	1870422.85933253	267844	5124092	0.388703018158428	0.571921242468194	TRUE	1870422.85933253	358294	5.2203577490344	downsample_to_observed_inoculum	0.191557752949971	1870422.85933253	358294	33
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A8_seed	8	4	4	4	4	358294	1695497.50252021	358294	5832757	0.388594402533204	0.671802019601772	TRUE	1695497.50252021	515769	3.28731952195695	downsample_to_observed_inoculum	0.30419920951423	1695497.50252021	515769	37
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A9_seed	9	5	5	5	5	515769	3598029.95355992	515769	4745520	0.388496549741464	0.43989081937769	TRUE	3598029.95355992	447817	8.03459885078039	downsample_to_observed_inoculum	0.124461720936182	3598029.95355992	447817	42
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A10_seed	10	5	5	5	5	447817	3122477.35529499	447817	4731039	0.388399464609115	0.474021738864105	TRUE	3122477.35529499	451159	6.92101311354752	downsample_to_observed_inoculum	0.144487517014316	3122477.35529499	451159	47
10	4N	O1	4N-O1	SUM-159_NLS_4N_O1_A11_seed	11	5	5	5	5	451159	3144424.22282249	451159	5387168	0.388313249621844	0.498582784895203	TRUE	3144424.22282249	465640	6.75290830431768	downsample_to_observed_inoculum	0.148084344542428	3144424.22282249	465640	52
