pair,rank,seed,optimizer_name,initial,final,abs_move
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,buffer_smax,0.997390253792811,0.997390253792811,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,log10_buffer_beta,-0.575886287278859,-0.575886287278859,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,log10_buffer_n_exp,-0.0657285004210214,-0.0657285004210214,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,n_O,2.55517829746501,2.55517829746501,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,log10_lam_max,-0.37154577691773,-0.37154577691773,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,log10_p_mis_base,-4.64212308426928,-4.64212308426928,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,log10_p_wgd,-3.30859788526459,-3.30859788526459,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,gamma_mu,1.85826385827691,2.09141950700084,0.23315564872393013
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,delta__log10_O2_crit,-0.707839637125871,-0.707839637125871,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,delta__log10_alpha_o2,0.804803819939848,0.804803819939848,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,delta__gamma_growth,0.74248148487991,0.74248148487991,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,delta__log10_mu_hp,1.50893402641973,1.50893402641973,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,delta__log10_p_misseg,1.67557286941202,1.67557286941202,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,delta__log10_k_o_mis,1.33139593453867,1.33139593453867,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,delta__buffer_smax,-0.005219492414379,-0.005219492414379,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,delta__log10_buffer_beta,-1.55518405233534,-1.55518405233534,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,delta__log10_buffer_n_exp,-1.13016190617906,-1.13016190617906,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,delta__n_O,1.37320692760003,1.37320692760003,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,delta__log10_lam_max,-1.0028032418014,-1.0028032418014,0.0
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,delta__log10_p_mis_base,0.852653302570762,0.847144214990873,0.005509087579888994
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,delta__log10_p_wgd,0.342609431840466,0.143449053832624,0.199160378007842
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,3,seed180,delta__gamma_mu,1.31652771655383,1.3328591986498,0.016331482095969907
