fit,seed,rank,parameter,value
invivo,seed292,3,p_mis_base,0.0003635678908697
invivo,seed292,3,p_misseg,0.137594247211597
invivo,seed292,3,k_o_mis,0.0024626010292998
invivo,seed292,3,buffer_smax,0.903568729197162
invivo,seed292,3,buffer_beta,0.190627100780284
invivo,seed292,3,buffer_n_exp,9.34453198840175
invivo,seed292,3,p_wgd,0.000772178472211
invivo,seed292,3,o2_S0,2.85953911033107
invivo,seed292,3,kappa_O,0.73620510091307
invivo,seed292,3,eta_o2,1.15068628770422
invivo,seed292,3,rho_2N,177717.331541025
invivo,seed292,3,alpha_o2,0.844349949455291
invivo,seed292,3,gamma_growth,4.47604135643753
invivo,seed292,3,mu_hp,0.0469361386999562
invivo,seed292,3,gamma_mu,2.50853978276732
invivo,seed292,3,O2_crit,0.199830488779825
invivo,seed292,3,n_O,2.02112154373365
invivo,seed292,3,k_clear,0.0074561208194205
invivo,seed292,3,sigma_burden,0.15
invivo,seed292,3,tau_O2,0.1
invivo,seed292,3,c_vol_2N_eff_mm3,5.6269132072195e-06
invivo,seed292,3,ratio_4N_2N,1.0
invivo,seed292,3,alpha,0.0
invivo,seed292,3,gamma,1.0
invivo,seed392,4,lam_max,0.3
invivo,seed392,4,o2_min,0.0
invivo,seed392,4,p_mis_base,9.10686315900187e-06
invivo,seed392,4,p_misseg,0.5
invivo,seed392,4,k_o_mis,0.0042267564773411
invivo,seed392,4,buffer_smax,0.924132738044447
invivo,seed392,4,buffer_beta,0.621735090905714
invivo,seed392,4,buffer_n_exp,7.49244202022955
invivo,seed392,4,p_wgd,3.9131611202114e-05
invivo,seed392,4,o2_S0,5.0
invivo,seed392,4,kappa_O,0.27500742792501
invivo,seed392,4,eta_o2,1.09071935162508
invivo,seed392,4,rho_2N,73182.1757206602
invivo,seed392,4,alpha_o2,0.5
invivo,seed392,4,gamma_growth,3.7002386600166
invivo,seed392,4,mu_hp,0.005
invivo,seed392,4,gamma_mu,2.99028957571162
invivo,seed392,4,O2_crit,0.204986605795126
invivo,seed392,4,n_O,1.01007775324433
invivo,seed392,4,k_clear,0.007336616177356
invivo,seed392,4,sigma_burden,0.15
invivo,seed392,4,tau_O2,0.1
invivo,seed392,4,c_vol_2N_eff_mm3,1.36645295135396e-05
invivo,seed392,4,ratio_4N_2N,1.0
invivo,seed392,4,alpha,0.0
invivo,seed392,4,gamma,1.0
invivo,seed90,5,lam_max,0.3
invivo,seed90,5,o2_min,0.0
invivo,seed90,5,p_mis_base,0.0001043659413478
invivo,seed90,5,p_misseg,0.5
invivo,seed90,5,k_o_mis,0.0059370587516789
invivo,seed90,5,buffer_smax,0.916629668092334
invivo,seed90,5,buffer_beta,0.711286628471281
invivo,seed90,5,buffer_n_exp,7.74324631745303
invivo,seed90,5,p_wgd,0.0001119089671799
invivo,seed90,5,o2_S0,5.0
invivo,seed90,5,kappa_O,0.2055210745314
invivo,seed90,5,eta_o2,1.13919625630062
invivo,seed90,5,rho_2N,71617.9412771412
invivo,seed90,5,alpha_o2,0.5
invivo,seed90,5,gamma_growth,2.03864415984643
invivo,seed90,5,mu_hp,0.005
invivo,seed90,5,gamma_mu,2.98933266707909
invivo,seed90,5,O2_crit,0.654419256922125
invivo,seed90,5,n_O,1.46199309937803
invivo,seed90,5,k_clear,0.0070529358205457
invivo,seed90,5,sigma_burden,0.15
invivo,seed90,5,tau_O2,0.1
invivo,seed90,5,c_vol_2N_eff_mm3,1.3962981651906e-05
invivo,seed90,5,ratio_4N_2N,1.0
invivo,seed90,5,alpha,0.0
invivo,seed90,5,gamma,1.0
invivo,seed391,6,lam_max,0.3
invivo,seed391,6,o2_min,0.0
invivo,seed391,6,p_mis_base,1.92092612950088e-06
invivo,seed391,6,p_misseg,0.5
invivo,seed391,6,k_o_mis,0.0015737500072726
invivo,seed391,6,buffer_smax,0.916018806477247
invivo,seed391,6,buffer_beta,0.691409910534925
invivo,seed391,6,buffer_n_exp,7.76637041942925
invivo,seed391,6,p_wgd,7.45685312461125e-05
invivo,seed391,6,o2_S0,5.0
invivo,seed391,6,kappa_O,0.115636159291711
invivo,seed391,6,eta_o2,1.15226419734856
invivo,seed391,6,rho_2N,71843.8026420501
invivo,seed391,6,alpha_o2,0.830917707375158
invivo,seed391,6,gamma_growth,1.73845425103842
invivo,seed391,6,mu_hp,0.0059204618684304
invivo,seed391,6,gamma_mu,3.02016035520097
invivo,seed391,6,O2_crit,0.653580687155233
invivo,seed391,6,n_O,2.19733943748816
invivo,seed391,6,k_clear,0.0060226565535478
invivo,seed391,6,sigma_burden,0.15
invivo,seed391,6,tau_O2,0.1
invivo,seed391,6,c_vol_2N_eff_mm3,1.3919085059881e-05
invivo,seed391,6,ratio_4N_2N,1.0
invivo,seed391,6,alpha,0.0
invivo,seed391,6,gamma,1.0
invivo,seed264,7,lam_max,0.212355324278018
invivo,seed264,7,o2_min,0.0
invivo,seed264,7,p_mis_base,0.0006785786940161
invivo,seed264,7,p_misseg,0.293172438109976
invivo,seed264,7,k_o_mis,0.0021665505461239
invivo,seed264,7,buffer_smax,0.919495055822044
invivo,seed264,7,buffer_beta,0.257209792575959
invivo,seed264,7,buffer_n_exp,9.08611842004779
invivo,seed264,7,p_wgd,6.27254017055485e-05
invivo,seed264,7,o2_S0,3.13943134942271
invivo,seed264,7,kappa_O,0.820616381440994
invivo,seed264,7,eta_o2,1.47350758791888
invivo,seed264,7,rho_2N,120397.107645247
invivo,seed264,7,alpha_o2,1.21308729380556
invivo,seed264,7,gamma_growth,3.44346740161635
invivo,seed264,7,mu_hp,0.0376494928004025
invivo,seed264,7,gamma_mu,2.9410038149074
invivo,seed264,7,O2_crit,0.216117758995733
invivo,seed264,7,n_O,2.41853201480817
invivo,seed264,7,k_clear,0.0073027859665465
invivo,seed264,7,sigma_burden,0.15
invivo,seed264,7,tau_O2,0.1
invivo,seed264,7,c_vol_2N_eff_mm3,8.3058473709063e-06
invivo,seed264,7,ratio_4N_2N,1.0
invivo,seed264,7,alpha,0.0
invivo,seed264,7,gamma,1.0
invivo,seed109,8,lam_max,0.207632889721704
invivo,seed109,8,o2_min,0.0
invivo,seed109,8,p_mis_base,0.0063183915603384
invivo,seed109,8,p_misseg,0.392821611653708
invivo,seed109,8,k_o_mis,0.0129509629978223
invivo,seed109,8,buffer_smax,0.923457999622951
invivo,seed109,8,buffer_beta,0.275278674737665
invivo,seed109,8,buffer_n_exp,10.0
invivo,seed109,8,p_wgd,5.48401677228861e-05
invivo,seed109,8,o2_S0,3.25646670781546
invivo,seed109,8,kappa_O,0.82957439313808
invivo,seed109,8,eta_o2,1.0
invivo,seed109,8,rho_2N,94231.8158889063
invivo,seed109,8,alpha_o2,0.676131656107509
invivo,seed109,8,gamma_growth,2.33646193559097
invivo,seed109,8,mu_hp,0.0842840841033985
invivo,seed109,8,gamma_mu,2.62363894285132
invivo,seed109,8,O2_crit,0.1
invivo,seed109,8,n_O,1.48317621414651
invivo,seed109,8,k_clear,0.0153065284158414
invivo,seed109,8,sigma_burden,0.15
invivo,seed109,8,tau_O2,0.1
invivo,seed109,8,c_vol_2N_eff_mm3,1.06121270248993e-05
invivo,seed109,8,ratio_4N_2N,1.0
invivo,seed109,8,alpha,0.0
invivo,seed109,8,gamma,1.0
invivo,seed322,9,lam_max,0.246676660646755
invivo,seed322,9,o2_min,0.0
invivo,seed322,9,p_mis_base,0.0116273646647229
invivo,seed322,9,p_misseg,0.119402963709347
invivo,seed322,9,k_o_mis,0.0042245534597161
invivo,seed322,9,buffer_smax,0.901526352688421
invivo,seed322,9,buffer_beta,0.126370833117348
invivo,seed322,9,buffer_n_exp,10.0
invivo,seed322,9,p_wgd,9.18052093716356e-05
invivo,seed322,9,o2_S0,3.9922265437415
invivo,seed322,9,kappa_O,0.862506143288721
invivo,seed322,9,eta_o2,1.00044278463732
invivo,seed322,9,rho_2N,156658.941336418
invivo,seed322,9,alpha_o2,0.50000009018371
invivo,seed322,9,gamma_growth,2.54837815028773
invivo,seed322,9,mu_hp,0.0517425924579758
invivo,seed322,9,gamma_mu,2.55320667335387
invivo,seed322,9,O2_crit,0.964966092977485
invivo,seed322,9,n_O,3.67451194478828
invivo,seed322,9,k_clear,0.0096607931231107
invivo,seed322,9,sigma_burden,0.15
invivo,seed322,9,tau_O2,0.1
invivo,seed322,9,c_vol_2N_eff_mm3,6.38329348755491e-06
invivo,seed322,9,ratio_4N_2N,1.0
invivo,seed322,9,alpha,0.0
invivo,seed322,9,gamma,1.0
invivo,seed26,10,lam_max,0.3
invivo,seed26,10,o2_min,0.0
invivo,seed26,10,p_mis_base,0.0027766351544204
invivo,seed26,10,p_misseg,0.5
invivo,seed26,10,k_o_mis,0.0036714260351172
invivo,seed26,10,buffer_smax,0.923211394186685
invivo,seed26,10,buffer_beta,0.594297977015898
invivo,seed26,10,buffer_n_exp,7.09954716536234
invivo,seed26,10,p_wgd,1.70127995916468e-05
invivo,seed26,10,o2_S0,5.0
invivo,seed26,10,kappa_O,0.25277667277562
invivo,seed26,10,eta_o2,1.16115211513508
invivo,seed26,10,rho_2N,74031.4744550534
invivo,seed26,10,alpha_o2,0.5
invivo,seed26,10,gamma_growth,4.3059169143185
invivo,seed26,10,mu_hp,0.005
invivo,seed26,10,gamma_mu,2.9324063490628
invivo,seed26,10,O2_crit,0.733875584645457
invivo,seed26,10,n_O,1.82917195619735
invivo,seed26,10,k_clear,0.0073342259242235
invivo,seed26,10,sigma_burden,0.15
invivo,seed26,10,tau_O2,0.1
invivo,seed26,10,c_vol_2N_eff_mm3,1.3507768248046e-05
invivo,seed26,10,ratio_4N_2N,1.0
invivo,seed26,10,alpha,0.0
invivo,seed26,10,gamma,1.0
