pair,rank,seed,vivo_s44,vivo_s88,vitro_s44,vitro_s88,vivo_ratio_s88_s44,vitro_ratio_s88_s44,vivo_abs_gradient,vitro_abs_gradient
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,5,seed307,0.948419042706982,0.9561325907834389,0.203695250225646,0.8432251101457698,1.0081330590478665,4.139640513029521,0.007713548076456966,0.6395298599201238
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,6,seed241,0.948419042706982,0.9560208666262682,0.203695250225646,0.8366802890104067,1.0080152586325017,4.10751005771398,0.00760182391928621,0.6329850387847606
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,7,seed303,0.948419042706982,0.9560208666262682,0.203695250225646,0.8366802890104067,1.0080152586325017,4.10751005771398,0.00760182391928621,0.6329850387847606
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,8,seed130,0.948419042706982,0.9559079132444189,0.203695250225646,0.843348246190138,1.007896162139535,4.140245024152052,0.007488870537436965,0.6396529959644921
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,9,seed405,0.948419042706982,0.9560208666262682,0.203695250225646,0.8366802890104067,1.0080152586325017,4.10751005771398,0.00760182391928621,0.6329850387847606
fit_joint_tsne_vi_seed290_C01Sc02_vt_seed10,10,seed357,0.948419042706982,0.9560208666262682,0.203695250225646,0.8366802890104067,1.0080152586325017,4.10751005771398,0.00760182391928621,0.6329850387847606
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,1,seed18,0.8189275992160763,0.9037946063496285,0.203695250225646,0.8366802890104067,1.1036318805408338,4.10751005771398,0.08486700713355222,0.6329850387847606
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,2,seed402,0.8189275992160763,0.9037946063496285,0.203695250225646,0.8366802890104067,1.1036318805408338,4.10751005771398,0.08486700713355222,0.6329850387847606
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,3,seed255,0.8189275992160763,0.9037946063496285,0.203695250225646,0.8366802890104067,1.1036318805408338,4.10751005771398,0.08486700713355222,0.6329850387847606
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,4,seed43,0.8189275992160763,0.9037946063496285,0.203695250225646,0.8366802890104067,1.1036318805408338,4.10751005771398,0.08486700713355222,0.6329850387847606
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,5,seed34,0.8189275992160763,0.9037946063496285,0.203695250225646,0.8366802890104067,1.1036318805408338,4.10751005771398,0.08486700713355222,0.6329850387847606
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,6,seed155,0.8189275992160763,0.9037946063496285,0.203695250225646,0.8366802890104067,1.1036318805408338,4.10751005771398,0.08486700713355222,0.6329850387847606
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,7,seed264,0.8189275992160763,0.9037946063496285,0.203695250225646,0.8366802890104067,1.1036318805408338,4.10751005771398,0.08486700713355222,0.6329850387847606
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,8,seed432,0.8189275992160763,0.9037946063496285,0.203695250225646,0.8366802890104067,1.1036318805408338,4.10751005771398,0.08486700713355222,0.6329850387847606
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,9,seed200,0.8189275992160763,0.9037946063496285,0.203695250225646,0.8366802890104067,1.1036318805408338,4.10751005771398,0.08486700713355222,0.6329850387847606
fit_joint_tsne_vi_seed311_C03Sc02_vt_seed10,10,seed249,0.8189275992160763,0.9037946063496285,0.203695250225646,0.8366802890104067,1.1036318805408338,4.10751005771398,0.08486700713355222,0.6329850387847606
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,1,seed54,0.7945043341418784,0.901415103072436,0.203695250225646,0.8366802890104067,1.1345628517508703,4.10751005771398,0.10691076893055762,0.6329850387847606
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,2,seed52,0.7945043341418784,0.901415103072436,0.203695250225646,0.8366802890104067,1.1345628517508703,4.10751005771398,0.10691076893055762,0.6329850387847606
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,3,seed80,0.7945043341418784,0.901415103072436,0.203695250225646,0.8366802890104067,1.1345628517508703,4.10751005771398,0.10691076893055762,0.6329850387847606
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,4,seed174,0.7945043341418784,0.901415103072436,0.203695250225646,0.8366802890104067,1.1345628517508703,4.10751005771398,0.10691076893055762,0.6329850387847606
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,5,seed336,0.7945043341418784,0.901415103072436,0.203695250225646,0.8366802890104067,1.1345628517508703,4.10751005771398,0.10691076893055762,0.6329850387847606
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,6,seed132,0.7945043341418784,0.901415103072436,0.203695250225646,0.8366802890104067,1.1345628517508703,4.10751005771398,0.10691076893055762,0.6329850387847606
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,7,seed433,0.7945043341418784,0.901415103072436,0.203695250225646,0.8366802890104067,1.1345628517508703,4.10751005771398,0.10691076893055762,0.6329850387847606
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,8,seed211,0.7945043341418784,0.901415103072436,0.203695250225646,0.8366802890104067,1.1345628517508703,4.10751005771398,0.10691076893055762,0.6329850387847606
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,9,seed438,0.7945043341418784,0.901415103072436,0.203695250225646,0.8366802890104067,1.1345628517508703,4.10751005771398,0.10691076893055762,0.6329850387847606
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,10,seed295,0.7945043341418784,0.901415103072436,0.203695250225646,0.8366802890104067,1.1345628517508703,4.10751005771398,0.10691076893055762,0.6329850387847606
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,1,seed472,0.7700259763031568,0.9083688662688993,0.203695250225646,0.8366802890104067,1.17966002995109,4.10751005771398,0.1383428899657425,0.6329850387847606
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,2,seed386,0.7700259763031568,0.9083688662688993,0.203695250225646,0.8366802890104067,1.17966002995109,4.10751005771398,0.1383428899657425,0.6329850387847606
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,3,seed494,0.7700259763031568,0.9083688662688993,0.203695250225646,0.8366802890104067,1.17966002995109,4.10751005771398,0.1383428899657425,0.6329850387847606
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,4,seed71,0.7700259763031568,0.9083688662688993,0.203695250225646,0.8366802890104067,1.17966002995109,4.10751005771398,0.1383428899657425,0.6329850387847606
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,5,seed178,0.7700259763031568,0.9083688662688993,0.203695250225646,0.8366802890104067,1.17966002995109,4.10751005771398,0.1383428899657425,0.6329850387847606
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,6,seed251,0.7700259763031568,0.9083688662688993,0.203695250225646,0.8366802890104067,1.17966002995109,4.10751005771398,0.1383428899657425,0.6329850387847606
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,7,seed53,0.7700259763031568,0.9083688662688993,0.203695250225646,0.8366802890104067,1.17966002995109,4.10751005771398,0.1383428899657425,0.6329850387847606
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,8,seed140,0.7700259763031568,0.9083688662688993,0.203695250225646,0.8366802890104067,1.17966002995109,4.10751005771398,0.1383428899657425,0.6329850387847606
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,9,seed276,0.7700259763031568,0.9083688662688993,0.203695250225646,0.8366802890104067,1.17966002995109,4.10751005771398,0.1383428899657425,0.6329850387847606
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,10,seed279,0.7700259763031568,0.9083688662688993,0.203695250225646,0.8366802890104067,1.17966002995109,4.10751005771398,0.1383428899657425,0.6329850387847606
