fit,seed,rank,parameter,value,lower,upper,status
invivo,seed292,3,O2_crit,0.199830488779825,0.1,2.5,interior
invivo,seed292,3,n_O,2.02112154373365,0.5,5.0,interior
invivo,seed292,3,k_clear,0.0074561208194205,0.005,0.3,interior
invivo,seed292,3,sigma_burden,0.15,0.1,0.15,upper
invivo,seed292,3,p_mis_base,0.0003635678908697,1e-06,0.1,interior
invivo,seed392,4,lam_max,0.3,0.005,0.3,upper
invivo,seed392,4,p_misseg,0.5,0.005,0.5,upper
invivo,seed392,4,k_o_mis,0.0042267564773411,0.001,0.02,interior
invivo,seed392,4,buffer_smax,0.924132738044447,0.0,1.0,interior
invivo,seed392,4,buffer_beta,0.621735090905714,0.01,10.0,interior
invivo,seed392,4,buffer_n_exp,7.49244202022955,0.1,10.0,interior
invivo,seed392,4,p_wgd,3.9131611202114e-05,1e-05,0.001,interior
invivo,seed392,4,o2_S0,5.0,2.0,5.0,upper
invivo,seed392,4,kappa_O,0.27500742792501,0.1,1.2,interior
invivo,seed392,4,eta_o2,1.09071935162508,1.0,2.0,interior
invivo,seed392,4,rho_2N,73182.1757206602,50000.0,500000.0,interior
invivo,seed392,4,alpha_o2,0.5,0.5,4.0,lower
invivo,seed392,4,gamma_growth,3.7002386600166,1.5,4.5,interior
invivo,seed392,4,mu_hp,0.005,0.005,0.3,lower
invivo,seed392,4,gamma_mu,2.99028957571162,1.2,3.5,interior
invivo,seed392,4,O2_crit,0.204986605795126,0.1,2.5,interior
invivo,seed392,4,n_O,1.01007775324433,0.5,5.0,interior
invivo,seed392,4,k_clear,0.007336616177356,0.005,0.3,interior
invivo,seed392,4,sigma_burden,0.15,0.1,0.15,upper
invivo,seed392,4,p_mis_base,9.10686315900187e-06,1e-06,0.1,interior
invivo,seed90,5,lam_max,0.3,0.005,0.3,upper
invivo,seed90,5,p_misseg,0.5,0.005,0.5,upper
invivo,seed90,5,k_o_mis,0.0059370587516789,0.001,0.02,interior
invivo,seed90,5,buffer_smax,0.916629668092334,0.0,1.0,interior
invivo,seed90,5,buffer_beta,0.711286628471281,0.01,10.0,interior
invivo,seed90,5,buffer_n_exp,7.74324631745303,0.1,10.0,interior
invivo,seed90,5,p_wgd,0.0001119089671799,1e-05,0.001,interior
invivo,seed90,5,o2_S0,5.0,2.0,5.0,upper
invivo,seed90,5,kappa_O,0.2055210745314,0.1,1.2,interior
invivo,seed90,5,eta_o2,1.13919625630062,1.0,2.0,interior
invivo,seed90,5,rho_2N,71617.9412771412,50000.0,500000.0,interior
invivo,seed90,5,alpha_o2,0.5,0.5,4.0,lower
invivo,seed90,5,gamma_growth,2.03864415984643,1.5,4.5,interior
