pair,rank,seed,context,O2,N,p_mis
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vitro,0.5,88,0.01045688261606176
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vivo,1.0,44,0.29606996537883784
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vitro,1.0,44,0.010236108170619521
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vivo,1.0,88,0.44887735181741967
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vitro,1.0,88,0.010427182597931963
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vivo,2.0,44,0.0676923618053747
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vitro,2.0,44,0.009989303673545814
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vivo,2.0,88,0.24307088930020457
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vitro,2.0,88,0.010320146355202012
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vivo,5.0,44,0.004032519766246832
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vitro,5.0,44,0.008680735140878876
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vivo,5.0,88,0.02322074130301273
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,4,seed354,vitro,5.0,88,0.009697692306388955
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vivo,0.0,44,0.4926701787227918
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vitro,0.0,44,0.01032902314510469
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vivo,0.0,88,0.4988119698647351
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vitro,0.0,88,0.010463921354120278
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vivo,0.1,44,0.49248592736838076
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vitro,0.1,44,0.01032772086407285
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vivo,0.1,88,0.4987804371388355
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vitro,0.1,88,0.010463365726554468
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vivo,0.5,44,0.4608651862856228
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vitro,0.5,44,0.010302736829503199
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vivo,0.5,88,0.49306205672150355
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vitro,0.5,88,0.01045269036875384
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vivo,1.0,44,0.2980866281713905
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vitro,1.0,44,0.010233676930373681
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vivo,1.0,88,0.44925333506630394
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vitro,1.0,88,0.010423025466608008
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vivo,2.0,44,0.06870510546503909
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vitro,2.0,44,0.009989171469533558
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vivo,2.0,88,0.2441084492190445
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vitro,2.0,88,0.010316114231123852
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vivo,5.0,44,0.004117337990262245
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vitro,5.0,44,0.008690889490039783
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vivo,5.0,88,0.023419979554741326
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,5,seed148,vitro,5.0,88,0.00969433912412357
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vivo,0.0,44,0.4926828325150592
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vitro,0.0,44,0.010327552498181946
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vivo,0.0,88,0.49876593097505856
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vitro,0.0,88,0.010457871588149212
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vivo,0.1,44,0.49249858116064815
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vitro,0.1,44,0.010326250217150106
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vivo,0.1,88,0.49873292030306426
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vitro,0.1,88,0.010457290290494723
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vivo,0.5,44,0.4608778400778902
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vitro,0.5,44,0.010301266182580454
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vivo,0.5,88,0.4927497597930597
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vitro,0.5,88,0.01044612228910512
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vivo,1.0,44,0.29809928196365787
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vitro,1.0,44,0.010232206283450937
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vivo,1.0,88,0.44712546981105883
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vitro,1.0,88,0.010415094005031088
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vivo,2.0,44,0.06871775925730648
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vitro,2.0,44,0.009987700822610813
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vivo,2.0,88,0.23837311650790297
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vitro,2.0,88,0.01030333730528942
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vivo,5.0,44,0.004129991782529637
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vitro,5.0,44,0.008689418843117039
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vivo,5.0,88,0.022428482669938275
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,6,seed485,vitro,5.0,88,0.009655488362523409
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vivo,0.0,44,0.4926701787227918
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vitro,0.0,44,0.01032902314510469
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vivo,0.0,88,0.4988022606542059
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vitro,0.0,88,0.010463163652848866
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vivo,0.1,44,0.49248592736838076
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vitro,0.1,44,0.01032772086407285
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vivo,0.1,88,0.49877048341505525
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vitro,0.1,88,0.01046260377610787
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vivo,0.5,44,0.4608651862856228
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vitro,0.5,44,0.010302736829503199
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vivo,0.5,88,0.49300827759004384
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vitro,0.5,88,0.0104518468674663
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vivo,1.0,44,0.2980866281713905
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vitro,1.0,44,0.010233676930373681
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vivo,1.0,88,0.448897861708016
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vitro,1.0,88,0.010421956240620743
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vivo,2.0,44,0.06870510546503909
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vitro,2.0,44,0.009989171469533558
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vivo,2.0,88,0.2431386206911623
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vitro,2.0,88,0.010314242365099851
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vivo,5.0,44,0.004117337990262245
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vitro,5.0,44,0.008690889490039783
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vivo,5.0,88,0.023247703963114725
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,7,seed268,vitro,5.0,88,0.009688136163559862
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vivo,0.0,44,0.4926604499401589
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vitro,0.0,44,0.010330648976270243
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vivo,0.0,88,0.4987847193965272
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vitro,0.0,88,0.010464179861217691
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vivo,0.1,44,0.49247619858574787
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vitro,0.1,44,0.010329346695238403
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vivo,0.1,88,0.498752745417931
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vitro,0.1,88,0.010463616566176866
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vivo,0.5,44,0.4608554575029899
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vitro,0.5,44,0.010304362660668752
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vivo,0.5,88,0.4929552826556785
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vitro,0.5,88,0.010452794053976786
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vivo,1.0,44,0.2980768993887576
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vitro,1.0,44,0.010235302761539234
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vivo,1.0,88,0.44860250099522586
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vitro,1.0,88,0.01042272185280591
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vivo,2.0,44,0.06869537668240618
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vitro,2.0,44,0.00999079730069911
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vivo,2.0,88,0.24235407497045444
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vitro,2.0,88,0.010314362447867143
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vivo,5.0,44,0.004107609207629332
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vitro,5.0,44,0.008692515321205336
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vivo,5.0,88,0.02310118365734494
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,8,seed451,vitro,5.0,88,0.009684776399256103
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vivo,0.0,44,0.4926540592935876
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vitro,0.0,44,0.010332101885340015
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vivo,0.0,88,0.49873715775358696
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vitro,0.0,88,0.010462420975307281
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vivo,0.1,44,0.49246980793917655
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vitro,0.1,44,0.010330799604308175
fit_joint_tsne_vi_seed138_C03Sc01_vt_seed10,9,seed355,vivo,0.1,88,0.49870414708159266
