pair,rank,seed,objective,objective_invivo,objective_invitro,objective_soft_coupling,soft_penalty_fraction_of_cap,local_attempted,local_accepted,deoptim_iterations,deoptim_stop_reason
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,8,seed211,18.9163946218076,14.1724678646017,3.86448930178328,0.879437455422661,0.785212013770233,True,False,51.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,9,seed438,18.9198583280572,14.171753688306,3.86434063208368,0.883764007667568,0.7890750068460428,True,False,51.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed322_C02Sc02_vt_seed10,10,seed295,18.9255722200102,14.1724942859956,3.86185644958778,0.89122148442681,0.7957334682382232,True,False,50.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,1,seed472,18.8522859133708,14.126420628928,3.85848488691969,0.867380397523139,0.7744467835028026,True,False,56.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,2,seed386,18.8581768528694,14.1329524787954,3.85735109977089,0.86787327430311,0.7748868520563481,True,False,61.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,3,seed494,18.8584608366853,14.1330412685094,3.8581145161376,0.867305052038329,0.774379510748508,True,False,72.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,4,seed71,18.8597059816659,14.1340973929725,3.85789376535074,0.86771482334265,0.7747453779845089,True,False,42.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,5,seed178,18.8603905272211,14.1321506446564,3.85579036294187,0.872449519622858,0.7789727853775517,True,False,33.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,6,seed251,18.8607948153975,14.134101564128,3.85630809316538,0.870385158104039,0.7771296054500348,True,False,30.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,7,seed53,18.8639915998995,14.1327036993343,3.85510191803447,0.876185982530712,0.78230891297385,True,False,75.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,8,seed140,18.8644000810947,14.1340874410274,3.85529975573072,0.875012884336565,0.7812615038719329,True,False,32.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,9,seed276,18.8653472648041,14.1340841889372,3.85508913958342,0.876173936283476,0.7822981573959606,True,False,38.0,early_stop_reltol_or_steptol
fit_joint_tsne_vi_seed366_C01Sc01_vt_seed10,10,seed279,18.8666264262352,14.133806456813,3.85484626315228,0.877973706269917,0.7839050948838544,True,False,62.0,early_stop_reltol_or_steptol
