harvest	day	burden	cohort	dose	treat_day	harvest_day	included_under_config	objective_observed_day_max	burden_present	used_in_burden_loss
SUM159-4N-0-0_harvest	32	0	4N	0	60	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-0_harvest	35	0	4N	0	60	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-0_harvest	39	0	4N	0	60	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-0_harvest	42	0	4N	0	60	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-0_harvest	46	0	4N	0	60	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-0_harvest	49	0	4N	0	60	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-0_harvest	53	0	4N	0	60	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-0_harvest	56	95.506	4N	0	60	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-0_harvest	60	214.2425	4N	0	60	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-0_harvest	63	349.272	4N	0	60	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-0_harvest	67	668.367	4N	0	60	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-0_harvest	70	893.83	4N	0	60	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-0_harvest	74	1056.296	4N	0	60	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-0_harvest	77	1205.604	4N	0	60	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-0_harvest	81	1463.414	4N	0	60	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-0_harvest	84	2058.75	4N	0	60	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-0_harvest	88	3239.532	4N	0	60	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-0_harvest	91	3914.144	4N	0	60	91	TRUE	91	TRUE	TRUE
SUM159-4N-0-R_harvest	0	0	4N	0	46	77	TRUE	77	TRUE	FALSE
SUM159-4N-0-R_harvest	25	0	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-R_harvest	28	0	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-R_harvest	32	0	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-R_harvest	35	73.2305	4N	0	46	77	TRUE	77	TRUE	TRUE
SUM159-4N-0-R_harvest	39	117.6	4N	0	46	77	TRUE	77	TRUE	TRUE
