cohort	segment_id	passage_id	oxygen_pct	cumulative_end_day	cell_index	observed_kary_N
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	3	84
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	4	86
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	5	79
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	6	81
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	7	76
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	8	83
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	9	82
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	10	83
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	11	83
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	12	79
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	13	84
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	14	84
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	15	84
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	16	78
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	17	84
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	18	83
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	19	81
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O1_A17_seed	0	127	20	79
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	127	1	75
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	127	2	80
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	127	3	82
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	127	4	82
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	127	5	83
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	127	6	84
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	127	7	77
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	127	8	81
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	127	9	80
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	127	10	84
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	127	11	82
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	127	12	78
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	127	13	82
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	127	14	80
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	127	15	86
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	127	16	87
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	127	17	77
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	SUM-159_NLS_4N_O2_A17_seed	0	127	18	84
