cohort	lineage_terminal_key	lineage_label	lineage_passage_index	segment_id	parent_segment_id	depth	oxygen_pct	cumulative_start_day	cumulative_end_day	duration_days	duration_source	data_ids	n_data_ids
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	20	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0	19	0	122	127	5	observed_median	SUM-159_NLS_2N_O1_A18_seed;SUM-159_NLS_2N_O2_A18_seed	2
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	21	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0	20	0	127	132	5	observed_median	SUM-159_NLS_2N_O1_A19_seed;SUM-159_NLS_2N_O2_A19_seed	2
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	22	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0	21	0	132	137	5	observed_median	SUM-159_NLS_2N_O1_A20_seed;SUM-159_NLS_2N_O2_A20_seed	2
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	23	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0	22	0	137	142	5	observed_median	SUM-159_NLS_2N_O1_A21_seed;SUM-159_NLS_2N_O2_A21_seed	2
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	24	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	23	0	142	145	3	observed_median	SUM-159_NLS_2N_O1_A22_seed;SUM-159_NLS_2N_O2_A22_seed	2
2N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	deprived	25	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0	24	0	145	150	5	observed_median	SUM-159_NLS_2N_O1_A23_seed;SUM-159_NLS_2N_O2_A23_seed	2
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	1	20.5		0	20.5	0	14	14	fallback_14d	SUM-159_NLS_4N_A2_seed	1
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	2	20.5_20.5	20.5	1	20.5	14	28	14	fallback_14d	SUM-159_NLS_4N_A3_seed;SUM-159_NLS_4N_dp_seed;SUM-159_NLS_4N_MRCA_seed	3
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	3	20.5_20.5_2	20.5_20.5	2	2	28	31	3	observed_median	SUM-159_NLS_4N_O1_A1_seed;SUM-159_NLS_4N_O2_A1_seed	2
4N	20.5_20.5_2_1_0.5_0.3_0.2_0.1_0_1	deprived	4	20.5_20.5_2_1	20.5_20.5_2	3	1	31	36	5	observed_median	SUM-159_NLS_4N_O1_A2_seed;SUM-159_NLS_4N_O2_A2_seed	2
